"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade"
"407","Atherurus macrourus",173065,"Hystricidae","Rodentia",2000,1,"Yes",19.516666,"Least Concern","food_human","research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.993293376318,21.0234802841859,"Wild","","Euarchontoglires"
"408","Atilax paludinosus",750141,"Herpestidae","Carnivora",3299.97,1,"Yes",-12.480081,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1136448606725,-2.06209333896552,"Wild","","Laurasiatheria"
"409","Atlantoxerus getulus",327763,"Sciuridae","Rodentia",251,1,"Yes",28.613169,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.02952474171568,31.2232249893816,"Wild","","Euarchontoglires"
"410","Auliscomys boliviensis",150621,"Cricetidae","Rodentia",65.7,1,"Yes",-16.9333315,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.6533376628807,-17.6874662683822,"Wild","sibling_higher","Euarchontoglires"
"411","Auliscomys micropus",784312,"Cricetidae","Rodentia",70.76,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher","Euarchontoglires"
"412","Auliscomys pictus",360772,"Cricetidae","Rodentia",54.7,1,"Yes",-14.555522136189,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-73.5468188209654,-13.3252787639158,"Wild","sibling_higher","Euarchontoglires"
"413","Auliscomys sublimis",739479,"Cricetidae","Rodentia",38,1,"Yes",-16.066667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-69.6529107472886,-16.3498491835933,"Wild","sibling_higher","Euarchontoglires"
"414","Avahi betsileo",3607507,"Indriidae","Primates",NA,NA,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"415","Avahi cleesei",654909,"Indriidae","Primates",NA,NA,"Yes",-19.000307,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,-19,"Wild","","Euarchontoglires"
"416","Avahi laniger",516002,"Indriidae","Primates",900,1,"Yes",-18.69508,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8794138545367,-19.7550309907352,"Wild","","Euarchontoglires"
"417","Avahi meridionalis",3607509,"Indriidae","Primates",NA,NA,"Yes",-24.852413,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,-25,"Wild","","Euarchontoglires"
"418","Avahi mooreorum",6145313,"Indriidae","Primates",NA,NA,"Yes",-15.67661,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,-15.0023386074297,"Wild","","Euarchontoglires"
"419","Avahi occidentalis",563621,"Indriidae","Primates",800,1,"Yes",-16.319097,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,-17,"Wild","","Euarchontoglires"
"420","Avahi peyrierasi",3607508,"Indriidae","Primates",NA,NA,"Yes",-21.317579,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,-21,"Wild","","Euarchontoglires"
"421","Avahi ramanantsoavani",6145314,"Indriidae","Primates",NA,NA,"Yes",-23.0269,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,-23,"Wild","","Euarchontoglires"
"422","Avahi unicolor",132960,"Indriidae","Primates",848.53,0,"Yes",-13.75,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9999999999999,-13.0020149689629,"Wild","","Euarchontoglires"
"423","Axis axis",906317,"Cervidae","Artiodactyla",67281.85,1,"Yes",22.411028,"Least Concern","food_animal","food_human","handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.6797511215051,24.1391729167172,"Partially-domesticated","","Laurasiatheria"
"424","Axis calamianensis",3611944,"Cervidae","Artiodactyla",40500,1,"Yes",11.9167,"Endangered","food_human","handicrafts_jewellery","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.331686048135,12.3401974084555,"Wild","","Laurasiatheria"
"425","Axis kuhlii",118577,"Cervidae","Artiodactyla",55000,1,"Yes",-5.847339,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,-5,"Wild","","Laurasiatheria"
"426","Babyrousa babyrussa",773454,"Suidae","Artiodactyla",1e+05,1,"Yes",-2,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,-3.00412081225846,"Wild","","Laurasiatheria"
"427","Babyrousa bolabatuensis",3611401,"Suidae","Artiodactyla",1e+05,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"428","Babyrousa celebensis",3611403,"Suidae","Artiodactyla",1e+05,0,"Yes",0.316667,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,1,"Wild","","Laurasiatheria"
"429","Babyrousa togeanensis",3611402,"Suidae","Artiodactyla",1e+05,0,"Yes",NA,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"430","Baiomys musculus",275823,"Cricetidae","Rodentia",9,1,"Yes",18.186111,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.4891404708162,18.7426031932027,"Wild","","Euarchontoglires"
"431","Baiomys taylori",39171,"Cricetidae","Rodentia",8,1,"Yes",22.3591001446822,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-102.25401467892,27.3736626325487,"Wild","","Euarchontoglires"
"432","Baiyankamys habbema",3608609,"Muridae","Rodentia",136.19,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"433","Baiyankamys shawmayeri",3608614,"Muridae","Rodentia",141.42,2,"Yes",-5.93617116446739,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.999999999999,-5.00076357997971,"Wild","","Euarchontoglires"
"434","Balaena mysticetus",397231,"Balaenidae","Cetacea",1e+08,1,"Yes",71.2906058193239,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-134.142076509816,70.2749871012818,"Wild","","Laurasiatheria"
"435","Balaenoptera bairdii",7655839,"Balaenopteridae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"436","Balaenoptera bertai",7655840,"Balaenopteridae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"437","Balaenoptera bonaerensis",44568,"Balaenopteridae","Cetacea",35089915.83,0,"Yes",-63.5,"Near Threatened","food_human","research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.1882796285319,-63.627095339802,"Wild","","Laurasiatheria"
"438","Balaenoptera borealis",800329,"Balaenopteridae","Cetacea",2e+07,1,"Yes",42.45,"Endangered","food_human","research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.4311887212381,-61.7689279421721,"Wild","","Laurasiatheria"
"439","Balaenoptera brydei",959341,"Balaenopteridae","Cetacea",NA,NA,"Yes",-27.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.9535158101225,-28.3656511836908,"Wild","","Laurasiatheria"
"440","Balaenoptera edeni",800331,"Balaenopteridae","Cetacea",2e+07,1,"Yes",6.384308,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.044437611711,-35.577582237239,"Wild","","Laurasiatheria"
"441","Balaenoptera musculus",226190,"Balaenopteridae","Cetacea",1.9e+08,1,"Yes",-60.5,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2983615778558,-62.171619690842,"Wild","","Laurasiatheria"
"442","Balaenoptera omurai",313151,"Balaenopteridae","Cetacea",NA,NA,"Yes",-11.509746,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.999999999999,-21.0033503084763,"Wild","","Laurasiatheria"
"443","Balaenoptera physalus",226193,"Balaenopteridae","Cetacea",7e+07,1,"Yes",42.8662,"Near Threatened","food_human","research","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1590574582497,-62.2640871653426,"Wild","","Laurasiatheria"
"444","Balantiopteryx infusca",432529,"Emballonuridae","Chiroptera",4.38,1,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"445","Balantiopteryx io",432520,"Emballonuridae","Chiroptera",4.3,1,"Yes",17.241667,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-94.2073175663986,18.3992764302528,"Wild","","Laurasiatheria"
"446","Balantiopteryx plicata",75168,"Emballonuridae","Chiroptera",6.39,1,"Yes",18.649444,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.8774416489326,18.2010280745225,"Wild","","Laurasiatheria"
"447","Balionycteris maculata",37727,"Pteropodidae","Chiroptera",13.36,1,"Yes",2.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.801757560657,4.20240862391659,"Wild","","Laurasiatheria"
"448","Balionycteris maculator",7656276,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"449","Bandicota bengalensis",106786,"Muridae","Rodentia",188.5,1,"Yes",22.58333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.9999999999997,27.0044471007293,"Wild","","Euarchontoglires"
"450","Bandicota bengalis",7654734,"Muridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"451","Bandicota indica",836346,"Muridae","Rodentia",719.96,1,"Yes",23.226841,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4998361029497,11.0118886361009,"Wild","","Euarchontoglires"
"452","Bandicota savilei",836348,"Muridae","Rodentia",199,1,"Yes",14.333333,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.994993740094,16.0100146374082,"Wild","","Euarchontoglires"
"453","Barbastella barbastellus",647747,"Vespertilionidae","Chiroptera",8.03,1,"Yes",46.94644,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33345394584557,50.2545329512729,"Wild","","Laurasiatheria"
"454","Barbastella beijingensis",911449,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"455","Barbastella caspica",7067849,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"456","Barbastella darjelingensis",709474,"Vespertilionidae","Chiroptera",NA,NA,"Yes",28.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.999999999999,23.0037047626266,"Wild","","Laurasiatheria"
"457","Barbastella leucomelas",1011492,"Vespertilionidae","Chiroptera",15.05,1,"Yes",30.45,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0000000000001,30.0201656123624,"Wild","","Laurasiatheria"
"458","Barbastella pacifica",7067850,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"459","Bassaricyon alleni",794090,"Procyonidae","Carnivora",1235.01,1,"Yes",-3.333333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.0003502977181,-2.71678605449326,"Wild","","Laurasiatheria"
"460","Bassaricyon beddardi",1023225,"Procyonidae","Carnivora",1235.01,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"461","Bassariscus astutus",685103,"Procyonidae","Carnivora",1129.51,1,"Yes",25.833333,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-107.627847527454,31.4314732790728,"Partially-domesticated","","Laurasiatheria"
"462","Bassariscus sumichrasti",794088,"Procyonidae","Carnivora",899.99,1,"Yes",16.2625,"Least Concern","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-93.4920333198519,16.9170074368424,"Partially-domesticated","","Laurasiatheria"
"463","Bathyergus janetta",118538,"Bathyergidae","Rodentia",332,1,"Yes",-30.37,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,-30.0201656123624,"Wild","","Euarchontoglires"
"464","Bathyergus suillus",118542,"Bathyergidae","Rodentia",625,1,"Yes",-33.952058,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8210280513522,-32.6693025556415,"Wild","","Euarchontoglires"
"465","Batomys dentatus",3608616,"Muridae","Rodentia",196,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"466","Batomys granti",1050972,"Muridae","Rodentia",177.8,1,"Yes",17.022131,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,17,"Wild","","Euarchontoglires"
"467","Batomys hamiguitan",7067412,"Muridae","Rodentia",NA,NA,"Yes",6.7175,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,7,"Wild","","Euarchontoglires"
"468","Batomys russatus",3608615,"Muridae","Rodentia",186.79,0,"Yes",10.34,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,11,"Wild","","Euarchontoglires"
"469","Batomys salomonseni",931919,"Muridae","Rodentia",187,1,"Yes",8.6959,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.334702935938,9.67225024912929,"Wild","","Euarchontoglires"
"470","Batomys uragon",7067413,"Muridae","Rodentia",NA,NA,"Yes",13.6667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,13,"Wild","","Euarchontoglires"
"471","Bdeogale jacksoni",3613281,"Herpestidae","Carnivora",2500,1,"Yes",0.203869,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,-1.00015234351659,"Wild","","Laurasiatheria"
"472","Bdeogale nigripes",670218,"Herpestidae","Carnivora",2500,1,"Yes",1.15,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4001950700682,0.600647731236545,"Wild","","Laurasiatheria"
"473","Bdeogale tenuis",7656150,"Herpestidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"474","Beamys hindei",766447,"Nesomyidae","Rodentia",75.8,1,"Yes",-6.90547,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7437567176198,-6.5117311444136,"Wild","","Euarchontoglires"
"475","Beamys major",3608526,"Nesomyidae","Rodentia",75.8,0,"Yes",-9.661321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.0080776601147,-13.0424564972175,"Wild","","Euarchontoglires"
"476","Beatragus antiquus",7655484,"Bovidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"477","Beatragus hunteri",363046,"Bovidae","Artiodactyla",79132.17,1,"Yes",-0.396866,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4002926764677,-1.80114288681756,"Wild","","Laurasiatheria"
"478","Belomys pearsonii",43438,"Sciuridae","Rodentia",217,1,"Yes",25.66667,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.000000000001,24.0155502468952,"Wild","","Euarchontoglires"
"479","Berardius arnuxii",1021375,"Ziphiidae","Cetacea",7e+06,1,"Yes",-51.27361,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.660122880298,-39.6935721943815,"Wild","","Laurasiatheria"
"480","Berardius bairdii",1003906,"Ziphiidae","Cetacea",11380000,1,"Yes",35.6,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-164.999999999999,54.2465130712774,"Wild","","Laurasiatheria"
"481","Berardius minimus",7655877,"Ziphiidae","Cetacea",NA,NA,"Yes",44.10995,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.000000000004,45.0087284188943,"Wild","","Laurasiatheria"
"482","Berylmys berdmorei",991571,"Muridae","Rodentia",235,1,"Yes",17.5611,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.000000000001,18.0113479632784,"Wild","","Euarchontoglires"
"483","Berylmys bowersi",366063,"Muridae","Rodentia",300,1,"Yes",21.683331,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.663524179487,21.6795595463584,"Wild","","Euarchontoglires"
"484","Berylmys mackenziei",3608704,"Muridae","Rodentia",256,1,"Yes",25.466669,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.0000000000006,24.5126956874646,"Wild","","Euarchontoglires"
"485","Berylmys manipulus",3608703,"Muridae","Rodentia",116,1,"Yes",25.299999,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,25,"Wild","","Euarchontoglires"
"486","Bettongia anhydra",5810212,"Potoroidae","Diprotodontia",NA,NA,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"487","Bettongia gaimardi",83196,"Potoroidae","Diprotodontia",1660,1,"Yes",-41.9242395,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.407570555401,-41.8305484005429,"Wild","","Marsupials & monotremes"
"488","Bettongia gouldii",7657223,"Potoroidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Marsupials & monotremes"
"489","Bettongia lesueur",317165,"Potoroidae","Diprotodontia",1500,1,"Yes",-33.180346,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.252035390925,-28.9042917049941,"Wild","","Marsupials & monotremes"
"490","Bettongia tropica",483799,"Potoroidae","Diprotodontia",1256.58,1,"Yes",-17.025812,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.000000000007,-29.004837986279,"Wild","","Marsupials & monotremes"
"491","Bibimys chacoensis",540521,"Cricetidae","Rodentia",28,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"492","Bibimys labiosus",540517,"Cricetidae","Rodentia",29,1,"Yes",-23.209722,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45,-23,"Wild","","Euarchontoglires"
"493","Bibimys torresi",3608230,"Cricetidae","Rodentia",28,1,"Yes",-34.173237,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59,-35,"Wild","","Euarchontoglires"
"494","Bison antiquus",931799,"Bovidae","Artiodactyla",NA,NA,"Yes",29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.1166043049097,29.3101991839535,"Wild","","Laurasiatheria"
"495","Bison priscus",920420,"Bovidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"496","Bison schoetensacki",7067652,"Bovidae","Artiodactyla",NA,NA,"Yes",52.4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,53,"Wild","","Laurasiatheria"
"497","Biswamoyopterus biswasi",3609183,"Sciuridae","Rodentia",1613.3,1,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"498","Biswamoyopterus laoensis",6144982,"Sciuridae","Rodentia",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"499","Blanfordimys afghanus",624829,"Cricetidae","Rodentia",56.99,2,"Yes",34.549999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9999999999992,35.0061114673918,"Wild","","Euarchontoglires"
"500","Blanfordimys bucharensis",177476,"Cricetidae","Rodentia",57.08,2,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"501","Blarina brevicauda",54160,"Soricidae","Soricomorpha",28,1,"Yes",42.625835,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.5315093943817,43.4528503652349,"Wild","","Laurasiatheria"
"502","Blarina carolinensis",404816,"Soricidae","Soricomorpha",13.5,1,"Yes",34.53903,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-87.4913379332257,34.2442924336709,"Wild","","Laurasiatheria"
"503","Blarina hylophaga",404814,"Soricidae","Soricomorpha",14.5,1,"Yes",39.0485769136213,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-95.9046203552774,37.2149966068901,"Wild","","Laurasiatheria"
"504","Blarina peninsulae",3614400,"Soricidae","Soricomorpha",17.63,0,"Yes",27.97843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-81,27,"Wild","","Laurasiatheria"
"505","Blarinella griselda",638160,"Soricidae","Soricomorpha",12.5,0,"Yes",25.30788,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,25,"Wild","","Laurasiatheria"
"506","Blarinella quadraticauda",3614452,"Soricidae","Soricomorpha",12.5,1,"Yes",30.333334,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.416874417154,28.6372123016953,"Wild","","Laurasiatheria"
"507","Blarinella wardi",3614453,"Soricidae","Soricomorpha",11.26,2,"Yes",26,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,25,"Wild","","Laurasiatheria"
"508","Blarinomys breviceps",196745,"Cricetidae","Rodentia",36.8,1,"Yes",-20.603611,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.3361635887946,-19.6782725515747,"Wild","","Euarchontoglires"
"509","Blastocerus dichotomus",678842,"Cervidae","Artiodactyla",86666.25,1,"Yes",-28.02456,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.2504722099608,-19.0572772805337,"Wild","","Laurasiatheria"
"510","Blastocerus sylvestris",7655668,"Cervidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria"
"511","Bolomys amoenus",1068790,"Cricetidae","Rodentia",27.09,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
"512","Bolomys lasiurus",936613,"Cricetidae","Rodentia",39.93,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Euarchontoglires"
