"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication","clade"
"17","Acerodon celebensis","celebensis","Acerodon",4,56,4,3,0,13,3,0.231,2,1,635022,"Pteropodidae","Chiroptera",390,1,"Yes",-1.133333,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,2.5910646070265,118.999999999999,-5.00076357997971,NA,"Wild","Laurasiatheria"
"18","Acerodon humilis","humilis","Acerodon",1,28,1,1,0,19,1,0.053,1,0,3613521,"Pteropodidae","Chiroptera",462.47,2,"Yes",4.01,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.6650835657085,127,5,NA,"Wild","Laurasiatheria"
"19","Acerodon jubatus","jubatus","Acerodon",6,138,6,5,0,16,5,0.312,5,1,718815,"Pteropodidae","Chiroptera",1075,1,"Yes",9.4166,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,3.03140846425162,122.824512766941,11.4042099008553,NA,"Wild","Laurasiatheria"
"20","Acerodon leucotis","leucotis","Acerodon",1,74,1,1,0,17,1,0.059,1,0,3613520,"Pteropodidae","Chiroptera",462.47,2,"Yes",9.73,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.6650835657085,121,13.0020149689629,NA,"Wild","Laurasiatheria"
"21","Acerodon mackloti","mackloti","Acerodon",1,17,1,1,0,31,1,0.032,1,0,3613523,"Pteropodidae","Chiroptera",470.33,1,"Yes",-8.066667,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.67240268110399,123,-9,NA,"Wild","Laurasiatheria"
"22","Acinonyx jubatus","jubatus","Acinonyx",795,20314,282,713,22,59,71,1.203,413,15,752759,"Felidae","Carnivora",46700,1,"Yes",-24.59102,"Vulnerable","establishing_ex_situ_production","handicrafts_jewellery","pets_display_animals_horticulture","research","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85125834871908,1.85733249643127,4.66931688056611,26.4150631492351,-22.9131013957721,NA,"Partially-domesticated","Laurasiatheria"
"23","Acinonyx pardinensis","pardinensis","Acinonyx",14,211,12,12,0,26,9,0.346,9,0,7656114,"Felidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,1,NA,NA,NA,NA,"Wild","Laurasiatheria"
"24","Acomys airensis","airensis","Acomys",4,104,3,4,0,46,3,0.065,3,0,3608603,"Muridae","Rodentia",28.81,0,"Yes",19.4,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.45954325828041,-9.00000000000001,17.0026683611809,NA,"Wild","Euarchontoglires"
"25","Acomys cahirinus","cahirinus","Acomys",429,6541,222,407,7,116,41,0.353,203,9,816259,"Muridae","Rodentia",52.45,1,"Yes",28.516666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61278385671974,1.6232492903979,1.71974549252958,32.55546498387,27.0175448109036,NA,"Wild","Euarchontoglires"
"26","Acomys chudeaui","chudeaui","Acomys",1,31,1,1,0,12,1,0.083,1,0,487174,"Muridae","Rodentia",28.81,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.45954325828041,NA,NA,NA,"Wild","Euarchontoglires"
"27","Acomys cilicicus","cilicicus","Acomys",13,94,9,13,0,26,6,0.231,4,1,173081,"Muridae","Rodentia",28.61,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,1.45651785780526,NA,NA,NA,"Wild","Euarchontoglires"
"28","Acomys cineraceus","cineraceus","Acomys",2,20,2,2,0,22,2,0.091,1,0,1043426,"Muridae","Rodentia",30.59,2,"Yes",10.87,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.48557947698468,-0.597971376553495,11.6104428141027,NA,"Wild","Euarchontoglires"
"29","Acomys dimidiatus","dimidiatus","Acomys",48,380,35,47,0,33,11,0.333,15,5,996659,"Muridae","Rodentia",28.81,0,"Yes",31.63,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04139268515822,1.07918124604762,1.45954325828041,35.0167941862198,31.0556504582743,NA,"Wild","Euarchontoglires"
"30","Acomys ignitus","ignitus","Acomys",1,19,1,1,0,20,1,0.05,1,0,368525,"Muridae","Rodentia",24,1,"Yes",-3.633333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.38021124171161,38,-4.00244214969981,NA,"Wild","Euarchontoglires"
"31","Acomys johannis","johannis","Acomys",3,44,3,3,0,25,3,0.12,2,0,905136,"Muridae","Rodentia",28.81,0,"Yes",11.3414545,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.45954325828041,2.33498469893667,11.6734121743135,NA,"Wild","Euarchontoglires"
"32","Acomys kempi","kempi","Acomys",1,58,1,1,0,5,1,0.2,1,1,501413,"Muridae","Rodentia",22,1,"Yes",0.441816,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.34242268082221,37.7998048347546,0.600940784397495,NA,"Wild","Euarchontoglires"
"33","Acomys louisae","louisae","Acomys",0,0,0,0,0,NA,0,0,0,0,3608604,"Muridae","Rodentia",20.2,1,"Yes",31.848948,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.30535136944662,37,31,NA,"Wild","Euarchontoglires"
"34","Acomys minous","minous","Acomys",7,92,6,7,0,58,5,0.086,3,1,747232,"Muridae","Rodentia",62.5,1,"Yes",35.3534105,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,1.79588001734408,25,35,NA,"Wild","Euarchontoglires"
"35","Acomys mullah","mullah","Acomys",0,0,0,0,0,NA,0,0,0,0,3608602,"Muridae","Rodentia",28.74,2,"Yes",7.833334,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.45848676379821,41.0000000000001,7.00107163467529,NA,"Wild","Euarchontoglires"
"36","Acomys muzei","muzei","Acomys",1,12,1,1,0,10,1,0.1,1,0,378250,"Muridae","Rodentia",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"37","Acomys nesiotes","nesiotes","Acomys",5,33,4,5,0,22,3,0.136,1,1,747230,"Muridae","Rodentia",28.67,2,"Yes",34.860556,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.45742769294648,33,35,NA,"Wild","Euarchontoglires"
"38","Acomys ngurui","ngurui","Acomys",2,14,1,1,0,10,2,0.2,1,0,378247,"Muridae","Rodentia",NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,NA,NA,NA,"Wild","Euarchontoglires"
"39","Acomys percivali","percivali","Acomys",6,65,6,6,0,49,4,0.082,4,1,747234,"Muridae","Rodentia",22,1,"Yes",0.6667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,1.34242268082221,37.4,0.200040221629682,NA,"Wild","Euarchontoglires"
"40","Acomys selousi","selousi","Acomys",1,15,1,1,0,56,1,0.018,1,0,6144822,"Muridae","Rodentia",NA,NA,"Yes",-15.695388,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,30.336797147536,-23.6808839089493,NA,"Wild","Euarchontoglires"
"41","Acomys seurati","seurati","Acomys",0,0,0,0,0,NA,0,0,0,0,3608607,"Muridae","Rodentia",28.81,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.45954325828041,NA,NA,NA,"Wild","Euarchontoglires"
"42","Acomys spinosissimus","spinosissimus","Acomys",28,294,17,28,0,31,12,0.387,14,1,477714,"Muridae","Rodentia",26.5,1,"Yes",-15.831196,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,1.42324587393681,33.4731734436309,-15.3471794717339,NA,"Wild","Euarchontoglires"
"43","Acomys subspinosus","subspinosus","Acomys",19,248,13,18,0,56,10,0.179,10,2,863707,"Muridae","Rodentia",21,1,"Yes",-32.13,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.04139268515822,1.32221929473392,38.5010695777309,-4.50682635751027,NA,"Wild","Euarchontoglires"
"44","Acomys whitei","whitei","Acomys",0,0,0,0,0,NA,0,0,0,0,7654677,"Muridae","Rodentia",NA,NA,"Yes",16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,53,17,NA,"Wild","Euarchontoglires"
"45","Acomys wilsoni","wilsoni","Acomys",4,61,4,4,0,20,4,0.2,3,1,600704,"Muridae","Rodentia",18.5,1,"Yes",-3.516667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,1.26717172840301,37.4289961250439,-2.72373399632368,NA,"Wild","Euarchontoglires"
"46","Aconaemys fuscus","fuscus","Aconaemys",3,29,3,3,0,20,3,0.15,1,0,620800,"Octodontidae","Rodentia",133.5,1,"Yes",-40.294145,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,2.12548126570059,-71.9858461207622,-39.0495575070798,NA,"Wild","Euarchontoglires"
"47","Aconaemys porteri","porteri","Aconaemys",2,4,2,2,0,19,1,0.053,0,1,867368,"Octodontidae","Rodentia",113.5,0,"Yes",-40.82,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.05499586152914,-71.6601228802953,-39.6935721943811,NA,"Wild","Euarchontoglires"
"48","Aconaemys sagei","sagei","Aconaemys",1,3,1,1,0,19,1,0.053,0,0,867373,"Octodontidae","Rodentia",96.5,1,"Yes",-38.016666,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.98452731334379,-72.3272977322962,-38.3583278219829,NA,"Wild","Euarchontoglires"
"49","Acrobates pulchellus","pulchellus","Acrobates",0,0,0,0,0,NA,0,0,0,0,7657182,"Acrobatidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Marsupials & monotremes"
"50","Acrobates pygmaeus","pygmaeus","Acrobates",50,1327,24,48,1,43,24,0.558,35,2,432839,"Acrobatidae","Diprotodontia",12,1,"Yes",-33.348,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38021124171161,1.39794000867204,1.07918124604762,147.696154573057,-31.907558743051,NA,"Wild","Marsupials & monotremes"
"51","Adaetontherium incognitum","incognitum","Adaetontherium",0,0,0,0,0,NA,0,0,0,0,7655718,"Suidae","Artiodactyla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"52","Addax nasomaculatus","nasomaculatus","Addax",56,470,39,55,0,44,12,0.273,15,4,989805,"Bovidae","Artiodactyla",70000.32,1,"Yes",29.868026,"Critically Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,4.84510002535592,19,16.0100146374084,NA,"Wild","Laurasiatheria"
