"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication","clade"
"1863","Emballonura tiavato","tiavato","Emballonura",1,6,1,1,0,12,1,0.083,0,0,164472,"Emballonuridae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1864","Eoglaucomys fimbriatus","fimbriatus","Eoglaucomys",6,32,5,5,1,23,4,0.174,0,1,427317,"Sciuridae","Rodentia",510,1,"Yes",34.433334,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,2.70757017609794,102.000000000001,25.0040698859444,NA,"Wild","Euarchontoglires"
"1865","Eolagurus luteus","luteus","Eolagurus",7,39,5,7,0,12,3,0.25,1,2,718975,"Cricetidae","Rodentia",26,1,"Yes",45.53862,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.41497334797082,94.0000000000006,45.0087284188935,NA,"Wild","Euarchontoglires"
"1866","Eolagurus przewalskii","przewalskii","Eolagurus",0,0,0,0,0,NA,0,0,0,0,270179,"Cricetidae","Rodentia",28.03,2,"Yes",42.63,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.44762309776029,113,43,NA,"Wild","Euarchontoglires"
"1867","Eomannodon multituberculatus","multituberculatus","Eomannodon",0,0,0,0,0,NA,0,0,0,0,7657234,"Caenolestidae","Paucituberculata",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Marsupials & monotremes"
"1868","Eonycteris major","major","Eonycteris",0,0,0,0,0,NA,0,0,0,0,505801,"Pteropodidae","Chiroptera",72.75,1,"Yes",1.128167,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.86183299765794,111,1,NA,"Wild","Laurasiatheria"
"1869","Eonycteris robusta","robusta","Eonycteris",3,57,3,3,0,22,2,0.091,2,0,89715,"Pteropodidae","Chiroptera",78.36,1,"Yes",8.466667,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.8940944273227,121.671106142438,16.7038758887005,NA,"Wild","Laurasiatheria"
"1870","Eonycteris spelaea","spelaea","Eonycteris",75,882,49,0,0,51,17,0.333,24,6,113372,"Pteropodidae","Chiroptera",58.1,1,"Yes",9.36667,"Least Concern","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.25527250510331,1.76417613239033,123.485549931682,11.0546522580214,NA,"Wild","Laurasiatheria"
"1871","Eospalax rothschildi","rothschildi","Eospalax",0,0,0,0,0,NA,0,0,0,0,45198,"Spalacidae","Rodentia",256.76,0,"Yes",31,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,2.40952736701224,113,31,NA,"Wild","Euarchontoglires"
"1872","Eospalax rufescens","rufescens","Eospalax",2,6,2,2,0,7,1,0.143,0,0,45197,"Spalacidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Euarchontoglires"
"1873","Eospalax smithii","smithii","Eospalax",3,9,3,3,0,7,2,0.286,0,1,459528,"Spalacidae","Rodentia",256.76,0,"Yes",34.33,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.40952736701224,103,35,NA,"Wild","Euarchontoglires"
"1874","Eothenomys cachinus","cachinus","Eothenomys",2,28,2,2,0,7,1,0.143,1,1,155841,"Cricetidae","Rodentia",34.83,0,"Yes",23.75,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.54195347445824,98.9999999999997,24.0155502468949,"sibling_higher","Wild","Euarchontoglires"
"1875","Eothenomys chinensis","chinensis","Eothenomys",7,37,6,7,0,9,4,0.444,2,1,1012597,"Cricetidae","Rodentia",45.3,1,"Yes",30.25,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,1.65609820201283,102.999999999999,30.0201656123621,"sibling_higher","Wild","Euarchontoglires"
"1876","Eothenomys colurnus","colurnus","Eothenomys",0,0,0,0,0,NA,0,0,0,0,7067204,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"1877","Eothenomys eleusis","eleusis","Eothenomys",6,78,5,5,0,21,4,0.19,1,2,679214,"Cricetidae","Rodentia",NA,NA,"Yes",25.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,NA,99.0000000000017,19.0030052338497,"sibling_higher","Wild","Euarchontoglires"
"1878","Eothenomys eva","eva","Eothenomys",3,6,2,3,0,30,1,0.033,0,0,42900,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"1879","Eothenomys imaizumii","imaizumii","Eothenomys",2,96,2,2,0,22,2,0.091,2,0,578152,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"1880","Eothenomys inez","inez","Eothenomys",3,1,2,2,0,13,1,0.077,0,0,256497,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"1881","Eothenomys miletus","miletus","Eothenomys",55,517,27,54,1,20,12,0.6,14,3,679219,"Cricetidae","Rodentia",50.7,1,"Yes",25.15586,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,1.70500795933334,101,25.004069885944,"sibling_higher","Wild","Euarchontoglires"
"1882","Eothenomys olitor","olitor","Eothenomys",3,13,3,3,0,8,2,0.25,1,1,679208,"Cricetidae","Rodentia",22,1,"Yes",25.075,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.34242268082221,105,25,"sibling_higher","Wild","Euarchontoglires"
"1883","Eothenomys proditor","proditor","Eothenomys",3,14,3,3,0,23,2,0.087,1,1,679215,"Cricetidae","Rodentia",42.5,1,"Yes",27.256939,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.62838893005031,101.000000000001,28.0185711887024,"sibling_higher","Wild","Euarchontoglires"
"1884","Eothenomys smithii","smithii","Eothenomys",14,359,9,14,0,26,8,0.308,8,1,1012704,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,NA,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"1885","Eothenomys wardi","wardi","Eothenomys",3,19,2,3,0,10,3,0.3,1,0,250920,"Cricetidae","Rodentia",34.83,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,1.54195347445824,NA,NA,"sibling_higher","Wild","Euarchontoglires"
"1886","Eotragus clavatus","clavatus","Eotragus",4,51,4,4,0,16,4,0.25,2,1,7655588,"Bovidae","Artiodactyla",NA,NA,"Yes",43.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,NA,1,43,NA,"Wild","Laurasiatheria"
"1887","Eozapus setchuanus","setchuanus","Eozapus",8,110,6,8,0,30,5,0.167,4,0,379324,"Dipodidae","Rodentia",32.58,1,"Yes",37.147777,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,1.51295107997249,103.000000000004,35.0061114673934,NA,"Wild","Euarchontoglires"
"1888","Episoriculus corsicanus","corsicanus","Episoriculus",0,0,0,0,0,NA,0,0,0,0,3614463,"Soricidae","Soricomorpha",NA,NA,"Yes",42.665001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,9,43,NA,"Wild","Laurasiatheria"
"1889","Episoriculus fumidus","fumidus","Episoriculus",8,247,6,7,1,28,6,0.214,5,0,250788,"Soricidae","Soricomorpha",6.95,1,"Yes",23.4649040646269,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,0.841984804590114,121.000000000001,24.0155502468952,NA,"Wild","Laurasiatheria"
"1890","Episoriculus leucops","leucops","Episoriculus",0,0,0,0,0,NA,0,0,0,0,803082,"Soricidae","Soricomorpha",6.95,0,"Yes",27.23333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,0.841984804590114,88.0000000000004,27.0044471007295,NA,"Wild","Laurasiatheria"
"1891","Episoriculus macrurus","macrurus","Episoriculus",2,1,2,2,0,5,1,0.2,0,1,64854,"Soricidae","Soricomorpha",6.95,0,"Yes",28.966667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,0.841984804590114,84.1866566183101,28.2180270363726,NA,"Wild","Laurasiatheria"
"1892","Episoriculus umbrinus","umbrinus","Episoriculus",1,3,1,1,0,4,1,0.25,0,1,7067973,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,NA,NA,NA,NA,"Wild","Laurasiatheria"
"1893","Epixerus ebii","ebii","Epixerus",2,3,2,2,0,7,1,0.143,0,0,3609043,"Sciuridae","Rodentia",592,1,"Yes",4.919787,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,2.77232170672292,-10.3322437100057,8.337895539712,NA,"Wild","Euarchontoglires"
"1894","Epixerus wilsoni","wilsoni","Epixerus",0,0,0,0,0,NA,0,0,0,0,152104,"Sciuridae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Euarchontoglires"
"1895","Epomophorus angolensis","angolensis","Epomophorus",0,0,0,0,0,NA,0,0,0,0,3613513,"Pteropodidae","Chiroptera",68.15,2,"Yes",-15.06667,NA,"food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.83346586017069,13.6688879642714,-16.3425672439224,NA,"Wild","Laurasiatheria"
"1896","Epomophorus anselli","anselli","Epomophorus",0,0,0,0,0,NA,0,0,0,0,3613515,"Pteropodidae","Chiroptera",NA,NA,"Yes",-8.902,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,27,-9,NA,"Wild","Laurasiatheria"
"1897","Epomophorus crypturus","crypturus","Epomophorus",3,8,3,3,0,13,2,0.154,0,0,15293,"Pteropodidae","Chiroptera",95.04,1,"Yes",-15.27113,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.97790642763712,27.6352743913768,-14.5842641097433,NA,"Wild","Laurasiatheria"
"1898","Epomophorus doriae","doriae","Epomophorus",0,0,0,0,0,NA,0,0,0,0,7656279,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"1899","Epomophorus gambianus","gambianus","Epomophorus",19,369,14,18,0,43,12,0.279,12,3,790965,"Pteropodidae","Chiroptera",128.87,1,"Yes",7.82,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,2.11015182851827,0.0412653612649967,9.21777473147873,NA,"Wild","Laurasiatheria"
"1900","Epomophorus grandis","grandis","Epomophorus",0,0,0,0,0,NA,0,0,0,0,3613514,"Pteropodidae","Chiroptera",48.58,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.68645751046911,NA,NA,NA,"Wild","Laurasiatheria"
"1901","Epomophorus labiatus","labiatus","Epomophorus",8,112,7,7,0,50,5,0.1,2,2,1004006,"Pteropodidae","Chiroptera",62.95,1,"Yes",0.671478,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,1.79899573444388,32.9959944208837,0.541480981900795,NA,"Wild","Laurasiatheria"
"1902","Epomophorus minimus","minimus","Epomophorus",2,4,2,2,0,4,1,0.25,0,1,3613516,"Pteropodidae","Chiroptera",68.15,2,"Yes",0.5671,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.83346586017069,37,0.50009522013787,NA,"Wild","Laurasiatheria"
"1903","Epomophorus minor","minor","Epomophorus",1,1,1,1,0,22,1,0.045,0,0,787381,"Pteropodidae","Chiroptera",44.76,1,"Yes",-1.733333,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.65089007785631,34.5273908338719,-10.124544770766,NA,"Wild","Laurasiatheria"
"1904","Epomophorus neumanni","neumanni","Epomophorus",0,0,0,0,0,NA,0,0,0,0,7656280,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"1905","Epomophorus stuhlmanni","stuhlmanni","Epomophorus",0,0,0,0,0,NA,0,0,0,0,7656281,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"1906","Epomophorus wahlbergi","wahlbergi","Epomophorus",37,454,27,36,0,71,12,0.169,14,1,113368,"Pteropodidae","Chiroptera",91.58,1,"Yes",-3.307778,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,1.96180063919168,35.3416308055762,-2.54093890466511,NA,"Wild","Laurasiatheria"
"1907","Epomophorus zechi","zechi","Epomophorus",0,0,0,0,0,NA,0,0,0,0,7656282,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"1908","Epomophorus zenkeri","zenkeri","Epomophorus",0,0,0,0,0,NA,0,0,0,0,7656283,"Pteropodidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,NA,"Wild","Laurasiatheria"
"1909","Epomops buettikoferi","buettikoferi","Epomops",6,130,6,6,0,37,6,0.162,5,0,3613510,"Pteropodidae","Chiroptera",133.84,1,"Yes",6.266667,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,2.12658592795434,-6.60575752742597,6.87532730697879,NA,"Wild","Laurasiatheria"
"1910","Epomops dobsonii","dobsonii","Epomops",2,16,1,1,1,17,2,0.118,1,1,3613509,"Pteropodidae","Chiroptera",122.08,1,"Yes",-10.516667,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.08664452061081,25.3938748004112,-11.4133405358771,NA,"Wild","Laurasiatheria"
"1911","Epomops franqueti","franqueti","Epomops",18,485,18,14,2,49,8,0.163,6,3,558417,"Pteropodidae","Chiroptera",118.93,1,"Yes",4.266667,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,0.954242509439325,2.0752914188833,-0.566192075899595,7.01100827475403,NA,"Wild","Laurasiatheria"
"1912","Eptesicus andinus","andinus","Eptesicus",1,377,1,1,0,23,1,0.043,1,0,3613786,"Vespertilionidae","Chiroptera",10.96,0,"Yes",8.7,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,1.03981055414835,-69.4976947155868,10.5050932541691,"sibling_higher","Wild","Laurasiatheria"
"1913","Eptesicus bobrinskoi","bobrinskoi","Eptesicus",1,4,1,1,0,9,1,0.111,0,0,873668,"Vespertilionidae","Chiroptera",7.55,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,0.877946951629188,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1914","Eptesicus brasiliensis","brasiliensis","Eptesicus",13,94,11,13,0,25,7,0.28,5,2,176332,"Vespertilionidae","Chiroptera",9.47,1,"Yes",3.6522085,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,0.976349979003273,-75.5529178702323,3.13134790904651,"sibling_higher","Wild","Laurasiatheria"
"1915","Eptesicus chiriquinus","chiriquinus","Eptesicus",7,189,6,7,0,20,6,0.3,4,0,314000,"Vespertilionidae","Chiroptera",11.25,1,"Yes",4.6539305,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,1.05115252244738,-76.9990242955885,4.60566557179547,"sibling_higher","Wild","Laurasiatheria"
"1916","Eptesicus diminutus","diminutus","Eptesicus",10,150,7,10,0,12,6,0.5,6,1,353890,"Vespertilionidae","Chiroptera",6,1,"Yes",-25.0504085,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778151250383644,0.845098040014257,0.778151250383644,-72.6657149192154,5.33864750287417,"sibling_higher","Wild","Laurasiatheria"
"1917","Eptesicus dorianus","dorianus","Eptesicus",0,0,0,0,0,NA,0,0,0,0,7656408,"Vespertilionidae","Chiroptera",NA,NA,"Yes",-23.573252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,-47,-23,"sibling_higher","Wild","Laurasiatheria"
"1918","Eptesicus floweri","floweri","Eptesicus",0,0,0,0,0,NA,0,0,0,0,3613787,"Vespertilionidae","Chiroptera",10.17,2,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.00732095292274,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1919","Eptesicus furinalis","furinalis","Eptesicus",31,278,25,30,0,26,10,0.385,12,2,842474,"Vespertilionidae","Chiroptera",7.74,1,"Yes",9.9,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.04139268515822,0.888740960682893,-61.018373219558,-27.1790180998876,"sibling_higher","Wild","Laurasiatheria"
"1920","Eptesicus fuscus","fuscus","Eptesicus",845,23210,238,808,9,70,75,1.071,516,11,10737,"Vespertilionidae","Chiroptera",16.46,1,"Yes",36.82195,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8750612633917,1.88081359228079,1.21642983087625,-98.5516315999114,38.3195039041029,"sibling_higher","Wild","Laurasiatheria"
"1921","Eptesicus gobiensis","gobiensis","Eptesicus",2,10,2,2,0,13,2,0.154,0,0,400030,"Vespertilionidae","Chiroptera",10.96,0,"Yes",43.776,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.03981055414835,102.482446532448,44.0613498924889,"sibling_higher","Wild","Laurasiatheria"
"1922","Eptesicus guadeloupensis","guadeloupensis","Eptesicus",0,0,0,0,0,NA,0,0,0,0,3613781,"Vespertilionidae","Chiroptera",11.42,2,"Yes",16.248631,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.05766610390983,-61,17,"sibling_higher","Wild","Laurasiatheria"
"1923","Eptesicus innoxius","innoxius","Eptesicus",2,2,2,2,0,2,1,0.5,0,1,3613782,"Vespertilionidae","Chiroptera",8.86,2,"Yes",-2.42675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,0.947433721887051,-79.3994123548766,-3.80830441250891,"sibling_higher","Wild","Laurasiatheria"
"1924","Eptesicus japonensis","japonensis","Eptesicus",0,0,0,0,0,NA,0,0,0,0,3613783,"Vespertilionidae","Chiroptera",10.96,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.03981055414835,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1925","Eptesicus jubatus","jubatus","Eptesicus",0,0,0,0,0,NA,0,0,0,0,7656409,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1926","Eptesicus kobayashii","kobayashii","Eptesicus",0,0,0,0,0,NA,0,0,0,0,3613794,"Vespertilionidae","Chiroptera",10.96,0,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.03981055414835,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1927","Eptesicus macleayii","macleayii","Eptesicus",0,0,0,0,0,NA,0,0,0,0,7656410,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1928","Eptesicus nilssonii","nilssonii","Eptesicus",81,1287,46,77,1,33,19,0.576,28,5,493714,"Vespertilionidae","Chiroptera",10.72,1,"Yes",58.66659,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.30102999566398,1.03019478535675,18.7053446477111,62.2549982834337,"sibling_higher","Wild","Laurasiatheria"
"1929","Eptesicus pachyotis","pachyotis","Eptesicus",0,0,0,0,0,NA,0,0,0,0,3613803,"Vespertilionidae","Chiroptera",8.28,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,0.91803033678488,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1930","Eptesicus platyops","platyops","Eptesicus",0,0,0,0,0,NA,0,0,0,0,3613797,"Vespertilionidae","Chiroptera",11.42,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.05766610390983,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1931","Eptesicus regulus","regulus","Eptesicus",20,436,12,19,0,43,12,0.279,13,1,383887,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1932","Eptesicus sagittula","sagittula","Eptesicus",6,167,4,6,0,33,5,0.152,4,0,739212,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1933","Eptesicus taddeii","taddeii","Eptesicus",5,68,5,5,0,15,4,0.267,3,0,6146500,"Vespertilionidae","Chiroptera",NA,NA,"Yes",-25.44944,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,NA,-49,-25,"sibling_higher","Wild","Laurasiatheria"
"1934","Eptesicus tatei","tatei","Eptesicus",0,0,0,0,0,NA,0,0,0,0,3613804,"Vespertilionidae","Chiroptera",11.42,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,0,1.05766610390983,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1935","Eptesicus vulturnus","vulturnus","Eptesicus",24,476,12,23,0,39,13,0.333,14,3,687559,"Vespertilionidae","Chiroptera",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11394335230684,1.14612803567824,NA,NA,NA,"sibling_higher","Wild","Laurasiatheria"
"1936","Equus caballus","caballus","Equus",15200,406421,1704,0,0,93,174,1.871,9475,20,1068218,"Equidae","Perissodactyla",250000,1,"Yes",-13.148667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2405492482826,2.24303804868629,5.39794000867204,5.29312246989682,48.7662172742028,NA,"Wild","Laurasiatheria"
