species,median_lat
Aotus zonalis,9.07526
Apodemus alpicola,46.39833
Apodemus argenteus,41.75
Apodemus caesareanus,32.67
Apodemus chevrieri,30.416666
Apodemus flavicollis,52.7631
Apodemus gurkha,28.55
Apodemus hyrcanicus,36.778198
Apodemus latronum,28.133329
Apodemus levantinus,32.67
Apodemus mystacinus,33.2
Apodemus pallipes,41.873611
Apodemus ponticus,43.6934
Apodemus semotus,23.464902331522218
Apodemus speciosus,36.231389
Apodemus sylvaticus,51.00714
Apodemus uralensis,45.26821
Apodemus witherbyi,33.643601
Apomys abrae,17.424999
Apomys aurorae,15.464561
Apomys banahao,14.0665
Apomys brownorum,15.48189
Apomys camiguinensis,9.178
Apomys datae,17.0327
Apomys gracilirostris,13.30687
Apomys insignis,8.1
Apomys littoralis,10.76835
Apomys magnus,14.05747
Apomys microdon,13.567250000000001
Apomys minganensis,15.468019
Apomys musculus,14.06635
Apomys sacobianus,15.15553
Apomys sierrae,17.692639
Apomys zambalensis,14.719289
Arborimus albipes,44.495
Arborimus longicaudus,42.704215000000005
Arborimus pomo,38.45664072435375
Archaebalaenoptera castriarquati,44.840279
Archaeocyon falkenbachi,42
Archaeotherium mortoni,43.0300005
Archboldomys luzonensis,13.67
Archboldomys maximus,17.017269
Arctocebus aureus,2.7833
Arctocebus calabarensis,5.45308
Arctocephalus australis,-43.64375
Arctocephalus forsteri,-36.2527245
Arctocephalus galapagoensis,-0.2057285
Arctocephalus gazella,-54.008
Arctocephalus philippii,-33.6698145
Arctocephalus townsendi,35.22031
Arctocephalus tropicalis,-35.55555
Arctogalidia trivirgata,5.346565
Arctonyx collaris,27.066666
Ardops nichollsi,15.587735314698946
Arielulus aureocollaris,20.262
Arielulus circumdatus,12.18
Arielulus cuprosus,1.116806
Ariteus flavescens,18.433001
Artibeus amplus,5.175
Artibeus concolor,4.63
Artibeus fimbriatus,-23.77444
Artibeus fraterculus,-4.108
Artibeus hirsutus,21.184380743938977
Artibeus inopinatus,13.39894
Artibeus intermedius,18.6
Artibeus lituratus,5.8
Artibeus obscurus,3.93
Artibeus schwartzi,13.169639
Artiocetus clavis,30.088888
Arvicanthis abyssinicus,7.62
Arvicanthis ansorgei,12.55
Arvicanthis blicki,6.983333
Arvicanthis ectos,32.67
Arvicanthis nairobae,-1.2167
Arvicanthis neumanni,-7.68125
Arvicanthis niloticus,7.533333
Arvicanthis rufinus,6.2333
Arvicanthis somalicus,-1.497182
Arvicanthis testicularis,12.0598
Arvicola amphibius,52.9096
Arvicola sapidus,42.75
Arvicola scherman,46.63661
Asellia arabica,16.65
Asellia italosomalica,15.466666
Asellia patrizii,16.70222
Asellia tridens,30.77
Aselliscus stoliczkanus,21.66666
Aselliscus tricuspidatus,-4.35
Atelerix albiventris,10.87
Atelerix algirus,39.25
Atelerix frontalis,-24.557045000000002
Ateles marginatus,-9.492321
Ateles paniscus,2.83333
Atelocynus microtis,-10.133333
Atherurus africanus,0.5
Atherurus macrourus,19.516666
Atilax paludinosus,-12.480081
Atlantoxerus getulus,28.613169
Auliscomys boliviensis,-16.9333315
Auliscomys pictus,-14.55552213618898
Auliscomys sublimis,-16.066667
Australopithecus ramidus,5.5917
Avahi cleesei,-19.000307
Avahi laniger,-18.69508
Avahi meridionalis,-24.852413
Avahi mooreorum,-15.67661
Avahi occidentalis,-16.319097
Avahi peyrierasi,-21.317579
Avahi ramanantsoavani,-23.0269
Avahi unicolor,-13.75
Axis axis,22.411028
Axis calamianensis,11.9167
Axis kuhlii,-5.847339
Babyrousa babyrussa,-2
Babyrousa celebensis,0.316667
Baiomys musculus,18.186111
Baiomys taylori,22.359100144682248
Baiyankamys shawmayeri,-5.936171164467387
Balaena montalionis,44.0034735
Balaena mysticetus,71.29060581932386
Balaena ricei,37.039165
Balaenella brachyrhynus,51.261944
Balaenoptera bertae,36.971939
Balaenoptera bonaerensis,-63.5
Balaenoptera borealis,42.45
Balaenoptera brydei,-27.95
Balaenoptera edeni,6.384308000000001
Balaenoptera musculus,-60.5
