"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"16","Abrothrix sanborni",3608360,"Cricetidae","Rodentia",24.7,1,"Yes",-43.116665,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-72.6377432537345,-44.1014802652149,"Wild","","Euarchontoglires","sanborni","Abrothrix",9,250,4,9,0,33,7,0.212,6,1,0.903089986991944,1.39269695325967,NA,0,3,0,0,1,0.301029995663981,0
"17","Acerodon celebensis",635022,"Pteropodidae","Chiroptera",390,1,"Yes",-1.133333,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.999999999999,-5.00076357997971,"Wild","","Laurasiatheria","celebensis","Acerodon",4,56,4,3,0,13,3,0.231,2,1,0.602059991327962,2.5910646070265,2,1,3,0,0,1,0.301029995663981,0
"18","Acerodon humilis",3613521,"Pteropodidae","Chiroptera",462.47,2,"Yes",4.01,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,5,"Wild","","Laurasiatheria","humilis","Acerodon",1,28,1,1,0,19,1,0.053,1,0,0.301029995663981,2.6650835657085,3,1,3,0,0,1,0.301029995663981,0
"19","Acerodon jubatus",718815,"Pteropodidae","Chiroptera",1075,1,"Yes",9.4166,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.824512766941,11.4042099008553,"Wild","","Laurasiatheria","jubatus","Acerodon",6,138,6,5,0,16,5,0.312,5,1,0.778151250383644,3.03140846425162,3,1,3,458,2.66181268553726,2,0.477121254719662,1
"20","Acerodon leucotis",3613520,"Pteropodidae","Chiroptera",462.47,2,"Yes",9.73,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,13.0020149689629,"Wild","","Laurasiatheria","leucotis","Acerodon",1,74,1,1,0,17,1,0.059,1,0,0.301029995663981,2.6650835657085,2,1,3,0,0,0,0,0
"21","Acerodon mackloti",3613523,"Pteropodidae","Chiroptera",470.33,1,"Yes",-8.066667,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,-9,"Wild","","Laurasiatheria","mackloti","Acerodon",1,17,1,1,0,31,1,0.032,1,0,0.301029995663981,2.67240268110399,2,1,3,0,0,0,0,0
"22","Acinonyx jubatus",752759,"Felidae","Carnivora",46700,1,"Yes",-24.59102,"Vulnerable","establishing_ex_situ_production","handicrafts_jewellery","pets_display_animals_horticulture","research","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4150631492351,-22.9131013957721,"Partially-domesticated","","Laurasiatheria","jubatus","Acinonyx",795,20314,282,713,22,59,71,1.203,413,15,1.85733249643127,4.66931688056611,2,1,2,2322,3.36604920980024,42,1.63346845557959,1
"23","Acinonyx pardinensis",7656114,"Felidae","Carnivora",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","pardinensis","Acinonyx",14,211,12,12,0,26,9,0.346,9,0,1,NA,NA,0,3,778,2.89153745767256,0,0,1
"24","Acomys airensis",3608603,"Muridae","Rodentia",28.81,0,"Yes",19.4,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.00000000000001,17.0026683611809,"Wild","","Euarchontoglires","airensis","Acomys",4,104,3,4,0,46,3,0.065,3,0,0.602059991327962,1.45954325828041,1,0,3,0,0,1,0.301029995663981,0
"25","Acomys cahirinus",816259,"Muridae","Rodentia",52.45,1,"Yes",28.516666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.55546498387,27.0175448109036,"Wild","","Euarchontoglires","cahirinus","Acomys",429,6541,222,407,7,116,41,0.353,203,9,1.6232492903979,1.71974549252958,1,0,3,851,2.9304395947667,10,1.04139268515822,1
