"","genus_species","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","x","y","domestication","status","clade","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin","sum_gtrends","log_sumgtrends","h_conserv","logh1_conserv","gtrends_bin"
"1311","Crocidura phuquocensis",1003565,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","phuquocensis","Crocidura",3,20,3,3,0,13,2,0.154,1,0,0.477121254719662,NA,NA,0,3,0,0,0,0,0
"1312","Crocidura picea",3614518,"Soricidae","Eulipotyphla",10.35,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","picea","Crocidura",1,14,1,1,0,22,1,0.045,1,0,0.301029995663981,1.01494034979294,3,0,3,0,0,0,0,0
"1313","Crocidura pitmani",3614548,"Soricidae","Eulipotyphla",10.35,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","pitmani","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,NA,0,3,0,0,0,0,0
"1314","Crocidura planiceps",3614539,"Soricidae","Soricomorpha",2.5,1,"Yes",1.0659,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1.00015234351658,"Wild","","Laurasiatheria","planiceps","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,0.397940008672038,NA,0,3,0,0,0,0,0
"1315","Crocidura poensis",1084093,"Soricidae","Soricomorpha",16.57,1,"Yes",5.7,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.85228128217179,7.01100827475403,"Wild","","Laurasiatheria","poensis","Crocidura",2,45,2,2,0,21,2,0.095,1,1,0.477121254719662,1.21932250841934,1,0,3,0,0,0,0,0
"1316","Crocidura polia",3614526,"Soricidae","Eulipotyphla",10.35,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","polia","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,NA,0,3,0,0,0,0,0
"1317","Crocidura portali",7656616,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","portali","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1318","Crocidura praedax",7656617,"Soricidae","Soricomorpha",NA,NA,"Yes",26.868521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,27,"Wild","","Laurasiatheria","praedax","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1319","Crocidura pullata",3614563,"Soricidae","Soricomorpha",10.35,2,"Yes",27.061682825921,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.0000000000017,19.0030052338497,"Wild","","Laurasiatheria","pullata","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,NA,0,3,0,0,0,0,0
"1320","Crocidura raineyi",3614503,"Soricidae","Soricomorpha",14.5,1,"Yes",1.235,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1,"Wild","","Laurasiatheria","raineyi","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.16136800223497,NA,0,3,0,0,0,0,0
"1321","Crocidura ramona",225587,"Soricidae","Eulipotyphla",10.42,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","ramona","Crocidura",2,5,2,2,0,25,1,0.04,0,0,0.301029995663981,1.01786771896351,1,0,3,0,0,0,0,0
"1322","Crocidura religiosa",3614510,"Soricidae","Soricomorpha",7,1,"Yes",30.033333,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9999999999999,30.0201656123623,"Wild","","Laurasiatheria","religiosa","Crocidura",2,3,2,2,0,4,1,0.25,0,1,0.301029995663981,0.845098040014257,NA,0,3,0,0,0,0,0
"1323","Crocidura retusa",7656618,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","retusa","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1324","Crocidura rhoditis",1063199,"Soricidae","Soricomorpha",14,1,"Yes",1.10607,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.199707252132,-0.200967736891119,"Wild","","Laurasiatheria","rhoditis","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.14612803567824,1,0,3,0,0,0,0,0
"1325","Crocidura roosevelti",500005,"Soricidae","Soricomorpha",10.35,2,"Yes",3.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,"Wild","","Laurasiatheria","roosevelti","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,1,0,3,0,0,0,0,0
"1326","Crocidura rudolfi",7656619,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","rudolfi","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1327","Crocidura russula",809504,"Soricidae","Soricomorpha",8.2,1,"Yes",42.94,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55575869927413,45.4315195220856,"Wild","","Laurasiatheria","russula","Crocidura",241,4520,148,228,7,64,36,0.562,122,8,1.56820172406699,0.913813852383717,1,0,3,546,2.73798732633343,10,1.04139268515822,1
"1328","Crocidura sacralis",7656620,"Soricidae","Soricomorpha",NA,NA,"Yes",-9.987152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,-9,"Wild","","Laurasiatheria","sacralis","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1329","Crocidura schweitzeri",7656621,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","schweitzeri","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1330","Crocidura selina",3614521,"Soricidae","Soricomorpha",10.35,2,"Yes",0.8499,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1.00015234351658,"Wild","","Laurasiatheria","selina","Crocidura",1,5,1,1,0,17,1,0.059,0,0,0.301029995663981,1.01494034979294,NA,0,3,0,0,1,0.301029995663981,0
"1331","Crocidura serezkyensis",3614498,"Soricidae","Eulipotyphla",10.35,2,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","serezkyensis","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,1,0,3,0,0,0,0,0
"1332","Crocidura shortridgei",7656622,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","shortridgei","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1333","Crocidura sibirica",513587,"Soricidae","Soricomorpha",10.35,2,"Yes",45.53862,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.000000000001,43.0081393014272,"Wild","","Laurasiatheria","sibirica","Crocidura",8,154,8,8,0,25,5,0.2,5,0,0.778151250383644,1.01494034979294,1,0,3,0,0,0,0,0
"1334","Crocidura sicula",314772,"Soricidae","Eulipotyphla",6.9,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","sicula","Crocidura",8,105,7,8,0,26,6,0.231,5,1,0.845098040014257,0.838849090737255,1,0,3,0,0,1,0.301029995663981,0
"1335","Crocidura silacea",850877,"Soricidae","Soricomorpha",8,1,"Yes",-18.46665,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6628712063278,-25.6822506739291,"Wild","","Laurasiatheria","silacea","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,0.903089986991944,1,0,3,0,0,0,0,0
"1336","Crocidura sinensis",7656623,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","sinensis","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1337","Crocidura smithii",3614538,"Soricidae","Eulipotyphla",10.35,2,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","smithii","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,1,0,3,0,0,0,0,0
"1338","Crocidura sokolovi",1003571,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","sokolovi","Crocidura",2,38,1,2,0,14,2,0.143,2,0,0.477121254719662,NA,NA,0,3,0,0,0,0,0
"1339","Crocidura somalica",3614570,"Soricidae","Eulipotyphla",11.5,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","somalica","Crocidura",1,8,1,0,0,30,1,0.033,0,0,0.301029995663981,1.06069784035361,1,0,3,0,0,0,0,0
"1340","Crocidura spurrelli",7656624,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","spurrelli","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1341","Crocidura stenocephala",3614573,"Soricidae","Soricomorpha",21,1,"Yes",-2.768225,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,-2.00121958443328,"Wild","","Laurasiatheria","stenocephala","Crocidura",1,33,1,1,0,18,1,0.056,1,0,0.301029995663981,1.32221929473392,3,0,3,0,0,1,0.301029995663981,0
"1342","Crocidura susiana",3614492,"Soricidae","Soricomorpha",10.35,2,"Yes",32.3022,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,33,"Wild","","Laurasiatheria","susiana","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,NA,0,3,0,0,0,0,0
"1343","Crocidura sylvia",7656625,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","sylvia","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1344","Crocidura tanakae",925010,"Soricidae","Soricomorpha",10.42,0,"Yes",24.03,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,23.0333804286694,"Wild","","Laurasiatheria","tanakae","Crocidura",9,107,8,9,0,24,4,0.167,4,2,0.698970004336019,1.01786771896351,1,0,3,0,0,0,0,0
"1345","Crocidura tansaniana",3614513,"Soricidae","Soricomorpha",10.35,2,"Yes",-5.1,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,-5,"Wild","","Laurasiatheria","tansaniana","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,NA,0,3,0,0,0,0,0
"1346","Crocidura tarella",3614506,"Soricidae","Soricomorpha",10.35,2,"Yes",0.70145,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,-3.00045740230187,"Wild","","Laurasiatheria","tarella","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,3,0,3,0,0,0,0,0
"1347","Crocidura tarfayaensis",7656626,"Soricidae","Soricomorpha",NA,NA,"Yes",28.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,29.0048379862779,"Wild","","Laurasiatheria","tarfayaensis","Crocidura",1,10,1,1,0,15,1,0.067,1,0,0.301029995663981,NA,NA,0,3,0,0,0,0,0
"1348","Crocidura tarfayensis",983288,"Soricidae","Soricomorpha",6.5,1,"Yes",29.8,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,29,"Wild","","Laurasiatheria","tarfayensis","Crocidura",1,5,1,1,0,6,1,0.167,0,0,0.301029995663981,0.812913356642856,NA,0,3,0,0,0,0,0
"1349","Crocidura telfordi",3614528,"Soricidae","Soricomorpha",10.35,2,"Yes",-6.6112945,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,-9.0013823430766,"Wild","","Laurasiatheria","telfordi","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,2,0,3,0,0,0,0,0
"1350","Crocidura tenuis",3614543,"Soricidae","Eulipotyphla",9.43,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","tenuis","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,0.974511692737328,NA,0,3,0,0,0,0,0
"1351","Crocidura tephra",7656627,"Soricidae","Soricomorpha",NA,NA,"Yes",4.416667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,5,"Wild","","Laurasiatheria","tephra","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1352","Crocidura thalia",451547,"Soricidae","Soricomorpha",10.35,2,"Yes",6.916667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.0000000000001,7.00107163467527,"Wild","","Laurasiatheria","thalia","Crocidura",2,11,2,2,0,11,2,0.182,0,0,0.477121254719662,1.01494034979294,1,0,3,0,0,0,0,0
"1353","Crocidura theresae",41802,"Soricidae","Soricomorpha",17.6,1,"Yes",7.944,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.14671969017129,8.15436785209497,"Wild","","Laurasiatheria","theresae","Crocidura",4,121,4,3,0,13,4,0.308,4,0,0.698970004336019,1.24551266781415,1,0,3,0,0,0,0,0
"1354","Crocidura thomasi",7656628,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","thomasi","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1355","Crocidura thomensis",3614555,"Soricidae","Soricomorpha",10.35,2,"Yes",0.66511,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,"Wild","","Laurasiatheria","thomensis","Crocidura",2,6,1,2,0,24,2,0.083,0,1,0.477121254719662,1.01494034979294,3,0,3,0,0,2,0.477121254719662,0
"1356","Crocidura tionis",7656629,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","tionis","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1357","Crocidura trichura",3614520,"Soricidae","Soricomorpha",10.42,0,"Yes",-10.5,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,-11,"Wild","","Laurasiatheria","trichura","Crocidura",3,30,3,3,0,21,2,0.095,2,1,0.477121254719662,1.01786771896351,4,0,3,457,2.66086547800387,1,0.301029995663981,1
"1358","Crocidura turba",1084095,"Soricidae","Soricomorpha",14.5,1,"Yes",-0.575,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,"Wild","","Laurasiatheria","turba","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.16136800223497,1,0,3,0,0,0,0,0
"1359","Crocidura ultima",3614578,"Soricidae","Eulipotyphla",16,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","ultima","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.20411998265592,NA,0,3,0,0,0,0,0
"1360","Crocidura usambarae",3614544,"Soricidae","Soricomorpha",9.7,1,"Yes",-4.53333,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.0000000000001,-5.00076357997975,"Wild","","Laurasiatheria","usambarae","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,0.986771734266245,2,0,3,0,0,0,0,0
"1361","Crocidura uxantisi",7656630,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","uxantisi","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1362","Crocidura velutina",7656631,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","velutina","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1363","Crocidura viaria",1084089,"Soricidae","Soricomorpha",17,1,"Yes",9.275,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4.0024421496998,"Wild","","Laurasiatheria","viaria","Crocidura",2,19,2,2,0,35,2,0.057,1,0,0.477121254719662,1.23044892137827,1,0,3,0,0,0,0,0
"1364","Crocidura villosa",7656632,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","villosa","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1365","Crocidura virgata",3614509,"Soricidae","Eulipotyphla",10.42,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","virgata","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01786771896351,1,0,3,0,0,0,0,0
"1366","Crocidura voi",3614536,"Soricidae","Soricomorpha",10.35,2,"Yes",-3.516667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,-3.00045740230188,"Wild","","Laurasiatheria","voi","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,1,0,3,0,0,0,0,0
"1367","Crocidura vorax",3614507,"Soricidae","Soricomorpha",10.42,0,"Yes",17.5667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.335562056925,15.6757927476773,"Wild","","Laurasiatheria","vorax","Crocidura",1,26,1,1,0,20,1,0.05,1,0,0.301029995663981,1.01786771896351,1,0,3,0,0,0,0,0
"1368","Crocidura vosmaeri",3614545,"Soricidae","Soricomorpha",10.42,0,"Yes",-1.84848,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,-1,"Wild","","Laurasiatheria","vosmaeri","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01786771896351,NA,0,3,0,0,0,0,0
"1369","Crocidura vulcani",3614537,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","vulcani","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1370","Crocidura watasei",974853,"Soricidae","Eulipotyphla",10.42,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","watasei","Crocidura",7,136,7,7,0,29,6,0.207,5,1,0.845098040014257,1.01786771896351,1,0,3,0,0,0,0,0
"1371","Crocidura whitakeri",3614523,"Soricidae","Soricomorpha",5.5,1,"Yes",33.21,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.99999999999999,31.0052443078996,"Wild","","Laurasiatheria","whitakeri","Crocidura",2,98,2,2,0,33,2,0.061,1,0,0.477121254719662,0.740362689494244,1,0,3,0,0,0,0,0
"1372","Crocidura wimmeri",3614527,"Soricidae","Soricomorpha",23.5,1,"Yes",5.38,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,6.00367070585999,"Wild","","Laurasiatheria","wimmeri","Crocidura",3,21,3,3,0,9,2,0.222,1,0,0.477121254719662,1.37106786227174,4,0,3,0,0,2,0.477121254719662,0
"1373","Crocidura wuchihensis",486528,"Soricidae","Soricomorpha",4.3,1,"Yes",23.1185,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,23,"Wild","","Laurasiatheria","wuchihensis","Crocidura",1,5,1,1,0,8,1,0.125,0,0,0.301029995663981,0.633468455579587,NA,0,3,0,0,0,0,0
"1374","Crocidura xantippe",3614541,"Soricidae","Soricomorpha",10.35,2,"Yes",-5.066667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,-5,"Wild","","Laurasiatheria","xantippe","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,1,0,3,0,0,0,0,0
"1375","Crocidura yankariensis",3614546,"Soricidae","Soricomorpha",5,1,"Yes",4.416667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,5,"Wild","","Laurasiatheria","yankariensis","Crocidura",1,14,1,1,0,22,1,0.045,1,0,0.301029995663981,0.698970004336019,1,0,3,0,0,0,0,0
"1376","Crocidura zaitsevi",1003569,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","zaitsevi","Crocidura",2,38,1,2,0,14,2,0.143,2,0,0.477121254719662,NA,NA,0,3,0,0,0,0,0
"1377","Crocidura zaodon",5925651,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","zaodon","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1378","Crocidura zaphiri",3614559,"Soricidae","Eulipotyphla",10.35,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","zaphiri","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.01494034979294,NA,0,3,0,0,0,0,0
"1379","Crocidura zarudnyi",834350,"Soricidae","Soricomorpha",6.71,1,"Yes",33.561138,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9999999999994,34.0235600163583,"Wild","","Laurasiatheria","zarudnyi","Crocidura",2,7,2,2,0,14,1,0.071,0,0,0.301029995663981,0.826722520168992,1,0,3,0,0,0,0,0
"1380","Crocidura zena",7656633,"Soricidae","Eulipotyphla",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","zena","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,3,0,0,0,0,0
"1381","Crocidura zimmeri",3614511,"Soricidae","Soricomorpha",14.5,1,"Yes",-8.9,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,-9,"Wild","","Laurasiatheria","zimmeri","Crocidura",0,0,0,0,0,NA,0,0,0,0,0,1.16136800223497,NA,0,3,0,0,0,0,0
"1382","Crocidura zimmermanni",314774,"Soricidae","Eulipotyphla",10.35,2,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","","Laurasiatheria","zimmermanni","Crocidura",3,54,3,2,0,18,3,0.167,1,1,0.602059991327962,1.01494034979294,3,0,3,0,0,0,0,0
"1383","Crocuta crocuta",397157,"Hyaenidae","Carnivora",66492.06,1,"Yes",-3.170297,"Least Concern","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.121672707614,-20.3827649589072,"Partially-domesticated","","Laurasiatheria","crocuta","Crocuta",737,22555,258,0,0,82,78,0.951,471,15,1.89762709129044,4.82276978809914,1,1,2,1567,3.19534605834842,30,1.49136169383427,1
