"","species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y"
"560","Berardius arnuxii","Ziphiidae","Cetacea",1021375,7e+06,1,"Yes",-51.27361,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",175.660122880298,-39.6935721943815
"561","Berardius bairdii","Ziphiidae","Cetacea",1003906,11380000,1,"Yes",35.6,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-164.999999999999,54.2465130712774
"562","Berardius minimus","Ziphiidae","Cetacea",7655877,NA,NA,"Yes",44.10995,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",144.000000000004,45.0087284188943
"563","Berylmys berdmorei","Muridae","Rodentia",991571,235,1,"Yes",17.5611,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",105.000000000001,18.0113479632784
"564","Berylmys bowersi","Muridae","Rodentia",366063,300,1,"Yes",21.683331,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",103.663524179487,21.6795595463584
"565","Berylmys mackenziei","Muridae","Rodentia",3608704,256,1,"Yes",25.466669,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",93.0000000000006,24.5126956874646
"566","Berylmys manipulus","Muridae","Rodentia",3608703,116,1,"Yes",25.299999,"Data Deficient","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",95,25
"567","Bettongia anhydra","Potoroidae","Diprotodontia",5810212,NA,NA,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"568","Bettongia gaimardi","Potoroidae","Diprotodontia",83196,1660,1,"Yes",-41.9242395,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",147.407570555401,-41.8305484005429
"569","Bettongia gouldii","Potoroidae","Diprotodontia",7657223,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"570","Bettongia lesueur","Potoroidae","Diprotodontia",317165,1500,1,"Yes",-33.180346,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",136.252035390925,-28.9042917049941
"571","Bettongia penicillata","Potoroidae","Diprotodontia",97768,1300,1,NA,NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"572","Bettongia tropica","Potoroidae","Diprotodontia",483799,1256.58,1,"Yes",-17.025812,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",149.000000000007,-29.004837986279
"573","Bibimys chacoensis","Cricetidae","Rodentia",540521,28,1,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"574","Bibimys labiosus","Cricetidae","Rodentia",540517,29,1,"Yes",-23.209722,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-45,-23
"575","Bibimys torresi","Cricetidae","Rodentia",3608230,28,1,"Yes",-34.173237,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-59,-35
"576","Bison antiquus","Bovidae","Artiodactyla",931799,NA,NA,"Yes",29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-82.1166043049097,29.3101991839535
"577","Bison bison","Bovidae","Artiodactyla",907693,579255.28,1,NA,NA,"Near Threatened","construction_or_structural_materials","establishing_ex_situ_production","fibre","food_human","handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",NA,NA
"578","Bison bonasus","Bovidae","Artiodactyla",907684,5e+05,1,NA,NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"579","Bison priscus","Bovidae","Artiodactyla",920420,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"580","Bison schoetensacki","Bovidae","Artiodactyla",7067652,NA,NA,"Yes",52.4192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-1,53
"581","Biswamoyopterus biswasi","Sciuridae","Rodentia",3609183,1613.3,1,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"582","Biswamoyopterus laoensis","Sciuridae","Rodentia",6144982,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"583","Blanfordimys afghanus","Cricetidae","Rodentia",624829,56.99,2,"Yes",34.549999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",62.9999999999992,35.0061114673918
"584","Blanfordimys bucharensis","Cricetidae","Rodentia",177476,57.08,2,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"585","Blarina brevicauda","Soricidae","Soricomorpha",54160,28,1,"Yes",42.625835,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-85.5315093943817,43.4528503652349
"586","Blarina carolinensis","Soricidae","Soricomorpha",404816,13.5,1,"Yes",34.53903,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-87.4913379332257,34.2442924336709
"587","Blarina hylophaga","Soricidae","Soricomorpha",404814,14.5,1,"Yes",39.0485769136213,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-95.9046203552774,37.2149966068901
"588","Blarina peninsulae","Soricidae","Soricomorpha",3614400,17.63,0,"Yes",27.97843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-81,27
"589","Blarinella griselda","Soricidae","Soricomorpha",638160,12.5,0,"Yes",25.30788,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",99,25
"590","Blarinella quadraticauda","Soricidae","Soricomorpha",3614452,12.5,1,"Yes",30.333334,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",101.416874417154,28.6372123016953
"591","Blarinella wardi","Soricidae","Soricomorpha",3614453,11.26,2,"Yes",26,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",99,25
"592","Blarinomys breviceps","Cricetidae","Rodentia",196745,36.8,1,"Yes",-20.603611,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-40.3361635887946,-19.6782725515747
"593","Blastocerus dichotomus","Cervidae","Artiodactyla",678842,86666.25,1,"Yes",-28.02456,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-56.2504722099608,-19.0572772805337
"594","Blastocerus sylvestris","Cervidae","Artiodactyla",7655668,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"595","Bolomys amoenus","Cricetidae","Rodentia",1068790,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"596","Bolomys lasiurus","Cricetidae","Rodentia",936613,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"597","Bolomys temchuki","Cricetidae","Rodentia",817135,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"598","Bolomys urichi","Cricetidae","Rodentia",435931,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"599","Boneia bidens","Pteropodidae","Chiroptera",798253,NA,NA,"Yes",NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"600","Boromys offella","Echimyidae","Rodentia",3610481,272.28,0,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"601","Boromys torrei","Echimyidae","Rodentia",3611111,272.28,0,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"602","Bos bubalus","Bovidae","Artiodactyla",6146189,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"603","Boselaphus derbianus","Bovidae","Artiodactyla",7655537,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"604","Boselaphus tragocamelus","Bovidae","Artiodactyla",756060,169000,1,"Yes",26.825257,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",76.9653569590374,25.083222065518
"605","Bos frontalis","Bovidae","Artiodactyla",96935,8e+05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Domesticated","",NA,NA
"606","Bos gaurus","Bovidae","Artiodactyla",907680,NA,NA,NA,NA,"Vulnerable","food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"607","Bos grunniens","Bovidae","Artiodactyla",381164,416500,1,"Yes",48.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Domesticated","",87.5967561025824,29.0397216255436
"608","Bos javanicus","Bovidae","Artiodactyla",907672,625000,1,NA,NA,"Endangered","food_human","handicrafts_jewellery","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"609","Bos mutus","Bovidae","Artiodactyla",905084,NA,NA,"Yes",NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"610","Bos nanus","Bovidae","Artiodactyla",7655534,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"611","Bos primigenius","Bovidae","Artiodactyla",1066590,NA,NA,"Yes",NA,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"612","Bos pumilis","Bovidae","Artiodactyla",7655535,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"613","Bos sauveli","Bovidae","Artiodactyla",620923,8e+05,1,"Yes",12.566335653016,"Critically Endangered","food_human","handicrafts_jewellery","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",105,13
"614","Bos taurus","Bovidae","Artiodactyla",490099,9e+05,1,"Yes",-15.1004165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",141.144425371637,-26.3986586838022
"615","Brachiones przewalskii","Muridae","Rodentia",89265,61.11,2,"Yes",38.25,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",76.9999999999998,39.0070679488901
"616","Brachylagus idahoensis","Leporidae","Lagomorpha",923726,421.34,1,"Yes",41.9606675261641,"Least Concern","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-116.161772249354,41.4422412672767
"617","Brachyphylla cavernarum","Phyllostomidae","Chiroptera",456526,46.17,1,"Yes",18.057893,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-63.220247767005,16.6375050257454
"618","Brachyphylla nana","Phyllostomidae","Chiroptera",179313,35.83,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"619","Brachytarsomys albicauda","Nesomyidae","Rodentia",441614,200,1,"Yes",-19.296434,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",48.1917116310733,-18.2381563472397
"620","Brachytarsomys villosa","Nesomyidae","Rodentia",3608553,220,1,"Yes",-14.7741665,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",49,-15
"621","Brachyteles arachnoides","Atelidae","Primates",1058645,13499.88,1,"Yes",-20.7667,"Critically Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-43.0089622002776,-20.688808788424
"622","Brachyteles hypoxanthus","Atelidae","Primates",574171,13499.88,0,"Yes",-20.278311,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-41.6694849574037,-20.345032480364
"623","Brachyuromys betsileoensis","Nesomyidae","Rodentia",441611,92.5,1,"Yes",-21.22,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",47.0000000000002,-21.0301861422568
"624","Brachyuromys ramirohitra","Nesomyidae","Rodentia",277060,90,1,"Yes",-21.2233335,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",48.9999999999999,-20.0127119247471
"625","Bradypus pygmaeus","Bradypodidae","Pilosa",736497,4022.57,0,"Yes",9.05264,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-81,9
"626","Bradypus torquatus","Bradypodidae","Pilosa",759319,3899.96,1,"Yes",-19.929431,"Vulnerable","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-41.0000000000001,-20.0127119247471
"627","Bradypus tridactylus","Bradypodidae","Pilosa",527342,3849.99,1,"Yes",5.028825,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-56.8244301009824,4.82460363943659
"628","Bradypus variegatus","Bradypodidae","Pilosa (order in Deuterostomia)",273233,4335.01,1,NA,NA,"Least Concern","food_human","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"629","Bramapithecus thorpei","Hominidae","Primates",7655061,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"630","Brassomys albidens","Muridae","Rodentia",3608698,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"631","Brotomys contractus","Echimyidae","Rodentia",3611167,272.28,0,"Yes",18.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-71,19
"632","Brotomys voratus","Echimyidae","Rodentia",3611106,272.28,0,"Yes",18.32,"Extinct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-73.0000000000003,19.0030052338495
"633","Brucepattersonius albinasus","Cricetidae","Rodentia",4940971,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"635","Brucepattersonius guarani","Cricetidae","Rodentia",4940970,30.87,0,"Yes",-27.209546,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-55,-27
"636","Brucepattersonius igniventris","Cricetidae","Rodentia",540519,32,1,"Yes",-24.333333,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-49,-25
"637","Brucepattersonius iheringi","Cricetidae","Rodentia",4940968,43,1,"Yes",-26.98333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-55.0000000000003,-27.0044471007295
"638","Brucepattersonius misionensis","Cricetidae","Rodentia",4940969,43,1,"Yes",-27.0801325,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-54.0000000000003,-27.0044471007295
"639","Brucepattersonius paradisus","Cricetidae","Rodentia",4940972,30.87,0,"Yes",-26.4536245,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-54.9999999999999,-26.0170349623016
"640","Brucepattersonius soricinus","Cricetidae","Rodentia",365306,30.87,0,"Yes",-23.9340595755335,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-46.3367971475357,-23.6808839089492
"641","Bubalus andersoni","Bovidae","Artiodactyla",7655538,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"642","Bubalus arnee","Bovidae","Artiodactyla",641187,NA,NA,NA,NA,"Endangered","food_human","handicrafts_jewellery","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"643","Bubalus brachyceros","Bovidae","Artiodactyla",7655539,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"645","Bubalus carabanensis","Bovidae","Artiodactyla",116346,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"646","Bubalus centralis","Bovidae","Artiodactyla",7655540,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"647","Bubalus depressicornis","Bovidae","Artiodactyla",346060,3e+05,1,"Yes",0.316667,"Endangered","food_human","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,-4.00244214969981
"648","Bubalus mephistopheles","Bovidae","Artiodactyla",5557506,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"649","Bubalus mindorensis","Bovidae","Artiodactyla",989909,233333.33,1,"Yes",12.9787185,"Critically Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,15.0210697853835
"650","Bubalus nilssoni","Bovidae","Artiodactyla",7655541,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"651","Bubalus planiceros","Bovidae","Artiodactyla",7655542,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"652","Bubalus quarlesi","Bovidae","Artiodactyla",463449,150000,1,"Yes",-1.938559,"Endangered","food_human","medicine","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",119,-3.00045740230188
"653","Budorcas bedfordi","Bovidae","Artiodactyla",7655548,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"654","Budorcas taxicolor","Bovidae","Artiodactyla",860784,302000,1,NA,NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"655","Bullimus bagobus","Muridae","Rodentia",931920,432.5,1,"Yes",8.217,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",124.998370962511,9.35545626778541
"656","Bullimus gamay","Muridae","Rodentia",931923,367.8,1,"Yes",9.1832,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",125,9
"657","Bullimus luzonicus","Muridae","Rodentia",931922,445,1,"Yes",16.25527,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121.802500414237,17.4208421836971
"658","Bunolagus monticularis","Leporidae","Lagomorpha",923729,1750.01,1,"Yes",-29.3613295,"Critically Endangered","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",22,-33.0056680518071
"659","Bunomys andrewsi","Muridae","Rodentia",742015,125,1,"Yes",-2.79281,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",120.333062424702,-2.33451692538573
"660","Bunomys chrysocomus","Muridae","Rodentia",481162,116,1,"Yes",-1.183333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",122.199707252132,-0.200967736891119
"661","Bunomys chrysocomys","Muridae","Rodentia",7654737,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"662","Bunomys coelestis","Muridae","Rodentia",3608757,120,1,"Yes",-5.304112,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",119,-5
"663","Bunomys fratrorum","Muridae","Rodentia",3608754,135,1,"Yes",1.10607,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,1.00015234351658
"664","Bunomys karokophilus","Muridae","Rodentia",6144884,NA,NA,"Yes",-1.183333,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,-1
"665","Bunomys penitus","Muridae","Rodentia",3608755,170,1,"Yes",-3.40755,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",120.333062424702,-2.33451692538573
"666","Bunomys prolatus","Muridae","Rodentia",3608753,131,1,"Yes",-1.212911,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",121,-1
"667","Bunomys torajae","Muridae","Rodentia",6144885,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"668","Bunopithecus hoolock","Hylobatidae","Primates",1029474,6699,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"669","Burramys parvus","Burramyidae","Diprotodontia",277687,41.5,1,"Yes",-36.420355,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",149.378281894762,-35.4473968234787
"670","Cabassous centralis","Dasypodidae","Cingulata",4119200,3809.96,1,"Yes",6.02,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-75.9970194021613,7.51940037162879
"671","Cabassous chacoensis","Dasypodidae","Cingulata",4119201,1490.01,1,"Yes",-27.0958635,"Near Threatened","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-64.9999999999994,-29.0048379862776
"672","Cabassous tatouay","Dasypodidae","Cingulata",4119202,5349.95,1,"Yes",-25.709615,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-54.9999999999997,-26.5138952676609
"673","Cabassous unicinctus","Dasypodidae","Cingulata",1014321,4799.99,1,"Yes",0.48547,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-59,4.00244214969981
"674","Cacajao ayresi","Pitheciidae","Primates",6557,NA,NA,"Yes",NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"675","Cacajao calvus","Pitheciidae","Primates",1058649,5796.02,1,NA,NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"676","Cacajao hosomi","Pitheciidae","Primates",6559,NA,NA,"Yes",NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA
"677","Cacajao melanocephalus","Pitheciidae","Primates",1022358,3100,1,"Yes",1.497128,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-72,1.00015234351658
"678","Cacajao rubicundus","Pitheciidae","Primates",4319,NA,NA,"Yes",-8.2498205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-54.9999999999998,-13.0020149689628
