"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","logh1"
"5818","Sciurocheirus_makandensis","makandensis","Sciurocheirus",0,0,0,0,0,NA,0,0,0,0,0
"5819","Sciurotamias_davidianus","davidianus","Sciurotamias",2,25,2,2,0,9,2,0.222,1,1,0.477121254719662
"5820","Sciurotamias_forresti","forresti","Sciurotamias",0,0,0,0,0,NA,0,0,0,0,0
"5821","Sciurus_aestuans","aestuans","Sciurus",1,87,1,1,0,18,1,0.056,1,0,0.301029995663981
"5822","Sciurus_alleni","alleni","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5823","Sciurus_annulatus","annulatus","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5824","Sciurus_anomalus","anomalus","Sciurus",5,9,5,4,1,5,2,0.4,0,2,0.477121254719662
"5825","Sciurus_arizonensis","arizonensis","Sciurus",1,16,1,1,0,10,1,0.1,1,0,0.301029995663981
"5826","Sciurus_aureogaster","aureogaster","Sciurus",6,81,5,6,0,16,4,0.25,3,1,0.698970004336019
"5827","Sciurus_colliaei","colliaei","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5828","Sciurus_deppei","deppei","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5829","Sciurus_ebii","ebii","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5830","Sciurus_erythropus","erythropus","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5831","Sciurus_flammifer","flammifer","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5832","Sciurus_gilvigularis","gilvigularis","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5833","Sciurus_griseus","griseus","Sciurus",4,25,4,4,0,17,2,0.118,1,1,0.477121254719662
"5834","Sciurus_igniventris","igniventris","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5835","Sciurus_javanicus","javanicus","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5836","Sciurus_lis","lis","Sciurus",1,32,1,1,0,8,1,0.125,1,0,0.301029995663981
"5837","Sciurus_maltei","maltei","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5838","Sciurus_nayaritensis","nayaritensis","Sciurus",1,8,1,1,0,8,1,0.125,0,0,0.301029995663981
"5839","Sciurus_oculatus","oculatus","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5840","Sciurus_pucheranii","pucheranii","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5841","Sciurus_pyrrhinus","pyrrhinus","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5842","Sciurus_richmondi","richmondi","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5843","Sciurus_sanborni","sanborni","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5844","Sciurus_spadiceus","spadiceus","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5845","Sciurus_urucumus","urucumus","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5846","Sciurus_vareigatoides","vareigatoides","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5847","Sciurus_variabilis","variabilis","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5848","Sciurus_whitei","whitei","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5849","Sciurus_yucatanensis","yucatanensis","Sciurus",0,0,0,0,0,NA,0,0,0,0,0
"5850","Scleronycteris_ega","ega","Scleronycteris",0,0,0,0,0,NA,0,0,0,0,0
"5851","Scolomys_juruaense","juruaense","Scolomys",0,0,0,0,0,NA,0,0,0,0,0
"5852","Scolomys_melanops","melanops","Scolomys",1,9,1,1,0,6,1,0.167,0,0,0.301029995663981
"5853","Scolomys_ucayalensis","ucayalensis","Scolomys",0,0,0,0,0,NA,0,0,0,0,0
"5854","Scoteanax_rueppellii","rueppellii","Scoteanax",1,56,1,1,0,21,1,0.048,1,0,0.301029995663981
"5855","Scotinomys_teguina","teguina","Scotinomys",2,70,2,2,0,14,2,0.143,1,0,0.477121254719662
"5856","Scotinomys_xerampelinus","xerampelinus","Scotinomys",0,0,0,0,0,NA,0,0,0,0,0
"5857","Scotoecus_albigula","albigula","Scotoecus",0,0,0,0,0,NA,0,0,0,0,0
"5858","Scotoecus_albofuscus","albofuscus","Scotoecus",0,0,0,0,0,NA,0,0,0,0,0
"5859","Scotoecus_hindei","hindei","Scotoecus",0,0,0,0,0,NA,0,0,0,0,0
"5860","Scotoecus_hirundo","hirundo","Scotoecus",1,3,1,1,0,4,1,0.25,0,1,0.301029995663981
"5861","Scotoecus_pallidus","pallidus","Scotoecus",0,0,0,0,0,NA,0,0,0,0,0
"5862","Scotomanes_ornatus","ornatus","Scotomanes",0,0,0,0,0,NA,0,0,0,0,0
"5863","Scotonycteris_bergmansi","bergmansi","Scotonycteris",0,0,0,0,0,NA,0,0,0,0,0
"5864","Scotonycteris_ophiodon","ophiodon","Scotonycteris",0,0,0,0,0,NA,0,0,0,0,0
"5865","Scotophilus_andrewreborii","andrewreborii","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5866","Scotophilus_bonbonicus","bonbonicus","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5867","Scotophilus_borbonicus","borbonicus","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5868","Scotophilus_celebensis","celebensis","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5869","Scotophilus_collinus","collinus","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5870","Scotophilus_dinganii","dinganii","Scotophilus",2,8,2,2,0,14,2,0.143,0,1,0.477121254719662
"5871","Scotophilus_ejetai","ejetai","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5872","Scotophilus_heathii","heathii","Scotophilus",4,24,4,2,1,7,1,0.143,1,0,0.301029995663981
"5873","Scotophilus_kuhlii","kuhlii","Scotophilus",4,22,4,0,0,17,3,0.176,1,2,0.602059991327962
"5874","Scotophilus_leucogaster","leucogaster","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5875","Scotophilus_livingstonii","livingstonii","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5876","Scotophilus_marovaza","marovaza","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5877","Scotophilus_mhlangani","mhlangani","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5878","Scotophilus_nigrita","nigrita","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5879","Scotophilus_nucella","nucella","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5880","Scotophilus_nux","nux","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5881","Scotophilus_robustus","robustus","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5882","Scotophilus_tandrefana","tandrefana","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5883","Scotophilus_temminckii","temminckii","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5884","Scotophilus_trujilloi","trujilloi","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5885","Scotophilus_wroughtoni","wroughtoni","Scotophilus",0,0,0,0,0,NA,0,0,0,0,0
"5886","Scotorepens_balstoni","balstoni","Scotorepens",2,72,2,2,0,26,2,0.077,2,0,0.477121254719662
"5887","Scotorepens_greyii","greyii","Scotorepens",0,0,0,0,0,NA,0,0,0,0,0
"5888","Scotorepens_orion","orion","Scotorepens",0,0,0,0,0,NA,0,0,0,0,0
"5889","Scotorepens_sanborni","sanborni","Scotorepens",0,0,0,0,0,NA,0,0,0,0,0
"5890","Scotozous_dormeri","dormeri","Scotozous",1,64,1,1,0,20,1,0.05,1,0,0.301029995663981
"5891","Scutisorex_congicus","congicus","Scutisorex",0,0,0,0,0,NA,0,0,0,0,0
"5892","Scutisorex_somereni","somereni","Scutisorex",0,0,0,0,0,NA,0,0,0,0,0
"5893","Scutisorex_thori","thori","Scutisorex",0,0,0,0,0,NA,0,0,0,0,0
"5894","Sekeetamys_calurus","calurus","Sekeetamys",2,51,2,1,1,35,2,0.057,1,1,0.477121254719662
"5895","Selevinia_betpakdalaensis","betpakdalaensis","Selevinia",0,0,0,0,0,NA,0,0,0,0,0
"5896","Semnopithecus_ajax","ajax","Semnopithecus",4,5,4,4,0,4,1,0.25,0,1,0.301029995663981
"5897","Semnopithecus_hector","hector","Semnopithecus",1,4,1,1,0,1,1,1,0,1,0.301029995663981
"5898","Semnopithecus_hypoleucos","hypoleucos","Semnopithecus",0,0,0,0,0,NA,0,0,0,0,0
"5899","Semnopithecus_natunae","natunae","Semnopithecus",0,0,0,0,0,NA,0,0,0,0,0
"5900","Semnopithecus_nestor","nestor","Semnopithecus",0,0,0,0,0,NA,0,0,0,0,0
"5901","Semnopithecus_palaeindicus","palaeindicus","Semnopithecus",0,0,0,0,0,NA,0,0,0,0,0
"5902","Semnopithecus_priam","priam","Semnopithecus",4,30,4,4,0,11,2,0.182,1,1,0.477121254719662
"5903","Semnopithecus_schistaceus","schistaceus","Semnopithecus",3,19,3,2,1,2,2,1,1,2,0.477121254719662
"5904","Semnopithecus_subanus","subanus","Semnopithecus",0,0,0,0,0,NA,0,0,0,0,0
"5905","Semnopithecus_subhimalayanus","subhimalayanus","Semnopithecus",0,0,0,0,0,NA,0,0,0,0,0
"5906","Setifer_setosus","setosus","Setifer",2,72,2,2,0,7,2,0.286,2,0,0.477121254719662
"5907","Setonix_brachyurus","brachyurus","Setonix",24,231,15,21,2,20,9,0.45,8,3,1
"5908","Sicista_armenica","armenica","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5909","Sicista_betulina","betulina","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5910","Sicista_caucasica","caucasica","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5911","Sicista_caudata","caudata","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5912","Sicista_concolor","concolor","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5913","Sicista_kazbegica","kazbegica","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5914","Sicista_kluchorica","kluchorica","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5915","Sicista_lorigera","lorigera","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5916","Sicista_napaea","napaea","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5917","Sicista_nordmanni","nordmanni","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5918","Sicista_pseudonapaea","pseudonapaea","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5919","Sicista_strandi","strandi","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5920","Sicista_tianshanica","tianshanica","Sicista",0,0,0,0,0,NA,0,0,0,0,0
"5921","Sigmodon_alleni","alleni","Sigmodon",0,0,0,0,0,NA,0,0,0,0,0
"5922","Sigmodon_alstoni","alstoni","Sigmodon",1,2,1,1,0,28,1,0.036,0,0,0.301029995663981
"5923","Sigmodon_hirsutus","hirsutus","Sigmodon",2,25,2,2,0,12,2,0.167,1,0,0.477121254719662
"5924","Sigmodon_inopinatus","inopinatus","Sigmodon",0,0,0,0,0,NA,0,0,0,0,0
"5925","Sigmodon_leucotis","leucotis","Sigmodon",2,28,2,2,0,12,2,0.167,1,0,0.477121254719662
"5926","Sigmodon_mascotensis","mascotensis","Sigmodon",1,21,1,1,0,12,1,0.083,1,0,0.301029995663981
"5927","Sigmodon_ochrognathus","ochrognathus","Sigmodon",2,47,2,2,0,12,2,0.167,2,0,0.477121254719662
"5928","Sigmodon_peruanus","peruanus","Sigmodon",1,21,1,1,0,12,1,0.083,1,0,0.301029995663981
"5929","Sigmodon_planifrons","planifrons","Sigmodon",0,0,0,0,0,NA,0,0,0,0,0
"5930","Sigmodon_toltecus","toltecus","Sigmodon",3,42,3,3,0,12,3,0.25,2,1,0.602059991327962
"5931","Sigmodontomys_alfari","alfari","Sigmodontomys",0,0,0,0,0,NA,0,0,0,0,0
"5932","Sigmodontomys_aphrastus","aphrastus","Sigmodontomys",0,0,0,0,0,NA,0,0,0,0,0
"5933","Sigmodon_zanjonensis","zanjonensis","Sigmodon",0,0,0,0,0,NA,0,0,0,0,0
"5934","Simias_concolor","concolor","Simias",3,46,2,3,0,13,3,0.231,3,0,0.602059991327962
"5935","Sivaceros_gradiens","gradiens","Sivaceros",0,0,0,0,0,NA,0,0,0,0,0
"5936","Sminthopsis_aitkeni","aitkeni","Sminthopsis",1,7,1,1,0,23,1,0.043,0,0,0.301029995663981
"5937","Sminthopsis_archeri","archeri","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5938","Sminthopsis_bindi","bindi","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5939","Sminthopsis_boullangerensis","boullangerensis","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5940","Sminthopsis_butleri","butleri","Sminthopsis",1,22,1,1,0,15,1,0.067,1,0,0.301029995663981
"5941","Sminthopsis_crassicaudata","crassicaudata","Sminthopsis",17,334,16,13,2,47,11,0.234,12,1,1.07918124604762
"5942","Sminthopsis_dolichura","dolichura","Sminthopsis",2,12,2,2,0,24,2,0.083,0,0,0.477121254719662
"5943","Sminthopsis_douglasi","douglasi","Sminthopsis",3,129,3,2,0,18,2,0.111,1,0,0.477121254719662
"5944","Sminthopsis_froggatti","froggatti","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5945","Sminthopsis_fuliginosus","fuliginosus","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5946","Sminthopsis_gilberti","gilberti","Sminthopsis",1,7,1,1,0,23,1,0.043,0,0,0.301029995663981
"5947","Sminthopsis_granulipes","granulipes","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5948","Sminthopsis_griseoventer","griseoventer","Sminthopsis",3,14,2,3,0,23,3,0.13,0,0,0.602059991327962
"5949","Sminthopsis_hirtipes","hirtipes","Sminthopsis",2,123,2,2,0,26,2,0.077,1,0,0.477121254719662
"5950","Sminthopsis_longicaudata","longicaudata","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
"5951","Sminthopsis_lumholtzi","lumholtzi","Sminthopsis",0,0,0,0,0,NA,0,0,0,0,0
