"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5"
"571","Bradypus_tridactylus","tridactylus","Bradypus",71,698,53,70,1,187,16,0.086,20,5
"572","Bramapithecus_thorpei","thorpei","Bramapithecus",0,0,0,0,0,NA,0,0,0,0
"573","Brandtocetus_chongulek","chongulek","Brandtocetus",1,13,1,1,0,7,1,0.143,1,0
"574","Brassomys_albidens","albidens","Brassomys",0,0,0,0,0,NA,0,0,0,0
"575","Brotomys_contractus","contractus","Brotomys",0,0,0,0,0,NA,0,0,0,0
"576","Brotomys_voratus","voratus","Brotomys",0,0,0,0,0,NA,0,0,0,0
"577","Brucepattersonius_griserufescens","griserufescens","Brucepattersonius",2,8,2,2,0,23,2,0.087,0,0
"578","Brucepattersonius_guarani","guarani","Brucepattersonius",0,0,0,0,0,NA,0,0,0,0
"579","Brucepattersonius_igniventris","igniventris","Brucepattersonius",0,0,0,0,0,NA,0,0,0,0
"580","Brucepattersonius_iheringi","iheringi","Brucepattersonius",4,34,4,4,0,11,3,0.273,2,1
"581","Brucepattersonius_misionensis","misionensis","Brucepattersonius",0,0,0,0,0,NA,0,0,0,0
"582","Brucepattersonius_paradisus","paradisus","Brucepattersonius",0,0,0,0,0,NA,0,0,0,0
"583","Brucepattersonius_soricinus","soricinus","Brucepattersonius",3,62,3,3,0,12,3,0.25,3,0
"584","Bubalus_andersoni","andersoni","Bubalus",0,0,0,0,0,NA,0,0,0,0
"585","Bubalus_brachyceros","brachyceros","Bubalus",0,0,0,0,0,NA,0,0,0,0
"586","Bubalus_carabanensis","carabanensis","Bubalus",7,38,7,7,0,12,2,0.167,1,1
"587","Bubalus_centralis","centralis","Bubalus",0,0,0,0,0,NA,0,0,0,0
"588","Bubalus_depressicornis","depressicornis","Bubalus",45,1049,39,34,1,49,18,0.367,22,3
"589","Bubalus_mephistopheles","mephistopheles","Bubalus",1,6,1,1,0,5,1,0.2,0,1
"590","Bubalus_mindorensis","mindorensis","Bubalus",10,112,10,9,0,55,5,0.091,4,0
