"","genus_species","species","genus","publications","citations","journals","years_publishing","h","m","i10","h5","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y","clade","logh","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin"
"17","Abrothrix lanosus","lanosus","Abrothrix",3,24,3,11,2,0.182,1,0,"Cricetidae","Rodentia",843843,27.83,1,"Yes",-53.150001,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-68.0000000000006,-55.012466461501,"Euarchontoglires",0.301029995663981,0.477121254719662,1.44451320633404,1,0,3
"18","Abrothrix longipilis","longipilis","Abrothrix",74,1521,46,58,22,0.379,42,3,"Cricetidae","Rodentia",754326,38.86,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",1.34242268082221,1.36172783601759,1.58950279626376,1,0,3
"19","Abrothrix manni","manni","Abrothrix",2,2,2,3,1,0.333,0,1,"Cricetidae","Rodentia",5925545,NA,NA,"Yes",-41.066666,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-72.5112862385242,-40.5704494711089,"Euarchontoglires",0,0.301029995663981,NA,1,0,3
"20","Abrothrix markhami","markhami","Abrothrix",1,13,1,13,1,0.077,1,0,"Cricetidae","Rodentia",311709,29.03,2,"Yes",-49.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-75,-49,"Euarchontoglires",0,0.301029995663981,1.46284703583167,NA,0,3
"21","Abrothrix olivaceus","olivaceus","Abrothrix",61,1159,38,34,19,0.559,32,5,"Cricetidae","Rodentia",754318,24.52,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",1.27875360095283,1.30102999566398,1.38952046584638,1,0,3
"22","Abrothrix sanborni","sanborni","Abrothrix",9,260,4,33,7,0.212,7,1,"Cricetidae","Rodentia",3608360,24.7,1,"Yes",-43.116665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-72.6377432537345,-44.1014802652149,"Euarchontoglires",0.845098040014257,0.903089986991944,1.39269695325967,NA,0,3
"23","Acerodon celebensis","celebensis","Acerodon",4,61,4,13,3,0.231,2,1,"Pteropodidae","Chiroptera",635022,390,1,"Yes",-1.133333,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,118.999999999999,-5.00076357997971,"Laurasiatheria",0.477121254719662,0.602059991327962,2.5910646070265,2,1,3
"24","Acerodon humilis","humilis","Acerodon",1,28,1,19,1,0.053,1,0,"Pteropodidae","Chiroptera",3613521,462.47,2,"Yes",4.01,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,127,5,"Laurasiatheria",0,0.301029995663981,2.6650835657085,3,1,3
"25","Acerodon jubatus","jubatus","Acerodon",6,144,6,16,5,0.312,5,1,"Pteropodidae","Chiroptera",718815,1075,1,"Yes",9.4166,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,122.824512766941,11.4042099008553,"Laurasiatheria",0.698970004336019,0.778151250383644,3.03140846425162,3,1,3
"26","Acerodon leucotis","leucotis","Acerodon",1,75,1,17,1,0.059,1,0,"Pteropodidae","Chiroptera",3613520,462.47,2,"Yes",9.73,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,121,13.0020149689628,"Laurasiatheria",0,0.301029995663981,2.6650835657085,2,1,3
