"","genus_species","species","genus","publications","citations","journals","years_publishing","h","m","i10","h5","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y","clade","logh","logh1","logmass","iucn_bin","humanuse_bin","domestication_bin"
"1834","Delanymys brooksi","brooksi","Delanymys",1,1,1,38,1,0.026,0,0,"Nesomyidae","Rodentia",3610305,5,1,"Yes",-2.38082,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,29,-1.0013724856488,"Euarchontoglires",0,0.301029995663981,0.698970004336019,2,0,3
"1835","Delomys altimontanus","altimontanus","Delomys",0,0,0,NA,0,0,0,0,"Cricetidae","Rodentia",5340675,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,NA,0,3
"1836","Delomys collinus","collinus","Delomys",1,41,1,46,1,0.022,1,0,"Cricetidae","Rodentia",315215,77.94,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,1.89176040145667,1,0,3
"1837","Delomys dorsalis","dorsalis","Delomys",16,310,13,46,9,0.196,9,3,"Cricetidae","Rodentia",196751,67.5,1,"Yes",-23.65,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-54.3295593589495,-26.3489800433744,"Euarchontoglires",0.954242509439325,1,1.82930377283102,1,0,3
"1838","Delomys sublineatus","sublineatus","Delomys",11,276,9,13,10,0.769,10,0,"Cricetidae","Rodentia",247845,90,1,"Yes",-22.299999,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-46.6074974204807,-23.4112727841087,"Euarchontoglires",1,1.04139268515822,1.95424250943932,1,0,3
"1839","Delphinapterus leucas","leucas","Delphinapterus",841,23270,267,141,72,0.511,494,15,"Monodontidae","Cetacea",851318,1360000,1,"Yes",66.2597,"Least Concern","food_human","handicrafts_jewellery","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,14.6037309289416,78.9796531472772,"Laurasiatheria",1.85733249643127,1.86332286012046,6.13353890837022,1,1,3
"1840","Delphinus capensis","capensis","Delphinus",110,2476,66,27,30,1.111,64,4,"Delphinidae","Cetacea",1094064,80000,0,"Yes",33.6233,"Data Deficient","food_animal","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-117.282079000963,32.1996443586923,"Laurasiatheria",1.47712125471966,1.49136169383427,4.90308998699194,NA,1,3
"1841","Delphinus delphis","delphis","Delphinus",781,17832,275,142,66,0.465,434,14,"Delphinidae","Artiodactyla",698438,80000,1,NA,NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Laurasiatheria",1.81954393554187,1.82607480270083,4.90308998699194,3,0,3
"1842","Delphinus tropicalis","tropicalis","Delphinus",7,179,6,49,4,0.082,3,0,"Delphinidae","Artiodactyla",1094002,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Laurasiatheria",0.602059991327962,0.698970004336019,NA,NA,0,3
"1843","Deltamys araucaria","araucaria","Deltamys",2,11,1,4,2,0.5,0,2,"Cricetidae","Rodentia",7067236,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.301029995663981,0.477121254719662,NA,NA,0,3
"1844","Deltamys kempi","kempi","Deltamys",23,308,21,42,9,0.214,8,2,"Cricetidae","Rodentia",191287,26.4,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.954242509439325,1,1.42160392686983,1,0,3
"1845","Dendrogale melanura","melanura","Dendrogale",3,8,3,18,2,0.111,0,1,"Tupaiidae","Scandentia",742280,60,1,"Yes",6.0801,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,117,6.00367070586001,"Euarchontoglires",0.301029995663981,0.477121254719662,1.77815125038364,NA,0,3
"1846","Dendrogale murina","murina","Dendrogale",9,40,9,22,4,0.182,1,1,"Tupaiidae","Scandentia",396022,50,1,"Yes",12.1827,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,108,12.0074234947157,"Euarchontoglires",0.602059991327962,0.698970004336019,1.69897000433602,1,0,3
"1847","Dendrohyrax adersi","adersi","Dendrohyrax",0,0,0,NA,0,0,0,0,"Procaviidae","Hyracoidea",7654194,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Afrotheria",-Inf,0,NA,NA,0,3
"1848","Dendrohyrax arboreus","arboreus","Dendrohyrax",11,141,9,50,5,0.1,4,2,"Procaviidae","Hyracoidea",1079385,2949.99,1,"Yes",-1.4,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,36.7467354735077,-3.14866045533186,"Afrotheria",0.698970004336019,0.778151250383644,3.46982054379098,1,1,3
"1849","Dendrohyrax crawshayi","crawshayi","Dendrohyrax",0,0,0,NA,0,0,0,0,"Procaviidae","Hyracoidea",7654195,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Afrotheria",-Inf,0,NA,NA,0,3
"1850","Dendrohyrax dorsalis","dorsalis","Dendrohyrax",9,144,8,52,4,0.077,3,0,"Procaviidae","Hyracoidea",285372,3175,1,"Yes",5.28,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-3.56765003162212,7.01100827475403,"Afrotheria",0.602059991327962,0.698970004336019,3.50174372962799,1,1,3
"1851","Dendrohyrax emini","emini","Dendrohyrax",0,0,0,NA,0,0,0,0,"Procaviidae","Hyracoidea",7654196,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Afrotheria",-Inf,0,NA,NA,0,3
"1852","Dendrolagus bennettianus","bennettianus","Dendrolagus",4,60,4,22,4,0.182,2,0,"Macropodidae","Diprotodontia",78846,10950,1,"Yes",-15.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,144.999999999999,-16.0100146374083,"Marsupials & monotremes",0.602059991327962,0.698970004336019,4.03941411917614,NA,0,3
"1853","Dendrolagus dorianus","dorianus","Dendrolagus",5,20,5,24,3,0.125,0,0,"Macropodidae","Diprotodontia",619969,9581,1,NA,NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",0.477121254719662,0.602059991327962,3.98141084016589,2,1,3
"1854","Dendrolagus goodfellowi","goodfellowi","Dendrolagus",11,133,11,39,7,0.179,4,1,"Macropodidae","Diprotodontia",567249,8025,1,NA,NA,"Endangered","food_human","other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",0.845098040014257,0.903089986991944,3.90444504107691,3,1,3
"1855","Dendrolagus inustus","inustus","Dendrolagus",2,2,2,36,1,0.028,0,0,"Macropodidae","Diprotodontia",277695,13031.25,1,NA,NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",0,0.301029995663981,4.11498607665385,2,1,3
"1856","Dendrolagus lumholtzi","lumholtzi","Dendrolagus",35,789,22,37,15,0.405,18,2,"Macropodidae","Diprotodontia",756151,6750,1,"Yes",-17.365827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,146,-18.0113479632783,"Marsupials & monotremes",1.17609125905568,1.20411998265592,3.82930377283102,NA,0,3
"1857","Dendrolagus matschiei","matschiei","Dendrolagus",23,173,17,74,8,0.108,6,1,"Macropodidae","Diprotodontia",579327,6960,1,"Yes",40.156079,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-117,33.0056680518072,"Marsupials & monotremes",0.903089986991944,0.954242509439325,3.84260923961056,3,1,3
"1858","Dendrolagus maximus","maximus","Dendrolagus",0,0,0,NA,0,0,0,0,"Macropodidae","Diprotodontia",7657187,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",-Inf,0,NA,NA,0,3
"1859","Dendrolagus mayri","mayri","Dendrolagus",0,0,0,NA,0,0,0,0,"Macropodidae","Diprotodontia",3606994,NA,NA,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",-Inf,0,NA,4,1,3
"1860","Dendrolagus mbaiso","mbaiso","Dendrolagus",3,23,2,26,2,0.077,1,0,"Macropodidae","Diprotodontia",3606997,9395.06,1,"Yes",NA,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",0.301029995663981,0.477121254719662,3.97289955799543,3,1,3
"1861","Dendrolagus pulcherrimus","pulcherrimus","Dendrolagus",0,0,0,NA,0,0,0,0,"Macropodidae","Diprotodontia",3606993,9511.11,0,"Yes",NA,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",-Inf,0,3.97823120450249,4,1,3
"1862","Dendrolagus scottae","scottae","Dendrolagus",1,9,1,24,1,0.042,0,0,"Macropodidae","Diprotodontia",837434,10375,1,"Yes",-3.29969206045412,"Critically Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,141,-3,"Marsupials & monotremes",0,0.301029995663981,4.01598810538413,4,1,3
"1863","Dendrolagus spadix","spadix","Dendrolagus",2,11,2,18,2,0.111,0,0,"Macropodidae","Diprotodontia",555307,9100,1,"Yes",NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Marsupials & monotremes",0.301029995663981,0.477121254719662,3.95904139232109,2,1,3
"1864","Dendrolagus stellarum","stellarum","Dendrolagus",0,0,0,NA,0,0,0,0,"Macropodidae","Diprotodontia",3606992,9511.11,0,"Yes",-3.9167,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,137,-3,"Marsupials & monotremes",-Inf,0,3.97823120450249,2,1,3
"1865","Dendrolagus ursinus","ursinus","Dendrolagus",1,1,1,8,1,0.125,0,0,"Macropodidae","Diprotodontia",3606996,13250,1,"Yes",-3.760833,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,135,-2.00121958443328,"Marsupials & monotremes",0,0.301029995663981,4.12221587827283,2,1,3
"1866","Dendromus haymani","haymani","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",7654846,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,NA,0,3
"1867","Dendromus insignis","insignis","Dendromus",2,29,2,54,2,0.037,1,0,"Nesomyidae","Rodentia",3608542,11.05,1,"Yes",-1.675,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,29.8885871843471,0.557849058755325,"Euarchontoglires",0.301029995663981,0.477121254719662,1.04336227802113,1,0,3
"1868","Dendromus kahuziensis","kahuziensis","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",3608547,11,1,"Yes",NA,"Critically Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,1.04139268515822,4,0,3
"1869","Dendromus kivu","kivu","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",3608543,NA,NA,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,NA,1,0,3
"1870","Dendromus lachaisei","lachaisei","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",7654847,NA,NA,"Yes",7.87,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-9,7,"Euarchontoglires",-Inf,0,NA,NA,0,3
"1871","Dendromus leucostomus","leucostomus","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",3608541,10.79,0,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,1.03302144468291,NA,0,3
"1872","Dendromus lovati","lovati","Dendromus",4,87,4,45,3,0.067,1,1,"Nesomyidae","Rodentia",3608538,12,1,"Yes",13.23159,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,39.665575259505,7.67110293456822,"Euarchontoglires",0.477121254719662,0.602059991327962,1.07918124604762,1,0,3
"1873","Dendromus melanotis","melanotis","Dendromus",3,26,3,29,3,0.103,1,0,"Nesomyidae","Rodentia",3608546,9.06,1,"Yes",-2.50835,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,20.995803682966,-21.3848221874763,"Euarchontoglires",0.477121254719662,0.602059991327962,0.957128197676813,1,0,3
"1874","Dendromus mesomelas","mesomelas","Dendromus",2,17,2,7,2,0.286,1,0,"Nesomyidae","Rodentia",1050970,11.12,1,"Yes",-24.34,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,24.4951916696489,-30.0512884570273,"Euarchontoglires",0.301029995663981,0.477121254719662,1.04610478724604,1,0,3
"1875","Dendromus messorius","messorius","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",3608539,12.81,2,"Yes",7.083333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,2.20138076644899,8.61045040912144,"Euarchontoglires",-Inf,0,1.10754912974469,1,0,3
"1876","Dendromus mystacalis","mystacalis","Dendromus",4,51,4,24,3,0.125,3,1,"Nesomyidae","Rodentia",254740,7.72,1,"Yes",0.15,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,29.7693177927319,1.77437693418278,"Euarchontoglires",0.477121254719662,0.602059991327962,0.887617300335736,1,0,3
"1877","Dendromus nikolausi","nikolausi","Dendromus",1,4,1,2,1,0.5,0,1,"Nesomyidae","Rodentia",3610450,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,NA,NA,0,3
"1878","Dendromus nyikae","nyikae","Dendromus",1,12,1,35,1,0.029,1,0,"Nesomyidae","Rodentia",565421,15,1,"Yes",-13.0667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,33.9999999999999,-14.0087077749104,"Euarchontoglires",0,0.301029995663981,1.17609125905568,1,0,3
"1879","Dendromus oreas","oreas","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",3608540,12.76,2,"Yes",4.2,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,9,5,"Euarchontoglires",-Inf,0,1.10585067438514,1,0,3
"1880","Dendromus vernayi","vernayi","Dendromus",0,0,0,NA,0,0,0,0,"Nesomyidae","Rodentia",3608544,12.76,2,"Yes",-11.375,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,17,-11,"Euarchontoglires",-Inf,0,1.10585067438514,NA,0,3
"1881","Dendroprionomys rousseloti","rousseloti","Dendroprionomys",1,5,1,55,1,0.018,0,0,"Nesomyidae","Rodentia",3610280,67.18,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0,0.301029995663981,1.82723999950565,NA,0,3
"1882","Deomys ferrugineus","ferrugineus","Deomys",13,171,7,57,8,0.14,8,1,"Muridae","Rodentia",254745,62,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",0.903089986991944,0.954242509439325,1.79239168949825,1,0,3
"1883","Dephomys defua","defua","Dephomys",1,6,1,62,1,0.016,0,0,"Muridae","Rodentia",685867,43.05,1,"Yes",5.825,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-6.67194730197421,6.50748083328329,"Euarchontoglires",0,0.301029995663981,1.63397315578967,1,0,3
"1884","Dephomys eburneae","eburneae","Dephomys",0,0,0,NA,0,0,0,0,"Muridae","Rodentia",3608826,52.5,1,"Yes",7.0955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-9,8.00490832203992,"Euarchontoglires",-Inf,0,1.72015930340596,NA,0,3
"1885","Dermanura bogotensis","bogotensis","Dermanura",3,24,3,16,2,0.125,1,0,"Phyllostomidae","Chiroptera",130225,NA,NA,"Yes",4.889278,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-57.8912452462081,4.11678554589043,"Laurasiatheria",0.301029995663981,0.477121254719662,NA,1,0,3
"1886","Dermanura rava","rava","Dermanura",0,0,0,NA,0,0,0,0,"Phyllostomidae","Chiroptera",1016359,NA,NA,"Yes",4.601784,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-77.0028625816873,6.34841231361511,"Laurasiatheria",-Inf,0,NA,1,0,3
"1887","Dermanura rosenbergi","rosenbergi","Dermanura",1,3,1,7,1,0.143,0,0,"Phyllostomidae","Chiroptera",556347,NA,NA,NA,NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","infraspecific",NA,NA,"Laurasiatheria",0,0.301029995663981,NA,NA,0,3
"1888","Desmalopex leucopterus","leucopterus","Desmalopex",2,82,2,13,2,0.154,2,0,"Pteropodidae","Chiroptera",740197,NA,NA,"Yes",13.8,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,125,12.0074234947157,"Laurasiatheria",0.301029995663981,0.477121254719662,NA,2,0,3
"1889","Desmalopex microleucopterus","microleucopterus","Desmalopex",0,0,0,NA,0,0,0,0,"Pteropodidae","Chiroptera",268704,NA,NA,"Yes",12.834,"Endangered","food_human","research","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,121,13,"Laurasiatheria",-Inf,0,NA,3,1,3
"1890","Desmana moschata","moschata","Desmana",29,119,19,55,5,0.091,3,2,"Talpidae","Soricomorpha",60434,383,1,"Yes",51.2,"Endangered","handicrafts_jewellery","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,8.99999999999999,50.0416392142191,"Laurasiatheria",0.698970004336019,0.778151250383644,2.58319877396862,3,1,3
"1891","Desmodilliscus braueri","braueri","Desmodilliscus",4,115,4,29,4,0.138,3,0,"Muridae","Rodentia",981023,10,1,"Yes",13.85,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-12.2072162395381,15.8096818658058,"Euarchontoglires",0.602059991327962,0.698970004336019,1,1,0,3
"1892","Desmodillus auricularis","auricularis","Desmodillus",18,302,16,38,11,0.289,12,0,"Muridae","Rodentia",981029,53.3,1,"Yes",-25.46,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,19.7161492370404,-25.5112294046599,"Euarchontoglires",1.04139268515822,1.07918124604762,1.72672720902657,1,0,3
"1893","Desmodus dorbignyi","dorbignyi","Desmodus",0,0,0,NA,0,0,0,0,"Phyllostomidae","Chiroptera",7656370,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"1894","Desmodus rotundus","rotundus","Desmodus",692,15474,337,85,54,0.635,359,19,"Phyllostomidae","Chiroptera",238431,31.21,1,"Yes",16.391667,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-77.1888237640903,1.3310313576561,"Laurasiatheria",1.73239375982297,1.74036268949424,1.49429376866533,1,0,3
"1895","Desmomys harringtoni","harringtoni","Desmomys",2,4,2,25,1,0.04,0,0,"Muridae","Rodentia",170594,90,1,"Yes",7.65,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,38.5006929885237,9.51842127542201,"Euarchontoglires",0,0.301029995663981,1.95424250943932,1,0,3
"1896","Desmomys yaldeni","yaldeni","Desmomys",0,0,0,NA,0,0,0,0,"Muridae","Rodentia",3608637,90,0,"Yes",NA,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Euarchontoglires",-Inf,0,1.95424250943932,2,0,3
"1897","Diaemus youngi","youngi","Diaemus",27,533,23,52,13,0.25,17,3,"Phyllostomidae","Chiroptera",1060472,36.31,1,"Yes",6.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-57.0089222189212,-21.355914163601,"Laurasiatheria",1.11394335230684,1.14612803567824,1.56002624891289,1,0,3
"1898","Dicerorhinus etruscus","etruscus","Dicerorhinus",31,744,18,43,16,0.372,19,2,"Rhinocerotidae","Perissodactyla",4118081,NA,NA,"Yes",45.133331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,4.30606452816908,51.2308236240812,"Laurasiatheria",1.20411998265592,1.23044892137827,NA,NA,0,3
"1899","Dicerorhinus hemitoechus","hemitoechus","Dicerorhinus",37,615,26,40,15,0.375,19,3,"Rhinocerotidae","Perissodactyla",3614781,NA,NA,"Yes",32.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,9.67585288157928,50.3713647674398,"Laurasiatheria",1.17609125905568,1.20411998265592,NA,NA,0,3
"1900","Dicerorhinus mercki","mercki","Dicerorhinus",9,83,9,51,6,0.118,4,0,"Rhinocerotidae","Perissodactyla",7656876,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",0.778151250383644,0.845098040014257,NA,NA,0,3
"1901","Dicerorhinus steinheimensis","steinheimensis","Dicerorhinus",1,2,1,6,1,0.167,0,0,"Rhinocerotidae","Perissodactyla",7656877,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",0,0.301029995663981,NA,NA,0,3
"1902","Dicerorhinus sumatrensis","sumatrensis","Dicerorhinus",105,1878,66,47,24,0.511,44,6,"Rhinocerotidae","Perissodactyla",1061679,1266667,1,NA,NA,"Critically Endangered","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",1.38021124171161,1.39794000867204,6.10266245618515,4,1,3
"1903","Diceros bicornis","bicornis","Diceros",500,7248,188,82,40,0.488,210,9,"Rhinocerotidae","Perissodactyla",1034204,1180510.9,1,NA,NA,"Critically Endangered","establishing_ex_situ_production","food_human","handicrafts_jewellery","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated",NA,NA,NA,"Laurasiatheria",1.60205999132796,1.61278385671974,6.07207000140034,4,1,2
"1904","Diclidurus albus","albus","Diclidurus",6,93,5,22,3,0.136,3,1,"Emballonuridae","Chiroptera",1060477,15.6,1,"Yes",15.98052,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-96.0060157280041,19.0210613229337,"Laurasiatheria",0.477121254719662,0.602059991327962,1.19312459835446,1,0,3
"1905","Diclidurus freyreissi","freyreissi","Diclidurus",0,0,0,NA,0,0,0,0,"Emballonuridae","Chiroptera",7656297,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,NA,NA,"Laurasiatheria",-Inf,0,NA,NA,0,3
"1906","Diclidurus ingens","ingens","Diclidurus",2,9,2,12,2,0.167,0,0,"Emballonuridae","Chiroptera",432527,123,1,"Yes",5.3333335,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild",NA,-77.0000000000002,5.00076357997975,"Laurasiatheria",0.301029995663981,0.477121254719662,2.0899051114394,NA,0,3
