"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"1110","Ctenodactylus gundi","Ctenodactylidae",289,1
"1111","Ctenodactylus vali","Ctenodactylidae",175,1
"1112","Ctenomys argentinus","Ctenomyidae",221.3,1
"1113","Ctenomys australis","Ctenomyidae",361.5,1
"1114","Ctenomys azarae","Ctenomyidae",400,1
"1115","Ctenomys bergi","Ctenomyidae",259.74,0
"1116","Ctenomys boliviensis","Ctenomyidae",535,1
"1117","Ctenomys bonettoi","Ctenomyidae",202.3,1
"1118","Ctenomys brasiliensis","Ctenomyidae",400,1
"1119","Ctenomys budini","Ctenomyidae",259.74,0
"1120","Ctenomys colburni","Ctenomyidae",400,1
"1121","Ctenomys coludo","Ctenomyidae",259.74,0
"1122","Ctenomys conoveri","Ctenomyidae",860,1
"1123","Ctenomys coyhaiquensis","Ctenomyidae",259.74,0
"1124","Ctenomys dorbignyi","Ctenomyidae",259.74,0
"1125","Ctenomys dorsalis","Ctenomyidae",165.6,1
"1126","Ctenomys emilianus","Ctenomyidae",285.3,1
"1127","Ctenomys famosus","Ctenomyidae",259.74,0
"1128","Ctenomys flamarioni","Ctenomyidae",259.74,0
"1129","Ctenomys fochi","Ctenomyidae",259.74,0
"1130","Ctenomys fodax","Ctenomyidae",259.74,0
"1131","Ctenomys frater","Ctenomyidae",172.9,1
"1132","Ctenomys fulvus","Ctenomyidae",262,1
"1133","Ctenomys goodfellowi","Ctenomyidae",259.74,0
"1134","Ctenomys haigi","Ctenomyidae",164,1
"1135","Ctenomys johannis","Ctenomyidae",259.74,0
"1136","Ctenomys juris","Ctenomyidae",259.74,0
"1137","Ctenomys knighti","Ctenomyidae",316,1
"1138","Ctenomys lami","Ctenomyidae",259.74,0
"1139","Ctenomys latro","Ctenomyidae",192,1
"1140","Ctenomys leucodon","Ctenomyidae",243.6,1
"1141","Ctenomys lewisi","Ctenomyidae",117.2,1
"1142","Ctenomys magellanicus","Ctenomyidae",272,1
"1143","Ctenomys maulinus","Ctenomyidae",215,1
"1144","Ctenomys mendocinus","Ctenomyidae",163.05,1
"1145","Ctenomys minutus","Ctenomyidae",92,1
"1146","Ctenomys occultus","Ctenomyidae",150,1
"1147","Ctenomys opimus","Ctenomyidae",361.5,1
"1148","Ctenomys osvaldoreigi","Ctenomyidae",259.74,0
"1149","Ctenomys pearsoni","Ctenomyidae",212,1
"1150","Ctenomys perrensi","Ctenomyidae",400,1
"1151","Ctenomys peruanus","Ctenomyidae",490,1
"1152","Ctenomys pilarensis","Ctenomyidae",259.74,0
"1153","Ctenomys pontifex","Ctenomyidae",400,1
"1154","Ctenomys porteousi","Ctenomyidae",192.4,1
"1155","Ctenomys pundti","Ctenomyidae",259.74,0
"1156","Ctenomys rionegrensis","Ctenomyidae",259.74,0
"1157","Ctenomys roigi","Ctenomyidae",259.74,0
"1158","Ctenomys saltarius","Ctenomyidae",230,1
"1159","Ctenomys scagliai","Ctenomyidae",259.74,0
"1160","Ctenomys sericeus","Ctenomyidae",400,1
"1161","Ctenomys sociabilis","Ctenomyidae",400,1
"1162","Ctenomys steinbachi","Ctenomyidae",385,1
"1163","Ctenomys sylvanus","Ctenomyidae",259.74,0
"1164","Ctenomys talarum","Ctenomyidae",132.33,1
"1165","Ctenomys torquatus","Ctenomyidae",209.5,1
"1166","Ctenomys tuconax","Ctenomyidae",249,1
"1167","Ctenomys tucumanus","Ctenomyidae",217,1
"1168","Ctenomys tulduco","Ctenomyidae",259.74,0
"1169","Ctenomys validus","Ctenomyidae",232.6,1
"1170","Ctenomys viperinus","Ctenomyidae",259.74,0
"1171","Ctenomys yolandae","Ctenomyidae",259.74,0
"1172","Cuniculus paca","Cuniculidae",8172.55,1
"1173","Cuniculus taczanowskii","Cuniculidae",8999.95,1
"1174","Cuon alpinus","Canidae",14173.33,1
"1175","Cuscomys ashaninka","Abrocomidae",910,1
"1176","Cuscomys oblativa","Abrocomidae",910,0
"1177","Cyclopes didactylus","Cyclopedidae",329.5,1
"1178","Cynictis penicillata","Herpestidae",836.01,1
"1179","Cynocephalus volans","Cynocephalidae",1250,1
"1180","Cynogale bennettii","Viverridae",4500,1
"1181","Cynomops abrasus","Molossidae",35.39,1
"1182","Cynomops greenhalli","Molossidae",15.87,1
"1183","Cynomops mexicanus","Molossidae",17.21,0
"1184","Cynomops paranus","Molossidae",12.16,1
"1185","Cynomops planirostris","Molossidae",12.84,1
"1186","Cynomys gunnisoni","Sciuridae",925,1
"1187","Cynomys leucurus","Sciuridae",908.49,1
"1188","Cynomys ludovicianus","Sciuridae",1364,1
"1189","Cynomys mexicanus","Sciuridae",899.99,1
"1190","Cynomys parvidens","Sciuridae",899.99,1
"1191","Cynopterus brachyotis","Pteropodidae",31.15,1
"1192","Cynopterus horsfieldii","Pteropodidae",56.01,1
"1193","Cynopterus luzoniensis","Pteropodidae",40.3,0
"1194","Cynopterus minutus","Pteropodidae",26.45,1
"1195","Cynopterus nusatenggara","Pteropodidae",36.44,1
"1196","Cynopterus sphinx","Pteropodidae",43.66,1
"1197","Cynopterus titthaecheilus","Pteropodidae",58.33,1
"1198","Cystophora cristata","Phocidae",288333.5,1
"1199","Cyttarops alecto","Emballonuridae",5.3,1
"1200","Dacnomys millardi","Muridae",73.99,2
"1201","Dactylomys boliviensis","Echimyidae",728.8,1
"1202","Dactylomys dactylinus","Echimyidae",649.99,1
"1203","Dactylomys peruanus","Echimyidae",382,1
"1204","Dactylopsila megalura","Petauridae",277.74,2
"1205","Dactylopsila palpator","Petauridae",398,1
"1206","Dactylopsila tatei","Petauridae",252,1
"1207","Dactylopsila trivirgata","Petauridae",413.53,1
"1208","Dama dama","Cervidae",52375,1
"1209","Damaliscus korrigum","Bovidae",127194.87,1
"1210","Damaliscus lunatus","Bovidae",136000.34,1
"1211","Damaliscus pygargus","Bovidae",102000,1
"1212","Damaliscus superstes","Bovidae",120837.92,0
"1213","Dasycercus cristicauda","Dasyuridae",100,1
"1214","Dasykaluta rosamondae","Dasyuridae",28.75,1
"1215","Dasymys alleni","Muridae",102.35,0
"1216","Dasymys cabrali","Muridae",102.35,0
"1217","Dasymys foxi","Muridae",116.59,1
"1218","Dasymys incomtus","Muridae",138.3,1
"1219","Dasymys montanus","Muridae",82,1
"1220","Dasymys nudipes","Muridae",100.18,2
"1221","Dasymys rufulus","Muridae",82.99,1
"1222","Dasymys rwandae","Muridae",102.35,0
"1223","Dasymys sua","Muridae",102.35,0
"1224","Dasyprocta azarae","Dasyproctidae",2309.99,1
"1225","Dasyprocta coibae","Dasyproctidae",2660.13,2
"1226","Dasyprocta cristata","Dasyproctidae",2650.03,1
"1227","Dasyprocta fuliginosa","Dasyproctidae",3500.02,1
"1228","Dasyprocta guamara","Dasyproctidae",2650.03,1
"1229","Dasyprocta kalinowskii","Dasyproctidae",2650.03,1
"1230","Dasyprocta leporina","Dasyproctidae",3020.02,1
"1231","Dasyprocta mexicana","Dasyproctidae",5000,1
"1232","Dasyprocta prymnolopha","Dasyproctidae",2900.01,1
"1233","Dasyprocta punctata","Dasyproctidae",2674.98,1
"1234","Dasyprocta ruatanica","Dasyproctidae",2857.13,2
"1235","Dasypus hybridus","Dasypodidae",1500,1
"1236","Dasypus kappleri","Dasypodidae",9500,1
"1237","Dasypus novemcinctus","Dasypodidae",4203.78,1
"1238","Dasypus pilosus","Dasypodidae",4444.98,1
"1239","Dasypus sabanicola","Dasypodidae",1150.01,1
"1240","Dasypus septemcinctus","Dasypodidae",1526.65,1
"1241","Dasypus yepesi","Dasypodidae",2785.87,0
"1242","Dasyuroides byrnei","Dasyuridae",109.47,1
"1243","Dasyurus albopunctatus","Dasyuridae",637,1
"1244","Dasyurus geoffroii","Dasyuridae",1100,1
"1245","Dasyurus hallucatus","Dasyuridae",525,1
"1246","Dasyurus maculatus","Dasyuridae",5500,1
"1247","Dasyurus spartacus","Dasyuridae",885.67,1
"1248","Dasyurus viverrinus","Dasyuridae",1090,1
"1249","Daubentonia madagascariensis","Daubentoniidae",2500,1
"1250","Delanymys brooksi","Nesomyidae",5,1
"1251","Delomys collinus","Cricetidae",77.94,0
"1252","Delomys dorsalis","Cricetidae",67.5,1
"1253","Delomys sublineatus","Cricetidae",90,1
"1254","Delphinapterus leucas","Monodontidae",1360000,1
"1255","Delphinus capensis","Delphinidae",80000,0
"1256","Delphinus delphis","Delphinidae",80000,1
"1257","Deltamys kempi","Cricetidae",26.4,1
"1258","Dendrogale melanura","Tupaiidae",60,1
"1259","Dendrogale murina","Tupaiidae",50,1
"1260","Dendrohyrax arboreus","Procaviidae",2949.99,1
"1261","Dendrohyrax dorsalis","Procaviidae",3175,1
"1262","Dendrolagus bennettianus","Macropodidae",10950,1
"1263","Dendrolagus dorianus","Macropodidae",9581,1
"1264","Dendrolagus goodfellowi","Macropodidae",8025,1
"1265","Dendrolagus inustus","Macropodidae",13031.25,1
"1266","Dendrolagus lumholtzi","Macropodidae",6750,1
"1267","Dendrolagus matschiei","Macropodidae",6960,1
"1268","Dendrolagus mbaiso","Macropodidae",9395.06,1
"1269","Dendrolagus pulcherrimus","Macropodidae",9511.11,0
"1270","Dendrolagus scottae","Macropodidae",10375,1
"1271","Dendrolagus spadix","Macropodidae",9100,1
"1272","Dendrolagus stellarum","Macropodidae",9511.11,0
"1273","Dendrolagus ursinus","Macropodidae",13250,1
"1274","Dendromus insignis","Nesomyidae",11.05,1
"1275","Dendromus kahuziensis","Nesomyidae",11,1
"1276","Dendromus leucostomus","Nesomyidae",10.79,0
"1277","Dendromus lovati","Nesomyidae",12,1
"1278","Dendromus melanotis","Nesomyidae",9.06,1
"1279","Dendromus mesomelas","Nesomyidae",11.12,1
"1280","Dendromus messorius","Nesomyidae",12.81,2
"1281","Dendromus mystacalis","Nesomyidae",7.72,1
"1282","Dendromus nyasae","Nesomyidae",13.72,2
"1283","Dendromus nyikae","Nesomyidae",15,1
"1284","Dendromus oreas","Nesomyidae",12.76,2
"1285","Dendromus vernayi","Nesomyidae",12.76,2
"1286","Dendroprionomys rousseloti","Nesomyidae",67.18,2
"1287","Deomys ferrugineus","Muridae",62,1
"1288","Dephomys defua","Muridae",43.05,1
"1289","Dephomys eburneae","Muridae",52.5,1
"1290","Desmana moschata","Talpidae",383,1
"1291","Desmodilliscus braueri","Muridae",10,1
"1292","Desmodillus auricularis","Muridae",53.3,1
"1293","Desmodus rotundus","Phyllostomidae",31.21,1
"1294","Desmomys harringtoni","Muridae",90,1
"1295","Desmomys yaldeni","Muridae",90,0
"1296","Diaemus youngi","Phyllostomidae",36.31,1
"1297","Dicerorhinus sumatrensis","Rhinocerotidae",1266667,1
"1298","Diceros bicornis","Rhinocerotidae",1180510.9,1
"1299","Diclidurus albus","Emballonuridae",15.6,1
"1300","Diclidurus ingens","Emballonuridae",123,1
"1301","Diclidurus isabellus","Emballonuridae",14,1
"1302","Diclidurus scutatus","Emballonuridae",13.25,1
"1303","Dicrostonyx groenlandicus","Cricetidae",54.4,1
"1304","Dicrostonyx hudsonius","Cricetidae",57,1
"1305","Dicrostonyx nelsoni","Cricetidae",60.85,2
"1306","Dicrostonyx nunatakensis","Cricetidae",60.82,2
"1307","Dicrostonyx richardsoni","Cricetidae",55,1
"1308","Dicrostonyx torquatus","Cricetidae",85,1
"1309","Dicrostonyx unalascensis","Cricetidae",60.84,2
"1310","Dicrostonyx vinogradovi","Cricetidae",60.78,2
"1311","Didelphis albiventris","Didelphidae",904,1
"1312","Didelphis aurita","Didelphidae",1163.99,1
"1313","Didelphis imperfecta","Didelphidae",1260.04,0
"1314","Didelphis marsupialis","Didelphidae",1091.16,1
"1315","Didelphis pernigra","Didelphidae",1260.04,0
"1316","Didelphis virginiana","Didelphidae",2195.48,1
"1317","Dinaromys bogdanovi","Cricetidae",56,1
"1318","Dinomys branickii","Dinomyidae",12500,1
"1319","Diomys crumpi","Muridae",73.85,2
"1320","Diphylla ecaudata","Phyllostomidae",29.3,1
"1321","Diplogale hosei","Viverridae",3124.89,2
"1322","Diplomesodon pulchellum","Soricidae",11,1
"1323","Diplomys caniceps","Echimyidae",394.5,1
"1324","Diplomys labilis","Echimyidae",227.5,1
"1325","Diplomys rufodorsalis","Echimyidae",144.8,1
"1326","Diplothrix legata","Muridae",76.52,2
"1327","Dipodillus bottai","Muridae",35.1,2
"1328","Dipodillus campestris","Muridae",27.58,1
"1329","Dipodillus dasyurus","Muridae",27.5,1
"1330","Dipodillus harwoodi","Muridae",23.63,0
"1331","Dipodillus jamesi","Muridae",23.63,0
"1332","Dipodillus lowei","Muridae",34.71,2
"1333","Dipodillus mackilligini","Muridae",34.37,2
"1334","Dipodillus maghrebi","Muridae",23.63,0
"1335","Dipodillus rupicola","Muridae",23.63,0
"1336","Dipodillus simoni","Muridae",17.4,1
"1337","Dipodillus somalicus","Muridae",36.01,2
"1338","Dipodillus stigmonyx","Muridae",35.91,2
"1339","Dipodillus zakariai","Muridae",35.95,2
"1340","Dipodomys agilis","Heteromyidae",57.85,1
"1341","Dipodomys californicus","Heteromyidae",84.96,1
"1342","Dipodomys compactus","Heteromyidae",49.25,1
"1343","Dipodomys deserti","Heteromyidae",104.5,1
"1344","Dipodomys elator","Heteromyidae",77.5,1
"1345","Dipodomys gravipes","Heteromyidae",83.97,1
"1346","Dipodomys heermanni","Heteromyidae",72,1
"1347","Dipodomys ingens","Heteromyidae",133.85,1
"1348","Dipodomys merriami","Heteromyidae",42,1
"1349","Dipodomys microps","Heteromyidae",54.6,1
"1350","Dipodomys nelsoni","Heteromyidae",88.6,1
"1351","Dipodomys nitratoides","Heteromyidae",43.9,1
"1352","Dipodomys ordii","Heteromyidae",60.4,1
"1353","Dipodomys panamintinus","Heteromyidae",74.7,1
"1354","Dipodomys phillipsii","Heteromyidae",41,1
"1355","Dipodomys simulans","Heteromyidae",70.36,0
"1356","Dipodomys spectabilis","Heteromyidae",135.88,1
"1357","Dipodomys stephensi","Heteromyidae",69.75,1
"1358","Dipodomys venustus","Heteromyidae",72,1
"1359","Dipus sagitta","Dipodidae",85.65,1
"1360","Distoechurus pennatus","Acrobatidae",44.1,1
"1361","Dobsonia anderseni","Pteropodidae",233.99,1
"1362","Dobsonia beauforti","Pteropodidae",159.01,1
"1363","Dobsonia chapmani","Pteropodidae",216.03,0
"1364","Dobsonia crenulata","Pteropodidae",218.21,1
"1365","Dobsonia emersa","Pteropodidae",195.5,1
"1366","Dobsonia exoleta","Pteropodidae",249,1
"1367","Dobsonia inermis","Pteropodidae",149.5,1
"1368","Dobsonia magna","Pteropodidae",465,1
"1369","Dobsonia minor","Pteropodidae",78.23,1
"1370","Dobsonia moluccensis","Pteropodidae",381.44,1
"1371","Dobsonia pannietensis","Pteropodidae",267.7,1
"1372","Dobsonia peronii","Pteropodidae",226.51,1
"1373","Dobsonia praedatrix","Pteropodidae",188.68,1
"1374","Dobsonia viridis","Pteropodidae",238,1
"1375","Dolichotis patagonum","Caviidae",8000,1
"1376","Dolichotis salinicola","Caviidae",1600,1
"1377","Dologale dybowskii","Herpestidae",350,1
"1378","Dorcatragus megalotis","Bovidae",10249.91,1
"1379","Dorcopsis atrata","Macropodidae",5916.5,1
"1380","Dorcopsis hageni","Macropodidae",5500,1
"1381","Dorcopsis luctuosa","Macropodidae",6352,1
"1382","Dorcopsis muelleri","Macropodidae",5500,1
"1383","Dorcopsulus macleayi","Macropodidae",2988,1
"1384","Dorcopsulus vanheurni","Macropodidae",1785.75,1
"1385","Dremomys everetti","Sciuridae",147.5,1
"1386","Dremomys gularis","Sciuridae",190.97,0
"1387","Dremomys lokriah","Sciuridae",227,1
"1388","Dremomys pernyi","Sciuridae",198.63,1
"1389","Dremomys pyrrhomerus","Sciuridae",167.73,2
"1390","Dremomys rufigenis","Sciuridae",200,1
"1391","Dromiciops gliroides","Microbiotheriidae",22.3,1
"1392","Dryomys laniger","Gliridae",20,1
"1393","Dryomys niethammeri","Gliridae",25.92,0
"1394","Dryomys nitedula","Gliridae",33.6,1
"1395","Dugong dugon","Dugongidae",310000,1
"1396","Dusicyon australis","Canidae",50003.45,1
"1397","Dyacopterus brooksi","Pteropodidae",78,0
"1398","Dyacopterus spadiceus","Pteropodidae",78,1
"1399","Dymecodon pilirostris","Talpidae",15.46,1
"1400","Echimys chrysurus","Echimyidae",652.5,1
"1401","Echimys saturnus","Echimyidae",626.9,1
"1402","Echimys semivillosus","Echimyidae",200,1
"1403","Echinoprocta rufescens","Erethizontidae",831.8,1
"1404","Echinops telfairi","Tenrecidae",180,1
"1405","Echinosorex gymnura","Erinaceidae",957,1
"1406","Echiothrix centrosa","Muridae",71.33,0
"1407","Echiothrix leucura","Muridae",63.68,2
"1408","Echymipera clara","Peramelidae",1236.5,1
"1409","Echymipera davidi","Peramelidae",950,1
"1410","Echymipera echinista","Peramelidae",1000,1
"1411","Echymipera kalubu","Peramelidae",782.17,1
"1412","Echymipera rufescens","Peramelidae",1100,1
"1413","Ectophylla alba","Phyllostomidae",5.76,1
"1414","Eidolon dupreanum","Pteropodidae",283.75,1
"1415","Eidolon helvum","Pteropodidae",253.31,1
"1416","Eira barbara","Mustelidae",3910.03,1
"1417","Elaphodus cephalophus","Cervidae",33500,1
"1418","Elaphurus davidianus","Cervidae",149000,1
"1419","Elephantulus brachyrhynchus","Macroscelididae",47.5,1
"1420","Elephantulus edwardii","Macroscelididae",48,1
"1421","Elephantulus fuscipes","Macroscelididae",57,1
"1422","Elephantulus fuscus","Macroscelididae",52.56,2
"1423","Elephantulus intufi","Macroscelididae",49.5,1
"1424","Elephantulus myurus","Macroscelididae",52.4,1
"1425","Elephantulus revoili","Macroscelididae",32.5,1
"1426","Elephantulus rozeti","Macroscelididae",48,1
"1427","Elephantulus rufescens","Macroscelididae",37.5,1
"1428","Elephantulus rupestris","Macroscelididae",66.4,1
"1429","Elephas maximus","Elephantidae",2915040,1
"1430","Eligmodontia moreni","Cricetidae",18,1
"1431","Eligmodontia morgani","Cricetidae",16.5,1
"1432","Eligmodontia puerulus","Cricetidae",28.5,1
"1433","Eligmodontia typus","Cricetidae",17.3,1
"1434","Eliomys melanurus","Gliridae",98.7,1
"1435","Eliomys munbyanus","Gliridae",106.54,0
"1436","Eliomys quercinus","Gliridae",115,1
"1437","Eliurus antsingy","Nesomyidae",77.7,0
"1438","Eliurus ellermani","Nesomyidae",100,1
"1439","Eliurus grandidieri","Nesomyidae",77.7,0
"1440","Eliurus majori","Nesomyidae",100,1
"1441","Eliurus minor","Nesomyidae",37.5,1
"1442","Eliurus myoxinus","Nesomyidae",70,1
"1443","Eliurus penicillatus","Nesomyidae",100,1
"1444","Eliurus petteri","Nesomyidae",75,1
"1445","Eliurus tanala","Nesomyidae",90,1
"1446","Eliurus webbi","Nesomyidae",75,1
"1447","Ellobius alaicus","Cricetidae",67.61,2
"1448","Ellobius fuscocapillus","Cricetidae",80,1
"1449","Ellobius lutescens","Cricetidae",117.31,1
"1450","Ellobius talpinus","Cricetidae",40,1
"1451","Ellobius tancrei","Cricetidae",67.92,2
"1452","Emballonura alecto","Emballonuridae",5.25,1
"1453","Emballonura atrata","Emballonuridae",4.55,1
"1454","Emballonura beccarii","Emballonuridae",4.2,1
"1455","Emballonura dianae","Emballonuridae",7.97,1
"1456","Emballonura furax","Emballonuridae",11.15,1
"1457","Emballonura monticola","Emballonuridae",5.68,1
"1458","Emballonura raffrayana","Emballonuridae",5.6,1
"1459","Emballonura semicaudata","Emballonuridae",6.3,1
"1460","Emballonura serii","Emballonuridae",5.75,1
"1461","Enchisthenes hartii","Phyllostomidae",16.99,1
"1462","Enhydra lutris","Mustelidae",23500,1
"1463","Eoglaucomys fimbriatus","Sciuridae",510,1
"1464","Eolagurus luteus","Cricetidae",26,1
"1465","Eolagurus przewalskii","Cricetidae",28.03,2
"1466","Eonycteris major","Pteropodidae",72.75,1
"1467","Eonycteris robusta","Pteropodidae",78.36,1
"1468","Eonycteris spelaea","Pteropodidae",58.1,1
"1469","Eospalax fontanierii","Spalacidae",256.76,1
"1470","Eospalax rothschildi","Spalacidae",256.76,0
"1471","Eospalax smithii","Spalacidae",256.76,0
"1472","Eothenomys cachinus","Cricetidae",34.83,0
"1473","Eothenomys chinensis","Cricetidae",45.3,1
"1474","Eothenomys custos","Cricetidae",30.8,1
"1475","Eothenomys melanogaster","Cricetidae",27,1
"1476","Eothenomys miletus","Cricetidae",50.7,1
"1477","Eothenomys olitor","Cricetidae",22,1
"1478","Eothenomys proditor","Cricetidae",42.5,1
"1479","Eothenomys wardi","Cricetidae",34.83,0
"1480","Eozapus setchuanus","Dipodidae",32.58,1
"1481","Episoriculus caudatus","Soricidae",6.95,0
"1482","Episoriculus fumidus","Soricidae",6.95,1
"1483","Episoriculus leucops","Soricidae",6.95,0
"1484","Episoriculus macrurus","Soricidae",6.95,0
"1485","Epixerus ebii","Sciuridae",592,1
"1486","Epomophorus angolensis","Pteropodidae",68.15,2
"1487","Epomophorus crypturus","Pteropodidae",95.04,1
"1488","Epomophorus gambianus","Pteropodidae",128.87,1
"1489","Epomophorus grandis","Pteropodidae",48.58,1
"1490","Epomophorus labiatus","Pteropodidae",62.95,1
"1491","Epomophorus minimus","Pteropodidae",68.15,2
"1492","Epomophorus minor","Pteropodidae",44.76,1
"1493","Epomophorus wahlbergi","Pteropodidae",91.58,1
"1494","Epomops buettikoferi","Pteropodidae",133.84,1
"1495","Epomops dobsonii","Pteropodidae",122.08,1
"1496","Epomops franqueti","Pteropodidae",118.93,1
"1497","Eptesicus andinus","Vespertilionidae",10.96,0
"1498","Eptesicus bobrinskoi","Vespertilionidae",7.55,1
"1499","Eptesicus bottae","Vespertilionidae",14.23,1
"1500","Eptesicus brasiliensis","Vespertilionidae",9.47,1
"1501","Eptesicus chiriquinus","Vespertilionidae",11.25,1
"1502","Eptesicus diminutus","Vespertilionidae",6,1
"1503","Eptesicus dimissus","Vespertilionidae",13.03,1
"1504","Eptesicus floweri","Vespertilionidae",10.17,2
"1505","Eptesicus furinalis","Vespertilionidae",7.74,1
"1506","Eptesicus fuscus","Vespertilionidae",16.46,1
"1507","Eptesicus gobiensis","Vespertilionidae",10.96,0
"1508","Eptesicus guadeloupensis","Vespertilionidae",11.42,2
"1509","Eptesicus hottentotus","Vespertilionidae",30,1
"1510","Eptesicus innoxius","Vespertilionidae",8.86,2
"1511","Eptesicus japonensis","Vespertilionidae",10.96,0
"1512","Eptesicus kobayashii","Vespertilionidae",10.96,0
"1513","Eptesicus matroka","Vespertilionidae",6.57,1
"1514","Eptesicus nasutus","Vespertilionidae",7.91,1
"1515","Eptesicus nilssonii","Vespertilionidae",10.72,1
"1516","Eptesicus pachyotis","Vespertilionidae",8.28,1
"1517","Eptesicus platyops","Vespertilionidae",11.42,2
"1518","Eptesicus serotinus","Vespertilionidae",22.86,1
"1519","Eptesicus tatei","Vespertilionidae",11.42,2
"1520","Equus asinus","Equidae",244999.25,1
"1521","Equus burchellii","Equidae",276000,1
"1522","Equus caballus","Equidae",250000,1
"1523","Equus grevyi","Equidae",407999.85,1
"1524","Equus hemionus","Equidae",240000,1
"1525","Equus kiang","Equidae",275000,1
"1526","Equus quagga","Equidae",4e+05,1
"1527","Equus zebra","Equidae",286998.75,1
"1528","Eremitalpa granti","Chrysochloridae",26.1,1
"1529","Eremodipus lichtensteini","Dipodidae",51,1
"1530","Erethizon dorsatum","Erethizontidae",7085.33,1
"1531","Erignathus barbatus","Phocidae",280000,1
"1532","Erinaceus amurensis","Erinaceidae",571.88,2
"1533","Erinaceus concolor","Erinaceidae",719,1
"1534","Erinaceus europaeus","Erinaceidae",771,1
"1535","Erinaceus roumanicus","Erinaceidae",744.55,0
"1536","Eropeplus canus","Muridae",73.96,2
"1537","Erophylla bombifrons","Phyllostomidae",16.28,1
"1538","Erophylla sezekorni","Phyllostomidae",15.8,1
"1539","Erythrocebus patas","Cercopithecidae",8090,1
"1540","Eschrichtius robustus","Eschrichtiidae",28500000,1
"1541","Eubalaena australis","Balaenidae",2.3e+07,1
"1542","Eubalaena glacialis","Balaenidae",2.3e+07,1
"1543","Eubalaena japonica","Balaenidae",2.3e+07,0
"1544","Euchoreutes naso","Dipodidae",24.14,1
"1545","Euderma maculatum","Vespertilionidae",15.66,1
"1546","Eudiscopus denticulus","Vespertilionidae",9.56,2
"1547","Eudorcas rufifrons","Bovidae",26999.77,1
"1548","Eudorcas rufina","Bovidae",40000,1
"1549","Eudorcas thomsonii","Bovidae",22907.43,1
"1550","Eulemur albifrons","Lemuridae",2300,1
"1551","Eulemur albocollaris","Lemuridae",2397.37,1
"1552","Eulemur cinereiceps","Lemuridae",2114.06,0
"1553","Eulemur collaris","Lemuridae",2375,1
"1554","Eulemur coronatus","Lemuridae",1650,1
"1555","Eulemur fulvus","Lemuridae",3150,1
"1556","Eulemur macaco","Lemuridae",2040,1
"1557","Eulemur mongoz","Lemuridae",1600,1
"1558","Eulemur rubriventer","Lemuridae",1400,1
"1559","Eulemur rufus","Lemuridae",2394.62,1
"1560","Eulemur sanfordi","Lemuridae",2394.03,1
"1561","Eumetopias jubatus","Otariidae",310000,1
"1562","Eumops auripendulus","Molossidae",28.45,1
"1563","Eumops bonariensis","Molossidae",11.9,1
"1564","Eumops dabbenei","Molossidae",104.35,1
"1565","Eumops glaucinus","Molossidae",35.38,1
"1566","Eumops hansae","Molossidae",15.05,1
"1567","Eumops maurus","Molossidae",29.38,2
"1568","Eumops patagonicus","Molossidae",34.01,0
"1569","Eumops perotis","Molossidae",51.13,1
"1570","Eumops trumbulli","Molossidae",34.01,0
"1571","Eumops underwoodi","Molossidae",54.7,1
"1572","Euneomys chinchilloides","Cricetidae",87.63,1
"1573","Euneomys fossor","Cricetidae",83,1
"1574","Euneomys mordax","Cricetidae",82,1
"1575","Euneomys petersoni","Cricetidae",83,1
"1576","Euoticus elegantulus","Galagidae",300,1
"1577","Euoticus pallidus","Galagidae",230,1
"1578","Eupetaurus cinereus","Sciuridae",2500,1
"1579","Euphractus sexcinctus","Dasypodidae",4782.89,1
"1580","Eupleres goudotii","Eupleridae",3000,1
"1581","Euroscaptor grandis","Talpidae",59.57,2
"1582","Euroscaptor klossi","Talpidae",59.57,2
"1583","Euroscaptor longirostris","Talpidae",59.57,2
"1584","Euroscaptor micrura","Talpidae",60.47,1
"1585","Euroscaptor mizura","Talpidae",35.47,1
"1586","Euroscaptor parvidens","Talpidae",59.57,2
"1587","Euryzygomatomys spinosus","Echimyidae",187.5,1
"1588","Exilisciurus concinnus","Sciuridae",30.85,1
"1589","Exilisciurus exilis","Sciuridae",19,1
"1590","Exilisciurus whiteheadi","Sciuridae",20,1
"1591","Falsistrellus affinis","Vespertilionidae",10.23,2
"1592","Falsistrellus mackenziei","Vespertilionidae",23,1
"1593","Falsistrellus mordax","Vespertilionidae",10.23,2
"1594","Falsistrellus petersi","Vespertilionidae",22.77,0
"1595","Falsistrellus tasmaniensis","Vespertilionidae",22.54,1
"1596","Felis bieti","Felidae",5500,1
"1597","Felis catus","Felidae",2884.8,1
"1598","Felis chaus","Felidae",7392.98,1
"1599","Felis manul","Felidae",3050,1
"1600","Felis margarita","Felidae",2524.99,1
"1601","Felis nigripes","Felidae",1299.99,1
"1602","Felis silvestris","Felidae",5099.99,1
"1603","Felovia vae","Ctenodactylidae",205,1
"1604","Feresa attenuata","Delphinidae",170000,1
"1605","Feroculus feroculus","Soricidae",36,1
"1606","Fossa fossana","Eupleridae",1500,1
"1607","Funambulus layardi","Sciuridae",113.79,2
"1608","Funambulus palmarum","Sciuridae",136.4,1
"1609","Funambulus pennantii","Sciuridae",200,1
"1610","Funambulus sublineatus","Sciuridae",70.94,1
"1611","Funambulus tristriatus","Sciuridae",139,1
"1612","Funisciurus anerythrus","Sciuridae",218,1
