species,median_lat,order
Diclidurus isabellus,4.73,Chiroptera
Diclidurus scutatus,4.33,Chiroptera
Dicrostonyx groenlandicus,69.383,Rodentia
Dicrostonyx hudsonius,56.217,Rodentia
Dicrostonyx nelsoni,63.73370454676835,Rodentia
Dicrostonyx nunatakensis,64.583333,Rodentia
Dicrostonyx richardsoni,64.319444,Rodentia
Dicrostonyx torquatus,75.716667,Rodentia
Dicrostonyx unalascensis,53.22296941488987,Rodentia
Dicrostonyx vinogradovi,71.26667,Rodentia
Didelphis albiventris,-25.857553,Didelphimorphia
Didelphis aurita,-23.633052,Didelphimorphia
Didelphis imperfecta,5.166,Didelphimorphia
Didelphis marsupialis,6.627884,Didelphimorphia
Didelphis pernigra,4.9144,Didelphimorphia
Didelphis virginiana,32.727782000000005,Didelphimorphia
Dinaromys bogdanovi,43.296229999999994,Rodentia
Dinomys branickii,4.093995,Rodentia
Dionysopithecus shuangouensis,33.450001,Primates
Diphylla ecaudata,18.87,Chiroptera
Diplogale hosei,3.75,Carnivora
Diplomesodon pulchellum,45,Soricomorpha
Diplomys caniceps,7.38,Rodentia
Diplomys labilis,8.366667,Rodentia
Dipodillus campestris,31.503059,Rodentia
Dipodillus dasyurus,30.794062,Rodentia
Dipodillus harwoodi,-2.7,Rodentia
Dipodillus mackilligini,22.55,Rodentia
Dipodillus maghrebi,34.48,Rodentia
Dipodillus rupicola,15.957,Rodentia
Dipodillus simoni,31.583334,Rodentia
Dipodillus stigmonyx,7.87718,Rodentia
Dipodomys compactus,27.30639,Rodentia
Dipodomys elator,34.318001,Rodentia
Dipodomys gravipes,30.683294,Rodentia
Dipodomys ingens,35.242649620075106,Rodentia
Dipodomys nelsoni,26.674186,Rodentia
Dipodomys ornatus,22.751667,Rodentia
Dipodomys phillipsii,19.594243,Rodentia
Dipodomys spectabilis,31.93285,Rodentia
Dipodomys stephensi,33.706796,Rodentia
Distoechurus pennatus,-5.1,Diprotodontia
Diunatans luctoretemergo,51.41111,Cetacea
Djebelemur martinezi,35.187778,Primates
Dobsonia anderseni,-2.1333,Chiroptera
Dobsonia beauforti,-1.116667,Chiroptera
Dobsonia chapmani,9.5834,Chiroptera
Dobsonia crenulata,0.88,Chiroptera
Dobsonia exoleta,-1.133333,Chiroptera
Dobsonia inermis,-8.00098,Chiroptera
Dobsonia magna,-5.966,Chiroptera
Dobsonia minor,-5.012267915913216,Chiroptera
Dobsonia moluccensis,-3.3167,Chiroptera
Dobsonia peronii,-8.5913,Chiroptera
Dobsonia praedatrix,-4.1167,Chiroptera
Dobsonia viridis,-2.96,Chiroptera
Dolichopithecus ruscinensis,46.016666,Primates
Dolichotis salinicola,-23.473333,Rodentia
Dologale dybowskii,3.733333,Carnivora
Dorcatragus megalotis,9.61263,Artiodactyla
Dorcopsis hageni,-4.4651729302722565,Diprotodontia
Dorcopsis luctuosa,-8.950423,Diprotodontia
Dorcopsis muelleri,-3.775766,Diprotodontia
Dorcopsulus macleayi,-9.88,Diprotodontia
Dorcopsulus vanheurni,-3.9167,Diprotodontia
Dremomys everetti,6.059989,Rodentia
Dremomys lokriah,25.66667,Rodentia
Dremomys pyrrhomerus,28.175,Rodentia
Dromiciops gliroides,-39.992,Microbiotheria
Dryopithecus brancoi,48.393055,Primates
Dryopithecus indicus,33,Primates
Dugong dugon,-16.261778,Sirenia
Dushimys larsi,12.051337,Rodentia
Dusicyon australis,-44.05055,Carnivora
Dusicyon avus,-49.900002,Carnivora
Dusicyon gymnocercus,-22.334135,Carnivora
Dyacopterus rickarti,8.188889,Chiroptera
Dyacopterus spadiceus,3.117,Chiroptera
Dymecodon pilirostris,36.03611,Soricomorpha
Echimys chrysurus,1.543415,Rodentia
Echimys saturnus,-1.06317,Rodentia
Echinops telfairi,-23.118902499999997,Afrosoricida
Echinosorex gymnura,3.95,Erinaceomorpha
Echiothrix leucura,0.7638,Rodentia
Echymipera clara,-4.842728138518063,Peramelemorphia
Ectophylla alba,10.43333,Chiroptera
Ectopocynus antiquus,43.25,Carnivora
Ectopocynus intermedius,43,Carnivora
Ectopocynus simplicidens,42.799999,Carnivora
Eidolon dupreanum,-15.1020755,Chiroptera
Eidolon helvum,4.9,Chiroptera
Eira barbara,5.157665,Carnivora
Elaphodus cephalophus,30.41,Artiodactyla
Elaphurus davidianus,39.78,Artiodactyla
Elephantulus brachyrhynchus,-17.59426,Macroscelidea
Elephantulus edwardii,-32.57,Macroscelidea
Elephantulus fuscipes,3.733333,Macroscelidea
Elephantulus fuscus,-16.133304,Macroscelidea
Elephantulus intufi,-21.72,Macroscelidea
Elephantulus myurus,-29.4,Macroscelidea
Elephantulus revoili,11.36906,Macroscelidea
Elephantulus rufescens,-0.18875,Macroscelidea
Elephantulus rupestris,-28.33,Macroscelidea
Elephas celebensis,-4.379722,Proboscidea
Elephas namadicus,39.633333,Proboscidea
Eligmodontia bolsonensis,-26.999722,Rodentia
Eligmodontia hirtipes,-18.429851,Rodentia
Eligmodontia moreni,-31.791026,Rodentia
Eligmodontia morgani,-41.09,Rodentia
Eligmodontia puerulus,-23.416111,Rodentia
Eligmodontia typus,-34.05,Rodentia
Eliomys melanurus,31.52857,Rodentia
Eliomys munbyanus,31.52,Rodentia
Eliomys quercinus,44.17688,Rodentia
Eliurus antsingy,-17.316080499999998,Rodentia
Eliurus danieli,-22.3992,Rodentia
Eliurus grandidieri,-14.433888,Rodentia
Eliurus majori,-18.2833325,Rodentia
Eliurus minor,-21.27,Rodentia
Eliurus myoxinus,-20.283333,Rodentia
Eliurus petteri,-18.371665999999998,Rodentia
Eliurus tanala,-22.163334,Rodentia
Eliurus webbi,-22.222221,Rodentia
Ellobius fuscocapillus,33.643601,Rodentia
Ellobius lutescens,40.08,Rodentia
Ellobius pedorychus,32.67,Rodentia
Ellobius talpinus,51.52,Rodentia
Ellobius tancrei,46.245629,Rodentia
Emballonura alecto,10.4305,Chiroptera
Emballonura beccarii,-6.54565,Chiroptera
Emballonura dianae,-2.9333,Chiroptera
Emballonura furax,-2.0667,Chiroptera
Emballonura monticola,3.325,Chiroptera
Emballonura nigrescens,-8,Chiroptera
Emballonura raffrayana,-3.3167,Chiroptera
Enhydrocyon basilatus,43,Carnivora
Enhydrocyon crassidens,43.299999,Carnivora
Enhydrocyon stenocephalus,44.666668,Carnivora
Eoglaucomys fimbriatus,34.433334,Rodentia
Eolagurus luteus,45.53862,Rodentia
Eolagurus przewalskii,42.63,Rodentia
Eomysticetus whitmorei,32.881668,Cetacea
Eonycteris major,1.128167,Chiroptera
Eonycteris robusta,8.466667,Chiroptera
Eonycteris spelaea,9.36667,Chiroptera
Eospalax rothschildi,31,Rodentia
Eospalax smithii,34.33,Rodentia
Eothenomys cachinus,23.75,Rodentia
Eothenomys chinensis,30.25,Rodentia
Eothenomys eleusis,25.075,Rodentia
Eothenomys miletus,25.15586,Rodentia
Eothenomys olitor,25.075,Rodentia
Eothenomys proditor,27.256939,Rodentia
Eotragus clavatus,43.46,Artiodactyla
Eozapus setchuanus,37.147777,Rodentia
Epicyon aelurodontoides,37.200001,Carnivora
Episoriculus corsicanus,42.665001,Soricomorpha
Episoriculus fumidus,23.464904064626943,Soricomorpha
Episoriculus leucops,27.23333,Soricomorpha
Episoriculus macrurus,28.966667,Soricomorpha
Epixerus ebii,4.919787,Rodentia
Epomophorus angolensis,-15.06667,Chiroptera
Epomophorus anselli,-8.902,Chiroptera
Epomophorus crypturus,-15.27113,Chiroptera
Epomophorus gambianus,7.82,Chiroptera
Epomophorus labiatus,0.671478,Chiroptera
Epomophorus minimus,0.5671,Chiroptera
Epomophorus minor,-1.733333,Chiroptera
Epomophorus wahlbergi,-3.307778,Chiroptera
Epomops buettikoferi,6.266667,Chiroptera
Epomops dobsonii,-10.516667,Chiroptera
Epomops franqueti,4.266667,Chiroptera
Eptesicus andinus,8.7,Chiroptera
Eptesicus brasiliensis,3.6522085,Chiroptera
Eptesicus chiriquinus,4.6539304999999995,Chiroptera
Eptesicus diminutus,-25.050408500000003,Chiroptera
Eptesicus dorianus,-23.573252,Chiroptera
Eptesicus furinalis,9.9,Chiroptera
Eptesicus fuscus,36.82195,Chiroptera
Eptesicus gobiensis,43.776,Chiroptera
Eptesicus guadeloupensis,16.248631,Chiroptera
Eptesicus innoxius,-2.42675,Chiroptera
Eptesicus nilssonii,58.66659,Chiroptera
Eptesicus taddeii,-25.44944,Chiroptera
Equus caballus,-13.148667,Perissodactyla
Equus ferus,29.31,Perissodactyla
Equus germanicus,51.216667,Perissodactyla
Equus grevyi,0.54325,Perissodactyla
Equus przewalskii,50.583333,Perissodactyla
Equus taubachensis,50.983333,Perissodactyla
Eremodipus lichtensteini,45,Rodentia
Eremoryzomys polius,-6.82783,Rodentia
Erethizon dorsatus,46.0049165,Rodentia
Erignathus barbatus,66.066667,Carnivora
Erinaceus amurensis,37.5667,Erinaceomorpha
Erinaceus europaeus,52.05,Erinaceomorpha
Erinaceus hindei,-1.283333,Erinaceomorpha
Erinaceus roumanicus,48.8160125,Erinaceomorpha
Erinaceus sharonis,32.67,Erinaceomorpha
Eropeplus canus,-2.8181,Rodentia
Erophylla bombifrons,18.3,Chiroptera
Erophylla sezekorni,18.41543,Chiroptera
Erythrocebus patas,11.30054,Primates
Eschrichtius robustus,26.853868,Cetacea
Eubalaena australis,-38.4088,Cetacea
Eubalaena glacialis,44.589332999999996,Cetacea
Eubalaena japonica,41,Cetacea
Euchoreutes naso,43.358075,Rodentia
Euderma maculatum,35.82806,Chiroptera
Eudiscoderma thongareeae,5.7986415000000004,Chiroptera
Eudiscopus denticulus,12.194,Chiroptera
Eudorcas rufifrons,12.076329,Artiodactyla
Eudorcas rufina,34.85684,Artiodactyla
Eudorcas thomsonii,-1.367,Artiodactyla
Eulemur albifrons,-15.511965,Primates
Eulemur cinereiceps,-22.030774,Primates
Eulemur coronatus,-12.9081115,Primates
Eulemur flavifrons,-14.203074,Primates
Eulemur mongoz,-16.192386,Primates
Eulemur rubriventer,-19.0774775,Primates
Eulemur rufifrons,-21.276891,Primates
Eulemur rufus,-21.35,Primates
Eulemur sanfordi,-12.668725,Primates
Eumetopias jubatus,57.088989,Carnivora
Eumops auripendulus,4.15,Chiroptera
Eumops dabbenei,-24.9468,Chiroptera
Eumops delticus,-11.033334,Chiroptera
Eumops ferox,11.111335,Chiroptera
Eumops hansae,4.75,Chiroptera
Eumops maurus,-3.764953,Chiroptera
Eumops patagonicus,-13.116667,Chiroptera
Eumops perotis,32.63367530829263,Chiroptera
Eumops trumbulli,-3.7,Chiroptera
Eumops underwoodi,19.1666685,Chiroptera
Eumops wilsoni,6.115931,Chiroptera
Euneomys chinchilloides,-41.09,Rodentia
Euneomys mordax,-37.83128,Rodentia
Euneomys petersoni,-51.133335,Rodentia
Euoticus elegantulus,2.98333,Primates
Euoticus pallidus,5.7667,Primates
Eupleres goudotii,-19.296434,Carnivora
Euroscaptor grandis,26.133333,Soricomorpha
Euroscaptor klossi,18.494089,Soricomorpha
Euroscaptor kuznetsovi,26.432433,Soricomorpha
Euroscaptor longirostris,29.9956,Soricomorpha
Euroscaptor micrura,25.466669500000002,Soricomorpha
Euroscaptor mizura,38.16667,Soricomorpha
Euryoryzomys emmonsae,-6,Rodentia
Euryoryzomys legatus,-23,Rodentia
Euryoryzomys macconnelli,-2.166666,Rodentia
Euryoryzomys nitidus,-15.433333,Rodentia
Euryoryzomys russatus,-24.283333,Rodentia
Euryzygomatomys spinosus,-24.366667,Rodentia
Exilisciurus concinnus,8.1,Rodentia
Exilisciurus exilis,5.020224,Rodentia
Exilisciurus whiteheadi,6.0131645,Rodentia
Falsistrellus mackenziei,-34.1,Chiroptera
Falsistrellus mordax,26.75,Chiroptera
Falsistrellus tasmaniensis,-34.393804,Chiroptera
Felis catus,38.769915,Carnivora
Felis chaus,32.38,Carnivora
Felis margarita,24.165661,Carnivora
Felis nigripes,-28.678552,Carnivora
Felovia vae,16.940125000000002,Rodentia
Feresa attenuata,15.353016499999999,Cetacea
Feroculus feroculus,7.133335,Soricomorpha
Fossa fossana,-21.251757,Carnivora
Funambulus layardi,6.435649,Rodentia
Funambulus palmarum,7.312652,Rodentia
Funambulus pennantii,26.9321405,Rodentia
Funambulus sublineatus,6.8312945,Rodentia
Funambulus tristriatus,10.331806,Rodentia
Funisciurus anerythrus,0.85,Rodentia
Funisciurus bayonii,-8.491685,Rodentia
Funisciurus carruthersi,-2.0167,Rodentia
Funisciurus congicus,-5.2667,Rodentia
Funisciurus isabella,3.966665,Rodentia
Funisciurus lemniscatus,0.57,Rodentia
Funisciurus leucogenys,6.463057,Rodentia
Funisciurus pyrropus,2.4167,Rodentia
Funisciurus substriatus,6.636797,Rodentia
Furipterus horrens,-3.63,Chiroptera
Galago braccatus,-2.9833,Primates
Galago demidoffi,4.683335,Primates
Galago dunni,9.3167,Primates
Galago gallarum,4.1833,Primates
Galago matschiei,-0.2801575,Primates
Galago moholi,-19.12,Primates
Galagoides demidoffi,-5.8833,Primates
Galagoides thomasi,6.74778,Primates
Galea spixii,-6.366667,Rodentia
Galecynus latidens,44.666668,Carnivora
Galemys pyrenaicus,42.75687,Soricomorpha
Galenomys garleppi,-16.9916665,Rodentia
Galeopterus variegates,-0.36944,Dermoptera
Galerella flavescens,-21.6391875,Carnivora
Galerella pulverulenta,-33.978811,Carnivora
Galerella sanguinea,-8.65,Carnivora
Galictis cuja,-32.1567185,Carnivora
Galictis vittata,14.982357,Carnivora
Galidictis fasciata,-21.851667,Carnivora
Galidictis grandidieri,-24.0437,Carnivora
Gazella arabica,24.729715,Artiodactyla
Gazella bennettii,23.2271745,Artiodactyla
Gazella cuvieri,36.842777,Artiodactyla
Gazella deperdita,43.78,Artiodactyla
Gazella leptoceros,30.3500005,Artiodactyla
Gazella spekei,11.634563,Artiodactyla
Genetta abyssinica,9.8842,Carnivora
Genetta angolensis,-8.65,Carnivora
Genetta genetta,43.31,Carnivora
Genetta maculata,-9.116667,Carnivora
Genetta pardina,7.074274000000001,Carnivora
Genetta poensis,5.9204349999999994,Carnivora
Genetta servalina,0.46667,Carnivora
Genetta thierryi,10.219999999999999,Carnivora
Genetta tigrina,-32.632740999999996,Carnivora
Genetta victoriae,-1.416667,Carnivora
Geocapromys brownii,18.14217,Rodentia
Geocapromys ingrahami,25.02,Rodentia
Geocapromys thoracatus,14.633333,Rodentia
Geogale aurita,-23.65,Afrosoricida
Geomys arenarius,31.919001,Rodentia
Geomys attwateri,29.23306,Rodentia
Geomys knoxjonesi,33.18,Rodentia
Geomys tropicalis,22.37011,Rodentia
Georychus capensis,-33.933333,Rodentia
Geoxus valdivianus,-41.05766,Rodentia
Gerbilliscus afra,-13.13333,Rodentia
Gerbilliscus boehmi,-2.6,Rodentia
Gerbilliscus brantsii,-21.66667,Rodentia
Gerbilliscus guineae,9.5667,Rodentia
Gerbilliscus inclusus,-11.772335000000002,Rodentia
Gerbilliscus leucogaster,-19.5,Rodentia
Gerbilliscus nigricaudus,-3.1000015000000003,Rodentia
Gerbilliscus phillipsi,7.75,Rodentia
Gerbilliscus robustus,-6.4667,Rodentia
Gerbilliscus validus,-6.9667,Rodentia
Gerbillurus paeba,-25.3,Rodentia
Gerbillurus setzeri,-23.37,Rodentia
Gerbillurus tytonis,-23.57,Rodentia
Gerbillurus vallinus,-28.5,Rodentia
Gerbillus agag,14.41327,Rodentia
Gerbillus amoenus,29.833334,Rodentia
Gerbillus aquilus,29.55,Rodentia
Gerbillus cheesmani,31,Rodentia
Gerbillus famulus,13.64364,Rodentia
Gerbillus floweri,41.744423,Rodentia
Gerbillus garamantis,29.25,Rodentia
Gerbillus gerbillus,29.200001,Rodentia
Gerbillus gleadowi,30.08333,Rodentia
Gerbillus henleyi,29.9416665,Rodentia
Gerbillus hesperinus,31.52,Rodentia
Gerbillus hoogstraali,30.48333,Rodentia
Gerbillus latastei,33.16346,Rodentia
Gerbillus mauritaniae,17.03,Rodentia
Gerbillus mesopotamiae,32.0162,Rodentia
Gerbillus muriculus,15.45583,Rodentia
Gerbillus nancillus,14.5,Rodentia
Gerbillus nanus,29.864013,Rodentia
Gerbillus nigeriae,14.367,Rodentia
Gerbillus occiduus,28.98389,Rodentia
Gerbillus perpallidus,30.25,Rodentia
Gerbillus poecilops,21.25,Rodentia
Gerbillus pulvinatus,2.28,Rodentia
Gerbillus pusillus,2.13333,Rodentia
Gerbillus syrticus,30.7833,Rodentia
Gerbillus tarabuli,30.7833,Rodentia
Gerbillus vivax,27.53,Rodentia
Gerbillus watersi,18.4667,Rodentia
Giraffa reticulata,0.342861,Artiodactyla
Giraffa tippelskirchi,-2.546066,Artiodactyla
Glauconycteris alboguttata,3.7416669999999996,Chiroptera
Glauconycteris argentata,-1.283333,Chiroptera
Glauconycteris beatrix,1.75,Chiroptera
Glauconycteris curryae,3.083333,Chiroptera
Glauconycteris egeria,1.7666665,Chiroptera
Glauconycteris gleni,-1.094181,Chiroptera
Glauconycteris humeralis,-1.094181,Chiroptera
Glauconycteris kenyacola,0.7666664999999999,Chiroptera
Glauconycteris machadoi,3.733333,Chiroptera
Glauconycteris poensis,6.791105,Chiroptera
Glauconycteris variegata,3.7,Chiroptera
Glironia venusta,-22.2,Didelphimorphia
Glirulus japonicus,34.125043,Rodentia
Glis glis,45.019302,Rodentia
Glischropus tylopus,11.65,Chiroptera
Globicephala macrorhynchus,32.598344499999996,Cetacea
Globicephala melas,43.533333,Cetacea
Glossophaga commissarisi,16.116667,Chiroptera
Glossophaga leachii,17.4880555,Chiroptera
Glossophaga longirostris,6.55,Chiroptera
Glossophaga morenoi,16.779528,Chiroptera
Glossophaga soricina,16.712222,Chiroptera
Glyphonycteris daviesi,4.6815,Chiroptera
Glyphonycteris sylvestris,18.985691978895858,Chiroptera
Glyphotes simus,6.023073,Rodentia
Golunda ellioti,22.2166685,Rodentia
Gracilinanus aceramarcae,-13.644776499999999,Didelphimorphia
Gracilinanus agilis,-19.119444,Didelphimorphia
Gracilinanus dryas,7.45,Didelphimorphia
Gracilinanus emiliae,4.592,Didelphimorphia
Gracilinanus longicaudus,3.283333,Didelphimorphia
Gracilinanus marica,8.6,Didelphimorphia
Gracilinanus microtarsus,-20.4720835,Didelphimorphia
Grammomys buntingi,6.92,Rodentia
Grammomys cometes,-18.4617,Rodentia
Grammomys dolichurus,-6.889722,Rodentia
Grammomys gigas,-0.0588,Rodentia
Grammomys ibeanus,-4.744,Rodentia
Grammomys kuru,3.167,Rodentia
Grammomys macmillani,-1.8470905000000002,Rodentia
Grammomys ochraceus,0.441816,Rodentia
Grampus griseus,38.7016,Cetacea
Graomys centralis,-32.68,Rodentia
Graomys domorum,-19.483333,Rodentia
Graomys edithae,-29.864645,Rodentia
Graomys griseoflavus,-32.877848,Rodentia
Graphiurus christyi,-1.1833,Rodentia
Graphiurus crassicaudatus,6.625,Rodentia
Graphiurus kelleni,3.9167,Rodentia
Graphiurus lorraineus,7.2666,Rodentia
Graphiurus microtis,-3.79785,Rodentia
Graphiurus murinus,-2.5667,Rodentia
Graphiurus nagtglasii,6.6167,Rodentia
Graphiurus ocularis,-31.310386,Rodentia
Graphiurus platyops,-13.5833,Rodentia
Graphiurus rupicola,-17.357644999999998,Rodentia
Graphiurus surdus,1.769771,Rodentia
Gricetoides aurorae,35.359722,Cetacea
Gulo gulo,63.057957,Carnivora
Gymnobelideus leadbeateri,-37.72,Diprotodontia
Gymnuromys roberti,-22.146666,Rodentia
Habromys chinanteco,17.44291075289827,Rodentia
Habromys ixtlani,17.44710909582142,Rodentia
Habromys lepturus,17.424,Rodentia
Habromys lophurus,15.716667,Rodentia
Habromys simulatus,18.182778,Rodentia
Hadromys humei,25.299999,Rodentia
Haeromys margarettae,6.018678,Rodentia
Haeromys minahassae,1.0067400000000002,Rodentia
Handleyomys fuscatus,3.45,Rodentia
Handleyomys intectus,5.7688285,Rodentia
Handleyomys melanotis,19.201389,Rodentia
Hapalemur alaotrensis,-17.456299,Primates
Hapalemur aureus,-21.270362,Primates
Hapalemur occidentalis,-14.4628795,Primates
Hapalomys delacouri,20.758332,Rodentia
Hapalomys longicaudatus,4.62,Rodentia
Haplonycteris fischeri,9.36667,Chiroptera
Harpiocephalus harpia,20.45,Chiroptera
Harpiola isodon,22.35,Chiroptera
Harpyionycteris celebensis,-2.04275,Chiroptera
Harpyionycteris whiteheadi,9.36667,Chiroptera
Heimyscus fumosus,-2.15,Rodentia
Helarctos malayanus,12.28,Carnivora
Heliosciurus gambianus,6.8333,Rodentia
Heliosciurus mutabilis,-15.728865,Rodentia
Heliosciurus punctatus,5.87,Rodentia
Heliosciurus rufobrachium,3.006665,Rodentia
Heliosciurus ruwenzorii,0,Rodentia
Heliosciurus undulatus,-5.1,Rodentia
Helogale hirtula,0.57,Carnivora
Helogale ivori,-15.031667,Carnivora
Helogale macmillani,0.441816,Carnivora
Helogale parvula,-14.875,Carnivora
Helogale percivali,0.472702,Carnivora
Helogale victorina,-6,Carnivora
Hemibelideus lemuroides,-17.5,Diprotodontia
Hemicentetes nigriceps,-20.775,Afrosoricida
Hemicentetes semispinosus,-18.933333,Afrosoricida
Hemiechinus collaris,26.064852,Erinaceomorpha
Hemigalus derbyanus,4.9705745,Carnivora
Hemitragus hylocrius,11.334778499999999,Artiodactyla
Herpestes edwardsi,23.237053,Carnivora
Herpestes fuscus,6.867198,Carnivora
Herpestes ichneumon,36.629078,Carnivora
Herpestes naso,3.16667,Carnivora
Herpestes semitorquatus,3.00936,Carnivora
Herpestes smithii,6.375593,Carnivora
Herpestes urva,14.02,Carnivora
Herpestes vitticollis,7.3,Carnivora
Hesperocyon coloradensis,40.799999,Carnivora
Hesperocyon wilsoni,29.9,Carnivora
Hesperoptenus blanfordi,14.967,Chiroptera
Hesperoptenus tickelli,15.149999999999999,Chiroptera
Hesperoptenus tomesi,6.2833315,Chiroptera
Heterocephalus glaber,-2.616667,Rodentia
Heteromys anomalus,9.85,Rodentia
Heteromys australis,4.8573425,Rodentia
Heteromys catopterius,10.43,Rodentia
Heteromys gaumeri,18.779722,Rodentia
Heteromys goldmani,15.657222,Rodentia
Heteromys lepturus,18.027,Rodentia
Heteromys nelsoni,15.426067,Rodentia
Heteromys nubicolens,10.317,Rodentia
Heteromys oasicus,11.82,Rodentia
Heteromys oresterus,9.65,Rodentia
Heteromys teleus,-0.6,Rodentia
Hexaprotodon liberiensis,5.6019465,Artiodactyla
Hexaprotodon madagascariensis,-19.866667,Artiodactyla
Hippocamelus antisensis,-17.4383,Artiodactyla
Hippocamelus bisulcus,-46.102177499999996,Artiodactyla
Hippopotamus antiquus,43.2497215,Artiodactyla
Hippopotamus laloumena,-21.248333,Artiodactyla
Hippopotamus lemerlei,-23.065001,Artiodactyla
Hipposideros abae,6.2,Chiroptera
Hipposideros armiger,23.1200695,Chiroptera
Hipposideros atrox,3.25833,Chiroptera
Hipposideros beatus,4.033333,Chiroptera
Hipposideros bicolor,7.54075,Chiroptera
Hipposideros boeadii,-4.366667,Chiroptera
Hipposideros calcaratus,-4.35,Chiroptera
Hipposideros camerunensis,0.35563,Chiroptera
Hipposideros cervinus,-5.616,Chiroptera
Hipposideros cineraceus,16.029600000000002,Chiroptera
Hipposideros commersonii,-12.712133,Chiroptera
Hipposideros coronatus,10.788584499999999,Chiroptera
Hipposideros coxi,4.05013,Chiroptera
Hipposideros curtus,4.033333,Chiroptera
Hipposideros cyclops,4.583333,Chiroptera
Hipposideros dinops,-8.43344,Chiroptera
Hipposideros doriae,3.891658,Chiroptera
Hipposideros durgadasi,13.156382,Chiroptera
Hipposideros dyacorum,5.53333,Chiroptera
Hipposideros einnaythu,17.733334,Chiroptera
Hipposideros fuliginosus,5.87,Chiroptera
Hipposideros fulvus,25.299999,Chiroptera
Hipposideros galeritus,-3.43335,Chiroptera
Hipposideros gigas,7.43,Chiroptera
Hipposideros grandis,13.220625,Chiroptera
Hipposideros griffini,20.8,Chiroptera
Hipposideros halophyllus,6.549,Chiroptera
Hipposideros hypophyllus,13.15,Chiroptera
Hipposideros inornatus,-13.1,Chiroptera
Hipposideros jonesi,10.369436499999999,Chiroptera
Hipposideros khaokhouayensis,18.916667,Chiroptera
Hipposideros lamottei,7.6817985,Chiroptera
Hipposideros lankadiva,7.48931,Chiroptera
Hipposideros larvatus,13.233567,Chiroptera
Hipposideros lekaguli,14.031645000000001,Chiroptera
Hipposideros lylei,17.32985,Chiroptera
Hipposideros macrobullatus,-4.55381,Chiroptera
Hipposideros madurae,-7.216667,Chiroptera
Hipposideros maggietaylorae,-3.2167,Chiroptera
Hipposideros marisae,7.66,Chiroptera
Hipposideros megalotis,-0.266667,Chiroptera
Hipposideros muscinus,-6.44844,Chiroptera
Hipposideros nicobarulae,7.33333,Chiroptera
Hipposideros obscurus,12.45,Chiroptera
Hipposideros orbiculus,-1.033333,Chiroptera
Hipposideros papua,0.88,Chiroptera
Hipposideros pratti,22.35,Chiroptera
Hipposideros pygmaeus,9.746939,Chiroptera
Hipposideros ridleyi,3.717,Chiroptera
Hipposideros rotalis,18.383,Chiroptera
Hipposideros ruber,1.68333,Chiroptera
Hipposideros scutinares,17.966667,Chiroptera
Hipposideros semoni,-13.923502,Chiroptera
Hipposideros sorenseni,-7.683333,Chiroptera
Hipposideros speoris,7.25,Chiroptera
Hipposideros speouis,7.566667,Chiroptera
Hipposideros stenotis,-14.8,Chiroptera
Hipposideros sumbae,-9.916667,Chiroptera
Hipposideros vittatus,-3.33092,Chiroptera
Hipposideros wollastoni,-5.313213138518063,Chiroptera
Hippotragus leucophaeus,47.713543,Artiodactyla
Histiotus humboldti,5.053814,Chiroptera
Histiotus laephotis,-24.9292875,Chiroptera
Histiotus macrotus,-28.809427,Chiroptera
Histiotus magellanicus,-41.97429,Chiroptera
Histiotus montanus,-32.8264585,Chiroptera
Histiotus velatus,-20.75,Chiroptera
Hodomys alleni,18.93417,Rodentia
Holochilus brasiliensis,-25.35936,Rodentia
Holochilus chacarius,-24.9468,Rodentia
Holochilus sciureus,-3.284217,Rodentia
Homo antecessor,42.352501,Primates
Homo erectus,3.975,Primates
Homo habilis,-2.983,Primates
Homo heidelbergensis,-14.45,Primates
Homo rudolfensis,-10.333,Primates
Hoolock hoolock,26.617099,Primates
Hoolock tianxing,24.949213,Primates
Hoplomys gymnurus,6.7110140000000005,Rodentia
Hsunycteris cadenai,5.371548,Chiroptera
Hsunycteris pattoni,0.022056,Chiroptera
Hsunycteris thomasi,4.25,Chiroptera
Hyaena hyaena,31.45,Carnivora
Hybomys badius,6.22,Rodentia
Hybomys basilii,3.36111,Rodentia
Hybomys lunaris,0.6,Rodentia
Hybomys planifrons,7.483333,Rodentia
Hybomys trivirgatus,5.77,Rodentia
Hybomys univittatus,0.5,Rodentia
Hydrictis maculicollis,0.062528,Carnivora
Hydrochoeris hydrochaeris,-16.483166,Rodentia
Hydrochoerus hydrochaeris,5.05,Rodentia
Hydrochoerus isthmius,9.015055,Rodentia
Hydromys chrysogaster,-34.8629,Rodentia
Hydromys hussoni,-3.927778,Rodentia
Hydromys ziegleri,-3.6522606249568788,Rodentia
Hydrurga leptonyx,-53.016,Carnivora
Hyemoschus aquaticus,5.2900385,Artiodactyla
Hyladelphys kalinowskii,3.836013,Didelphimorphia
Hylaeamys acritus,-14.7672,Rodentia
Hylaeamys laticeps,-15.35,Rodentia
Hylaeamys megacephalus,0.466667,Rodentia
Hylaeamys oniscus,-14.816666,Rodentia
Hylaeamys perenensis,-6.75,Rodentia
Hylaeamys yunganus,-2.516667,Rodentia
Hylobates albibarbis,-1.216111,Primates
Hylobates klossii,1.066667,Primates
Hylobates moloch,-6.7736,Primates
Hylobates pileatus,14.4205,Primates
Hylochoerus meinertzhageni,-0.166667,Artiodactyla
Hylomys megalotis,17.55,Erinaceomorpha
