species,median_lat,order
Ammotragus lervia,38.52,Artiodactyla
Amorphochilus schnablii,-12.05,Chiroptera
Amphinectomys savamis,-4.336944,Rodentia
Anathana ellioti,20.227183500000002,Scandentia
Andalgalomys olrogi,-27.60465,Rodentia
Andalgalomys roigi,-29.899621,Rodentia
Andinomys edax,-23.624675,Rodentia
Anisomys imitator,-6.229649344961936,Rodentia
Anomalurus beecrofti,5.35,Rodentia
Anomalurus derbianus,1,Rodentia
Anomalurus pelii,5.983333,Rodentia
Anomalurus pusillus,1.3085,Rodentia
Anonymomys mindorensis,13.33729,Rodentia
Anotomys leander,2.245896,Rodentia
Anoura aequatoris,4.687167,Chiroptera
Anoura cadenai,4.1442975,Chiroptera
Anoura carishina,-1.45722,Chiroptera
Anoura caudifer,0.516667,Chiroptera
Anoura cultrata,4.40372,Chiroptera
Anoura fistulata,1.630889,Chiroptera
Anoura geoffroyi,16.106111,Chiroptera
Anoura latidens,5.98,Chiroptera
Anoura luismanueli,4.772778,Chiroptera
Anoura peruana,0.816667,Chiroptera
Anourosorex assamensis,25.299999,Soricomorpha
Anourosorex schmidi,27.23333,Soricomorpha
Anourosorex squamipes,27.79,Soricomorpha
Anourosorex yamashinai,23.223191983902844,Soricomorpha
Antechinomys laniger,-26.93831,Dasyuromorphia
Antechinus adustus,-17.8,Dasyuromorphia
Antechinus agilis,-37.4,Dasyuromorphia
Antechinus argentus,-24.395245,Dasyuromorphia
Antechinus arktos,-28.23995,Dasyuromorphia
Antechinus bellus,-12.670085,Dasyuromorphia
Antechinus godmani,-17.733333,Dasyuromorphia
Antechinus leo,-13.55,Dasyuromorphia
Antechinus mysticus,-26.562581,Dasyuromorphia
Antechinus stuartii,-32.159853,Dasyuromorphia
Antechinus subtropicus,-28.216667,Dasyuromorphia
Antechinus swainsonii,-37.325493,Dasyuromorphia
Anthops ornatus,-6.833333,Chiroptera
Antidorcas angolensis,-13.1667,Artiodactyla
Antidorcas marsupialis,-20.759605,Artiodactyla
Antilope burchelli,-26.6333,Artiodactyla
Antilope cervicapra,29.526114,Artiodactyla
Antrozous pallidus,32.8087,Chiroptera
Aonyx capensis,-18.9906485,Carnivora
Aonyx cinereus,5.196359,Carnivora
Aotus brumbacki,4.181385,Primates
Aotus griseimembra,7.36844,Primates
Aotus jorgehernandezi,4.683333,Primates
Aotus lemurinus,4.890375,Primates
Aotus miconax,-5.9681945,Primates
Aotus nancymaae,-4.283333,Primates
Aotus nigriceps,-12.216666499999999,Primates
Aotus trivirgatus,0,Primates
Aotus vociferans,-0.566667,Primates
Aotus zonalis,9.07526,Primates
Apodemus alpicola,46.39833,Rodentia
Apodemus argenteus,41.75,Rodentia
Apodemus caesareanus,32.67,Rodentia
Apodemus chevrieri,30.416666,Rodentia
Apodemus flavicollis,52.7631,Rodentia
Apodemus gurkha,28.55,Rodentia
Apodemus hyrcanicus,36.778198,Rodentia
Apodemus latronum,28.133329,Rodentia
Apodemus levantinus,32.67,Rodentia
Apodemus mystacinus,33.2,Rodentia
Apodemus pallipes,41.873611,Rodentia
Apodemus ponticus,43.6934,Rodentia
Apodemus semotus,23.464902331522218,Rodentia
Apodemus speciosus,36.231389,Rodentia
Apodemus sylvaticus,51.00714,Rodentia
Apodemus uralensis,45.26821,Rodentia
Apodemus witherbyi,33.643601,Rodentia
Apomys abrae,17.424999,Rodentia
Apomys aurorae,15.464561,Rodentia
Apomys banahao,14.0665,Rodentia
Apomys brownorum,15.48189,Rodentia
Apomys camiguinensis,9.178,Rodentia
Apomys datae,17.0327,Rodentia
Apomys gracilirostris,13.30687,Rodentia
Apomys insignis,8.1,Rodentia
Apomys littoralis,10.76835,Rodentia
Apomys magnus,14.05747,Rodentia
Apomys microdon,13.567250000000001,Rodentia
Apomys minganensis,15.468019,Rodentia
Apomys musculus,14.06635,Rodentia
Apomys sacobianus,15.15553,Rodentia
Apomys sierrae,17.692639,Rodentia
Apomys zambalensis,14.719289,Rodentia
Arborimus albipes,44.495,Rodentia
Arborimus longicaudus,42.704215000000005,Rodentia
Arborimus pomo,38.45664072435375,Rodentia
Archaebalaenoptera castriarquati,44.840279,Cetacea
Archaeocyon falkenbachi,42,Carnivora
Archaeotherium mortoni,43.0300005,Artiodactyla
Archboldomys luzonensis,13.67,Rodentia
Archboldomys maximus,17.017269,Rodentia
Arctocebus aureus,2.7833,Primates
Arctocebus calabarensis,5.45308,Primates
Arctocephalus australis,-43.64375,Carnivora
Arctocephalus forsteri,-36.2527245,Carnivora
Arctocephalus galapagoensis,-0.2057285,Carnivora
Arctocephalus gazella,-54.008,Carnivora
Arctocephalus philippii,-33.6698145,Carnivora
Arctocephalus townsendi,35.22031,Carnivora
Arctocephalus tropicalis,-35.55555,Carnivora
Arctogalidia trivirgata,5.346565,Carnivora
