"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication"
"111","Notamacropus rufogriseus","rufogriseus","Notamacropus",15,29,11,13,1,5,4,0.8,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,NA,NA,NA,"","Partially-domesticated"
"112","Nyctereutes procyonoides","procyonoides","Nyctereutes",674,10960,286,635,12,66,46,0.697,280,11,949680,"Canidae","Carnivora",4040,1,"No",NA,"Least Concern","food_human","handicrafts_jewellery","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66275783168157,1.67209785793572,3.6063813651106,NA,NA,"","Partially-domesticated"
"113","Octodon degus","degus","Octodon",623,16144,275,0,0,65,60,0.923,396,10,692698,"Octodontidae","Rodentia",210,1,"Yes",-33.349998,"Least Concern","establishing_ex_situ_production","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77815125038364,1.78532983501077,2.32221929473392,-71.0000000000004,-32.0874675073505,"","Partially-domesticated"
"114","Odocoileus hemionus","hemionus","Odocoileus",1421,37783,303,1364,33,75,86,1.147,813,15,410149,"Cervidae","Artiodactyla",54212.57,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93449845124357,1.93951925261862,4.73409999592406,NA,NA,"","Partially-domesticated"
"115","Odocoileus virginianus","virginianus","Odocoileus",3901,83389,589,3644,124,72,103,1.431,2103,21,410145,"Cervidae","Artiodactyla",55508.56,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01283722470517,2.01703333929878,4.74435996103451,NA,NA,"","Partially-domesticated"
"116","Oryx dammah","dammah","Oryx",86,1007,57,79,1,44,17,0.386,27,4,938435,"Bovidae","Artiodactyla",2e+05,1,"Yes",29.868026,"Extinct in the Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.25527250510331,5.30102999566398,-99.6711318483572,30.3518360564229,"","Partially-domesticated"
"117","Oryx gazella","gazella","Oryx",123,2252,68,115,2,102,25,0.245,59,4,591985,"Bovidae","Artiodactyla",169001.28,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.41497334797082,5.2278899939322,NA,NA,"","Partially-domesticated"
"118","Oryx leucoryx","leucoryx","Oryx",148,2333,89,138,4,58,24,0.414,66,6,376064,"Bovidae","Artiodactyla",87700,1,"Yes",29.86,"Vulnerable","food_human","pets_display_animals_horticulture","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38021124171161,1.39794000867204,4.94299959336604,54.3298874231196,24.3476247750976,"","Partially-domesticated"
"119","Osphranter rufus","rufus","Osphranter",326,5741,144,301,14,61,40,0.656,180,6,897696,"Macropodidae","Diprotodontia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60205999132796,1.61278385671974,NA,NA,NA,"","Partially-domesticated"
"120","Otocyon megalotis","megalotis","Otocyon",83,2262,51,78,2,45,25,0.556,45,6,821973,"Canidae","Carnivora",4150.02,1,"Yes",-18.53,"Least Concern","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.41497334797082,3.6180501896925,20.7812276505475,-25.3805438140272,"","Partially-domesticated"
