"","genus_species","species","genus","publications","citations","journals","articles","reviews","years_publishing","h","m","i10","h5","id","family","order","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","logh","logh1","logmass","x","y","status","domestication"
"1","Acinonyx jubatus","jubatus","Acinonyx",798,20484,283,716,22,59,71,1.203,416,16,752759,"Felidae","Carnivora",46700,1,"Yes",-24.59102,"Vulnerable","establishing_ex_situ_production","handicrafts_jewellery","pets_display_animals_horticulture","research","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85125834871908,1.85733249643127,4.66931688056611,26.4150631492351,-22.9131013957721,"","Partially-domesticated"
"2","Alces alces","alces","Alces",1869,49135,489,0,0,119,97,0.815,1082,18,460509,"Cervidae","Artiodactyla",356998.16,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98677173426624,1.99122607569249,5.5526659777259,NA,NA,"","Partially-domesticated"
"3","Ammotragus lervia","lervia","Ammotragus",160,2014,119,154,4,62,23,0.371,57,7,768699,"Bovidae","Artiodactyla",48000,1,"Yes",38.52,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,1.38021124171161,4.68124123737559,-102.21005397302,31.5814513838622,"","Partially-domesticated"
"4","Antidorcas marsupialis","marsupialis","Antidorcas",214,3599,122,0,0,50,33,0.66,95,7,363040,"Bovidae","Artiodactyla",31500,1,"Yes",-20.759605,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51851393987789,1.53147891704226,4.4983105537896,21.351947062755,-26.0885500208603,"","Partially-domesticated"
"5","Antilope cervicapra","cervicapra","Antilope",128,1246,95,0,0,91,21,0.231,32,3,363043,"Bovidae","Artiodactyla",37500,1,"Yes",29.526114,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.34242268082221,4.57403126772772,77.6065166662748,25.4665568811673,"","Partially-domesticated"
"6","Atelerix albiventris","albiventris","Atelerix",170,1476,83,149,5,46,20,0.435,49,7,376305,"Erinaceidae","Erinaceomorpha",600,1,"Yes",10.87,"Least Concern","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30102999566398,1.32221929473392,2.77815125038364,-0.371129503931376,10.6092740078204,"","Domesticated"
"7","Axis axis","axis","Axis",377,6355,216,338,6,81,38,0.469,145,10,906317,"Cervidae","Artiodactyla",67281.85,1,"Yes",22.411028,"Least Concern","food_animal","food_human","handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57978359661681,1.5910646070265,4.82789792443292,79.6797511215051,24.1391729167172,"","Partially-domesticated"
"8","Bassariscus astutus","astutus","Bassariscus",112,2345,68,0,0,123,28,0.228,61,5,685103,"Procyonidae","Carnivora",1129.51,1,"Yes",25.833333,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44715803134222,1.46239799789896,3.05289008025469,-107.627847527454,31.4314732790728,"","Partially-domesticated"
"9","Bassariscus sumichrasti","sumichrasti","Bassariscus",2,52,2,2,0,48,2,0.042,1,0,794088,"Procyonidae","Carnivora",899.99,1,"Yes",16.2625,"Least Concern","food_human","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,2.95423768391827,-93.4920333198519,16.9170074368424,"","Partially-domesticated"
"10","Bison bison","bison","Bison",1256,27149,424,1162,47,61,72,1.18,653,13,907693,"Bovidae","Artiodactyla",579255.28,1,"No",NA,"Near Threatened","construction_or_structural_materials","establishing_ex_situ_production","fibre","food_human","handicrafts_jewellery","other_household_goods","pets_display_animals_horticulture","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,1.85733249643127,1.86332286012046,5.76287000114033,NA,NA,"","Partially-domesticated"
"11","Boselaphus tragocamelus","tragocamelus","Boselaphus",126,1541,89,119,2,54,21,0.389,40,7,756060,"Bovidae","Artiodactyla",169000,1,"Yes",26.825257,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32221929473392,1.34242268082221,5.22788670461367,76.9653569590374,25.083222065518,"","Partially-domesticated"
"12","Bos frontalis","frontalis","Bos",290,1831,103,275,8,37,19,0.514,59,6,96935,"Bovidae","Artiodactyla",8e+05,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.30102999566398,5.90308998699194,NA,NA,"","Domesticated"
"13","Bos grunniens","grunniens","Bos",1190,14941,426,1137,31,55,54,0.982,399,15,381164,"Bovidae","Artiodactyla",416500,1,"Yes",48.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73239375982297,1.74036268949424,5.61961500574281,87.5967561025824,29.0397216255436,"","Domesticated"
"14","Bubalus bubalis","bubalis","Bubalus",4062,37750,773,0,0,68,65,0.956,1137,17,641187,"Bovidae","Artiodactyla",431250,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81291335664286,1.81954393554187,5.63472910808133,NA,NA,"","Domesticated"
"15","Camelus bactrianus","bactrianus","Camelus",395,5272,198,366,15,156,35,0.224,136,8,510768,"Camelidae","Artiodactyla",690000,1,"Yes",43.513238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54406804435028,1.55630250076729,5.83884909073726,77.026087375461,43.0473017743506,"","Domesticated"
"16","Camelus dromedarius","dromedarius","Camelus",2770,32306,650,0,0,178,62,0.348,892,17,510752,"Camelidae","Artiodactyla",601000,1,"Yes",-25.09425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79239168949825,1.79934054945358,5.77887447200274,133.231199531977,-26.3164493458251,"","Domesticated"
"17","Canis adustus","adustus","Canis",37,1090,30,34,3,65,17,0.262,21,1,621176,"Canidae","Carnivora",10249.91,1,"Yes",10.320211,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23044892137827,1.25527250510331,4.01072005205763,27.1503991517586,-13.9282301996978,"","Partially-domesticated"
"18","Canis latrans","latrans","Canis",1859,48142,446,0,0,96,93,0.969,1072,21,247331,"Canidae","Carnivora",13406.33,1,"Yes",36.952737,"Least Concern","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96848294855394,1.9731278535997,4.1273099054512,-99.3706349024246,41.1326736240535,"","Partially-domesticated"
"19","Canis lupus","lupus","Canis",4305,131254,980,0,0,93,137,1.473,2370,33,247341,"Canidae","Carnivora",32183.33,1,"No",NA,"Least Concern","sport_hunting_specimen_collecting","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13672056715641,2.13987908640124,4.50763097841445,NA,NA,"","Partially-domesticated"
"20","Cannomys badius","badius","Cannomys",19,348,16,17,1,30,9,0.3,9,2,3610667,"Spalacidae","Rodentia",650,1,"Yes",21.7629325,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954242509439325,1,2.81291335664286,93.8761163955146,24.3792894229503,"","Partially-domesticated"
"21","Capra nubiana","nubiana","Capra",79,1264,49,78,0,43,20,0.465,37,3,698614,"Bovidae","Artiodactyla",62624.84,1,"Yes",29.992544,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30102999566398,1.32221929473392,4.79674662929916,33.8802404089273,28.288591925603,"","Partially-domesticated"
"22","Capromys pilorides","pilorides","Capromys",9,54,8,9,0,73,5,0.068,1,3,848925,"Capromyidae","Rodentia",5650,1,"Yes",22.034512,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,3.75204844781944,-80.2876449947848,21.5645062587012,"","Partially-domesticated"
"23","Caracal caracal","caracal","Caracal",112,1476,77,106,4,53,20,0.377,47,7,1033549,"Felidae","Carnivora",13749.91,1,"Yes",30.17927,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30102999566398,1.32221929473392,4.13829985550219,21.2720652857659,-30.5201270132867,"","Partially-domesticated"
"24","Cavia porcellus","porcellus","Cavia",11287,324658,1334,10481,276,90,202,2.244,6157,13,744000,"Caviidae","Rodentia",728,1,"Yes",10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.30535136944662,2.30749603791321,2.86213137931304,-75.440883866871,2.78610313511761,"","Domesticated"
"25","Cerdocyon thous","thous","Cerdocyon",325,5484,142,0,0,68,38,0.559,145,14,821960,"Canidae","Carnivora",5239.98,1,"Yes",-16.503965,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57978359661681,1.5910646070265,3.71932962936804,-57.6355735831996,-25.9462933887945,"","Partially-domesticated"
"26","Cervus elaphus","elaphus","Cervus",5831,181190,1208,0,0,123,160,1.301,3458,25,936014,"Cervidae","Artiodactyla",165015.85,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20411998265593,2.20682587603185,5.21752566080142,NA,NA,"","Partially-domesticated"
"27","Cervus nippon","nippon","Cervus",1190,13529,424,0,0,61,47,0.77,407,15,754809,"Cervidae","Artiodactyla",53000,1,"No",NA,"Least Concern","establishing_ex_situ_production","food_human","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67209785793572,1.68124123737559,4.72427586960079,NA,NA,"","Partially-domesticated"
"28","Chinchilla chinchilla","chinchilla","Chinchilla",266,2903,153,0,0,63,26,0.413,84,7,169705,"Chinchillidae","Rodentia",499.99,1,"Yes",-24.466667,"Endangered","establishing_ex_situ_production","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41497334797082,1.43136376415899,2.69896131835952,-60.9999999999991,-37.00657711887,"","Partially-domesticated"
"29","Chinchilla lanigera","lanigera","Chinchilla",257,2391,150,237,12,62,24,0.387,84,8,173054,"Chinchillidae","Rodentia",417,1,"Yes",34.4431945,"Endangered","establishing_ex_situ_production","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38021124171161,1.39794000867204,2.62013605497376,22.0000000000001,53.0115836747615,"","Partially-domesticated"
"30","Connochaetes gnou","gnou","Connochaetes",70,1060,52,67,2,61,18,0.295,37,6,363047,"Bovidae","Artiodactyla",179998.96,1,"Yes",-28.507823,"Least Concern","establishing_ex_situ_production","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.27875360095283,5.25526999583905,25.4178905585364,-29.5013882519943,"","Partially-domesticated"
"31","Connochaetes taurinus","taurinus","Connochaetes",300,10571,133,288,8,61,56,0.918,187,11,19028,"Bovidae","Artiodactyla",179998.96,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7481880270062,1.75587485567249,5.25526999583905,NA,NA,"","Partially-domesticated"
"32","Cricetomys ansorgei","ansorgei","Cricetomys",13,70,11,11,0,9,5,0.556,1,4,465268,"Nesomyidae","Rodentia",1285.41,0,"Yes",-6.8333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,3.10904167423311,36.7291721723393,-3.55303491630081,"","Partially-domesticated"
"33","Cricetomys emini","emini","Cricetomys",65,633,53,62,1,39,16,0.41,24,4,611277,"Nesomyidae","Rodentia",1299.99,1,"Yes",0.5,"Least Concern","establishing_ex_situ_production","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,1.23044892137827,3.1139400115672,26.1987063374796,1.30083465512293,"","Partially-domesticated"
"34","Cricetomys gambianus","gambianus","Cricetomys",196,1441,120,184,4,83,19,0.229,43,4,922511,"Nesomyidae","Rodentia",1271,1,"Yes",3.9167,"Least Concern","establishing_ex_situ_production","food_human","pets_display_animals_horticulture","research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.30102999566398,3.10414555055401,-0.382614895533477,9.25640644380064,"","Partially-domesticated"
"35","Cricetulus griseus","griseus","Cricetulus",19930,656122,2010,0,0,95,245,2.579,12171,57,465012,"Cricetidae","Rodentia",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38916608436453,2.39093510710338,NA,NA,NA,"","Partially-domesticated"
"36","Crocuta crocuta","crocuta","Crocuta",742,22715,261,0,0,82,78,0.951,473,15,397157,"Hyaenidae","Carnivora",66492.06,1,"Yes",-3.170297,"Least Concern","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89209460269048,1.89762709129044,4.82276978809914,24.121672707614,-20.3827649589072,"","Partially-domesticated"
"37","Crossarchus obscurus","obscurus","Crossarchus",6,93,6,6,0,90,3,0.033,3,0,1088410,"Herpestidae","Carnivora",1250,1,"Yes",6.6,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,3.09691001300806,-2.89019182106199,7.6198240850939,"","Partially-domesticated"
"38","Cuniculus paca","paca","Cuniculus",543,13678,261,524,8,61,57,0.934,318,10,296191,"Cuniculidae","Rodentia",8172.55,1,"Yes",5.893611,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75587485567249,1.76342799356294,3.91235758629219,-76.0311436289011,5.26419078258872,"","Partially-domesticated"
"39","Cuniculus taczanowskii","taczanowskii","Cuniculus",6,77,6,5,0,11,4,0.364,2,1,67355,"Cuniculidae","Rodentia",8999.95,1,"Yes",6.03917,"Near Threatened","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,3.9542400966855,-74.1993163477154,5.40613599429834,"","Partially-domesticated"
"40","Dama dama","dama","Dama",1223,22066,454,1152,30,67,63,0.94,608,15,906310,"Cervidae","Artiodactyla",52375,1,"Yes",51.7,"Least Concern","establishing_ex_situ_production","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79934054945358,1.80617997398389,4.71912403597435,7.97601475666257,50.900541674315,"","Partially-domesticated"
"41","Dama mesopotamica","mesopotamica","Dama",53,914,38,47,1,57,19,0.333,26,4,640742,"Cervidae","Artiodactyla",NA,NA,"Yes",NA,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.30102999566398,NA,NA,NA,"","Partially-domesticated"
"42","Dasyurus geoffroii","geoffroii","Dasyurus",44,842,24,43,1,51,16,0.314,28,5,820109,"Dasyuridae","Dasyuromorphia",1100,1,"Yes",-31.9,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20411998265592,1.23044892137827,3.04139268515822,131.877932552601,-22.684962304262,"","Partially-domesticated"
"43","Dasyurus hallucatus","hallucatus","Dasyurus",125,2525,57,121,1,41,27,0.659,71,10,74731,"Dasyuridae","Dasyuromorphia",525,1,"Yes",-12.701485,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43136376415899,1.44715803134222,2.72015930340596,147.179996402508,-20.7341631382305,"","Partially-domesticated"
"44","Dasyurus maculatus","maculatus","Dasyurus",105,2000,46,100,2,52,26,0.5,61,6,74729,"Dasyuridae","Dasyuromorphia",5500,1,"Yes",-31.5781325,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41497334797082,1.43136376415899,3.74036268949424,146.739934549275,-34.7152485064737,"","Partially-domesticated"
"45","Dasyurus viverrinus","viverrinus","Dasyurus",105,1832,55,100,3,83,22,0.265,59,4,393372,"Dasyuridae","Dasyuromorphia",1090,1,"Yes",-42.128776,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34242268082221,1.36172783601759,3.03742649794062,147.700583703995,-37.3152571100204,"","Partially-domesticated"
"46","Diceros bicornis","bicornis","Diceros",491,7098,185,450,17,82,40,0.488,205,9,1034204,"Rhinocerotidae","Perissodactyla",1180510.9,1,"No",NA,"Critically Endangered","establishing_ex_situ_production","food_human","handicrafts_jewellery","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60205999132796,1.61278385671974,6.07207000140034,NA,NA,"","Partially-domesticated"
"47","Elephas maximus","maximus","Elephas",1294,21723,448,1203,24,107,63,0.589,589,19,541928,"Elephantidae","Proboscidea",2915040,1,"No",NA,"Endangered","food_human","handicrafts_jewellery","pets_display_animals_horticulture","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79934054945358,1.80617997398389,6.46464451849815,NA,NA,"sibling_higher","Partially-domesticated"
"48","Felis catus","catus","Felis",19511,705103,1940,0,0,149,254,1.705,12937,25,563166,"Felidae","Carnivora",2884.8,1,"Yes",38.769915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40483371661994,2.40654018043396,3.46011570937833,-98.0928759523423,36.6882869710937,"","Domesticated"
"49","Funambulus palmarum","palmarum","Funambulus",60,393,43,57,0,85,10,0.118,11,1,319616,"Sciuridae","Rodentia",136.4,1,"Yes",7.312652,"Least Concern","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.04139268515822,2.13481437032046,77.5251829901274,12.7180265578565,"","Partially-domesticated"
"50","Galictis cuja","cuja","Galictis",48,714,39,47,1,52,15,0.288,24,7,1061040,"Mustelidae","Carnivora",1000,1,"Yes",-32.1567185,"Least Concern","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17609125905568,1.20411998265592,3,-57.6707112343729,-31.5262127677878,"","Partially-domesticated"
"51","Galictis vittata","vittata","Galictis",19,246,16,17,2,50,4,0.08,4,2,381130,"Mustelidae","Carnivora",3200,1,"Yes",14.982357,"Least Concern","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,3.50514997831991,-77.2941461997935,6.17856194450107,"","Partially-domesticated"
"52","Gazella bennettii","bennettii","Gazella",41,244,35,0,0,33,7,0.212,4,3,702517,"Bovidae","Artiodactyla",18916.67,1,"Yes",23.2271745,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,4.27684468767315,75.2641583917757,24.0663727208712,"","Partially-domesticated"
"53","Gazella dorcas","dorcas","Gazella",114,1684,73,0,0,53,24,0.453,54,4,683912,"Bovidae","Artiodactyla",23000.11,1,"No",NA,"Vulnerable","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38021124171161,1.39794000867204,4.36172991307319,NA,NA,"","Partially-domesticated"
"54","Genetta genetta","genetta","Genetta",183,3767,111,0,0,55,37,0.673,98,8,194343,"Viverridae","Carnivora",1800,1,"Yes",43.31,"Least Concern","food_human","handicrafts_jewellery","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56820172406699,1.57978359661681,3.25527250510331,-0.485219019103522,42.962868007065,"","Partially-domesticated"
"55","Genetta maculata","maculata","Genetta",17,137,15,0,0,50,7,0.14,5,2,159579,"Viverridae","Carnivora",2225,1,"Yes",-9.116667,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,3.34733001531695,33.8744216970426,-1.26775507133006,"","Partially-domesticated"
"56","Genetta pardina","pardina","Genetta",4,28,4,4,0,18,3,0.167,1,0,45855,"Viverridae","Carnivora",1821.97,0,"Yes",7.074274,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477121254719662,0.602059991327962,3.26054122173593,2.33470638639862,9.69013157978809,"","Partially-domesticated"
"57","Genetta tigrina","tigrina","Genetta",26,298,21,25,0,62,12,0.194,13,5,350016,"Viverridae","Carnivora",2225,1,"Yes",-32.632741,"Least Concern","food_human","handicrafts_jewellery","medicine","wearing_apparel_accessories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07918124604762,1.11394335230684,3.34733001531695,22.1811527694736,-33.4305744224293,"","Partially-domesticated"
"58","Gerbillus amoenus","amoenus","Gerbillus",3,18,3,3,0,8,2,0.25,1,1,3608949,"Muridae","Rodentia",13.2,1,"Yes",29.833334,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,1.12057393120585,28.5903809779571,30.6147778520668,"","Partially-domesticated"
"59","Gerbillus gerbillus","gerbillus","Gerbillus",63,709,42,59,4,76,14,0.184,17,3,404779,"Muridae","Rodentia",25.04,1,"Yes",29.200001,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14612803567824,1.17609125905568,1.39863432453839,30.9074667913926,27.5328674717171,"","Partially-domesticated"
"60","Gerbillus perpallidus","perpallidus","Gerbillus",7,129,6,7,0,33,5,0.152,4,0,718288,"Muridae","Rodentia",36.3,1,"Yes",30.25,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698970004336019,0.778151250383644,1.55990662503611,30.0000000000001,31.0052443078997,"","Partially-domesticated"
"61","Gerbillus pyramidum","pyramidum","Gerbillus",114,3242,50,112,0,76,30,0.395,53,1,404782,"Muridae","Rodentia",46.29,1,"No",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47712125471966,1.49136169383427,1.66548718078281,NA,NA,"","Partially-domesticated"
"62","Herpestes ichneumon","ichneumon","Herpestes",121,2760,80,116,3,139,30,0.216,62,6,749636,"Herpestidae","Carnivora",5174.98,1,"Yes",36.629078,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47712125471966,1.49136169383427,3.71390867569293,33.1045538302649,0.475014854341439,"","Partially-domesticated"
"63","Herpestes smithii","smithii","Herpestes",3,12,3,3,0,12,2,0.167,0,0,650603,"Herpestidae","Carnivora",1781.95,1,"Yes",6.375593,"Least Concern","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301029995663981,0.477121254719662,3.25089551393838,76.3295593589497,26.3489800433744,"","Partially-domesticated"
"64","Hippotragus equinus","equinus","Hippotragus",92,1325,56,86,4,86,18,0.209,36,4,860772,"Bovidae","Artiodactyla",269997.66,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.27875360095283,5.43136000025717,NA,NA,"","Partially-domesticated"
"65","Hippotragus niger","niger","Hippotragus",113,1995,62,110,1,47,25,0.532,56,6,860770,"Bovidae","Artiodactyla",227499.27,1,"No",NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39794000867204,1.41497334797082,5.35698000743058,NA,NA,"","Partially-domesticated"
"66","Hydropotes inermis","inermis","Hydropotes",131,1276,79,117,3,139,18,0.129,41,6,194504,"Cervidae","Artiodactyla",14000,1,"No",NA,"Vulnerable","food_human","medicine","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.27875360095283,4.14612803567824,NA,NA,"","Partially-domesticated"
"67","Hystrix africaeaustralis","africaeaustralis","Hystrix",46,547,33,46,0,37,14,0.378,23,4,220335,"Hystricidae","Rodentia",14936.02,1,"Yes",-32.25,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14612803567824,1.17609125905568,4.17423488648118,25.0407051982987,-28.1352498862217,"","Partially-domesticated"
"68","Hystrix brachyura","brachyura","Hystrix",34,199,32,30,1,29,7,0.241,5,4,67361,"Hystricidae","Rodentia",8450,1,"No",NA,"Least Concern","food_human","medicine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,0.903089986991944,3.92685670894969,NA,NA,"","Partially-domesticated"
"69","Hystrix cristata","cristata","Hystrix",182,1987,103,178,1,54,23,0.426,62,8,220326,"Hystricidae","Rodentia",16250,1,"Yes",17.9373745,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36172783601759,1.38021124171161,4.21085336531489,35.2209411791149,0.780214063954259,"","Partially-domesticated"
"70","Hystrix indica","indica","Hystrix",92,974,63,84,2,47,18,0.383,29,4,276719,"Hystricidae","Rodentia",12435.83,1,"Yes",32.02,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25527250510331,1.27875360095283,4.0946747765292,77.8054528608508,12.2249600194933,"","Partially-domesticated"
"71","Hystrix javanica","javanica","Hystrix",20,46,15,20,0,29,4,0.138,1,4,3609873,"Hystricidae","Rodentia",23014.42,1,"Yes",-7.7081885,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.698970004336019,4.362000034456,109,-7.00107163467529,"","Partially-domesticated"
"72","Hystrix pumila","pumila","Hystrix",2,5,2,2,0,4,1,0.25,0,1,3609872,"Hystricidae","Rodentia",2740,1,"Yes",9.925,"Vulnerable","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.301029995663981,3.43775056282039,118.334702935937,9.67225024912921,"","Partially-domesticated"
