"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"120","Pseudantechinus roryi","Dasyuridae",25.06,0
"121","Pseudantechinus ningbing","Dasyuridae",20,1
"122","Pseudantechinus macdonnellensis","Dasyuridae",32.5,1
"123","Pseudantechinus mimulus","Dasyuridae",16.5,1
"124","Sarcophilus harrisii","Dasyuridae",10000,1
"125","Antechinus leo","Dasyuridae",74,1
"126","Antechinus subtropicus","Dasyuridae",59.5,1
"127","Antechinus stuartii","Dasyuridae",27.5,1
"128","Antechinus minimus","Dasyuridae",53.5,1
"129","Antechinus flavipes","Dasyuridae",45,1
"130","Antechinus bellus","Dasyuridae",44.5,1
"131","Antechinus agilis","Dasyuridae",22.13,1
"132","Antechinus adustus","Dasyuridae",36,1
"133","Antechinus swainsonii","Dasyuridae",53,1
"134","Antechinus godmani","Dasyuridae",76.5,1
"135","Micromurexia habbema","Dasyuridae",46.97,0
"136","Murexechinus melanurus","Dasyuridae",38.02,1
"137","Murexia longicaudata","Dasyuridae",335.83,1
"138","Paramurexia rothschildi","Dasyuridae",53.77,1
"139","Phascomurexia naso","Dasyuridae",52.62,1
"140","Phascogale calura","Dasyuridae",51.5,1
"141","Phascogale tapoatafa","Dasyuridae",193.5,1
"142","Antechinomys laniger","Dasyuridae",25.57,1
"143","Ningaui yvonnae","Dasyuridae",7,1
"144","Ningaui ridei","Dasyuridae",8.5,1
"145","Ningaui timealeyi","Dasyuridae",5.7,1
"146","Sminthopsis griseoventer","Dasyuridae",17.5,1
"147","Sminthopsis virginiae","Dasyuridae",35.25,1
"148","Sminthopsis psammophila","Dasyuridae",33.5,1
"149","Sminthopsis ooldea","Dasyuridae",11,1
"150","Sminthopsis murina","Dasyuridae",17,1
"151","Sminthopsis macroura","Dasyuridae",20,1
"152","Sminthopsis longicaudata","Dasyuridae",18,1
"153","Sminthopsis leucopus","Dasyuridae",26,1
"154","Sminthopsis douglasi","Dasyuridae",55,1
"155","Sminthopsis hirtipes","Dasyuridae",15,1
"156","Sminthopsis youngsoni","Dasyuridae",10.1,1
"157","Sminthopsis fuliginosus","Dasyuridae",19.89,0
"158","Sminthopsis dolichura","Dasyuridae",13.6,1
"159","Sminthopsis crassicaudata","Dasyuridae",15,1
"160","Sminthopsis butleri","Dasyuridae",25,1
"161","Sminthopsis boullangerensis","Dasyuridae",19.89,0
"162","Sminthopsis bindi","Dasyuridae",17.5,1
"163","Sminthopsis archeri","Dasyuridae",16,1
"164","Sminthopsis aitkeni","Dasyuridae",22.5,1
"165","Sminthopsis granulipes","Dasyuridae",25,1
"166","Sminthopsis gilberti","Dasyuridae",19.5,1
"167","Planigale gilesi","Dasyuridae",9.2,1
"168","Planigale tenuirostris","Dasyuridae",6.05,1
"169","Planigale novaeguineae","Dasyuridae",14.9,1
"170","Planigale ingrami","Dasyuridae",4.25,1
"171","Planigale maculata","Dasyuridae",11,1
"172","Macrotis lagotis","Thylacomyidae",1350,1
"173","Macrotis leucura","Thylacomyidae",354,1
"174","Isoodon auratus","Peramelidae",425,1
"175","Isoodon macrourus","Peramelidae",1600,1
"176","Isoodon obesulus","Peramelidae",775,1
"177","Perameles nasuta","Peramelidae",975,1
"178","Perameles gunnii","Peramelidae",870,1
"179","Perameles eremiana","Peramelidae",500,1
"180","Perameles bougainville","Peramelidae",226,1
"181","Peroryctes raffrayana","Peramelidae",838.5,1
"182","Peroryctes broadbenti","Peramelidae",4800,1
"183","Echymipera clara","Peramelidae",1236.5,1
"184","Echymipera davidi","Peramelidae",950,1
"185","Echymipera echinista","Peramelidae",1000,1
"186","Echymipera kalubu","Peramelidae",782.17,1
"187","Echymipera rufescens","Peramelidae",1100,1
"188","Microperoryctes longicauda","Peramelidae",538,1
"189","Microperoryctes murina","Peramelidae",817.52,2
"190","Microperoryctes papuensis","Peramelidae",158,1
"191","Rhynchomeles prattorum","Peramelidae",817.52,2
"192","Phascolarctos cinereus","Phascolarctidae",10250,1
"193","Lasiorhinus krefftii","Vombatidae",2900,1
"194","Lasiorhinus latifrons","Vombatidae",25500,1
"195","Vombatus ursinus","Vombatidae",26000,1
"196","Burramys parvus","Burramyidae",41.5,1
"197","Cercartetus nanus","Burramyidae",24,1
"198","Cercartetus caudatus","Burramyidae",25,1
"199","Cercartetus concinnus","Burramyidae",13,1
"200","Cercartetus lepidus","Burramyidae",7,1
"201","Ailurops melanotis","Phalangeridae",10000,0
"202","Ailurops ursinus","Phalangeridae",10000,1
"203","Phalanger lullulae","Phalangeridae",1632.5,1
"204","Phalanger vestitus","Phalangeridae",1850,1
"205","Phalanger sericeus","Phalangeridae",2003,1
"206","Phalanger rothschildi","Phalangeridae",1365,1
"207","Phalanger ornatus","Phalangeridae",1787.5,1
"208","Phalanger orientalis","Phalangeridae",2168.75,1
"209","Phalanger mimicus","Phalangeridae",1846.67,0
"210","Phalanger matabiru","Phalangeridae",1846.67,0
"211","Phalanger intercastellanus","Phalangeridae",1747.5,1
"212","Phalanger gymnotis","Phalangeridae",2597.89,1
"213","Phalanger carmelitae","Phalangeridae",2047.5,1
"214","Phalanger alexandrae","Phalangeridae",1846.67,0
"215","Phalanger matanim","Phalangeridae",1550,1
"216","Spilocuscus rufoniger","Phalangeridae",6000,1
"217","Spilocuscus kraemeri","Phalangeridae",5535.39,0
"218","Spilocuscus maculatus","Phalangeridae",5106.75,1
"219","Spilocuscus papuensis","Phalangeridae",5535.39,0
"220","Strigocuscus celebensis","Phalangeridae",500,1
"221","Strigocuscus pelengensis","Phalangeridae",500,0
"222","Trichosurus arnhemensis","Phalangeridae",1300,1
"223","Trichosurus caninus","Phalangeridae",3500,1
"224","Trichosurus cunninghami","Phalangeridae",2293.08,0
"225","Trichosurus johnstonii","Phalangeridae",2293.08,0
"226","Trichosurus vulpecula","Phalangeridae",2650,1
"227","Wyulda squamicaudata","Phalangeridae",1675,1
"228","Hemibelideus lemuroides","Pseudocheiridae",952.5,1
"229","Petauroides volans","Pseudocheiridae",1300,1
"230","Petropseudes dahli","Pseudocheiridae",1640,1
"231","Pseudocheirus peregrinus","Pseudocheiridae",900,1
"232","Pseudochirulus caroli","Pseudocheiridae",456.02,1
"233","Pseudochirulus schlegeli","Pseudocheiridae",255.44,1
"234","Pseudochirulus mayeri","Pseudocheiridae",151.75,1
"235","Pseudochirulus larvatus","Pseudocheiridae",448.3,0
"236","Pseudochirulus herbertensis","Pseudocheiridae",1098.34,1
"237","Pseudochirulus forbesi","Pseudocheiridae",639.16,1
"238","Pseudochirulus cinereus","Pseudocheiridae",977.48,1
"239","Pseudochirulus canescens","Pseudocheiridae",300,1
"240","Pseudochirops albertisii","Pseudocheiridae",784.85,1
"241","Pseudochirops archeri","Pseudocheiridae",1091.5,1
"242","Pseudochirops corinnae","Pseudocheiridae",1123,1
"243","Pseudochirops coronatus","Pseudocheiridae",1500,1
"244","Pseudochirops cupreus","Pseudocheiridae",1724.5,1
"245","Dactylopsila tatei","Petauridae",252,1
"246","Dactylopsila trivirgata","Petauridae",413.53,1
"247","Dactylopsila palpator","Petauridae",398,1
"248","Dactylopsila megalura","Petauridae",277.74,2
"249","Gymnobelideus leadbeateri","Petauridae",127,1
"250","Petaurus abidi","Petauridae",278,1
"251","Petaurus breviceps","Petauridae",106.28,1
"252","Petaurus norfolcensis","Petauridae",230,1
"253","Petaurus australis","Petauridae",575,1
"254","Petaurus gracilis","Petauridae",353,1
"255","Petaurus biacensis","Petauridae",90.98,1
"256","Tarsipes rostratus","Tarsipedidae",9,1
"257","Acrobates pygmaeus","Acrobatidae",12,1
"258","Distoechurus pennatus","Acrobatidae",44.1,1
"259","Lagorchestes leporides","Macropodidae",3000,1
"260","Lagorchestes hirsutus","Macropodidae",1265,1
"261","Lagorchestes conspicillatus","Macropodidae",3050,1
"262","Lagorchestes asomatus","Macropodidae",1500,1
"263","Macropus fuliginosus","Macropodidae",22000,1
"264","Macropus giganteus","Macropodidae",25875,1
"265","Macropus parryi","Macropodidae",13500,1
"266","Macropus dorsalis","Macropodidae",11250,1
"267","Macropus eugenii","Macropodidae",6500,1
"268","Macropus greyi","Macropodidae",10000,1
"269","Macropus parma","Macropodidae",4500,1
"270","Macropus agilis","Macropodidae",15000,1
"271","Macropus rufogriseus","Macropodidae",16850,1
"272","Macropus irma","Macropodidae",8000,1
"273","Macropus antilopinus","Macropodidae",27250,1
"274","Macropus robustus","Macropodidae",21262.5,1
"275","Macropus bernardus","Macropodidae",17000,1
"276","Macropus rufus","Macropodidae",46250,1
"277","Dendrolagus inustus","Macropodidae",13031.25,1
"278","Dendrolagus lumholtzi","Macropodidae",6750,1
"279","Dendrolagus matschiei","Macropodidae",6960,1
"280","Dendrolagus mbaiso","Macropodidae",9395.06,1
"281","Dendrolagus pulcherrimus","Macropodidae",9511.11,0
"282","Dendrolagus scottae","Macropodidae",10375,1
"283","Dendrolagus spadix","Macropodidae",9100,1
"284","Dendrolagus stellarum","Macropodidae",9511.11,0
"285","Dendrolagus ursinus","Macropodidae",13250,1
"286","Dendrolagus bennettianus","Macropodidae",10950,1
"287","Dendrolagus dorianus","Macropodidae",9581,1
"288","Dendrolagus goodfellowi","Macropodidae",8025,1
"289","Dorcopsis luctuosa","Macropodidae",6352,1
"290","Dorcopsis muelleri","Macropodidae",5500,1
"291","Dorcopsis hageni","Macropodidae",5500,1
"292","Dorcopsis atrata","Macropodidae",5916.5,1
"293","Dorcopsulus vanheurni","Macropodidae",1785.75,1
"294","Dorcopsulus macleayi","Macropodidae",2988,1
"295","Onychogalea unguifera","Macropodidae",6650,1
"296","Onychogalea lunata","Macropodidae",3500,1
"297","Onychogalea fraenata","Macropodidae",5500,1
"298","Petrogale purpureicollis","Macropodidae",5850,1
"299","Petrogale coenensis","Macropodidae",4123.14,0
"300","Petrogale burbidgei","Macropodidae",1258,1
"301","Petrogale brachyotis","Macropodidae",4050,1
"302","Petrogale assimilis","Macropodidae",4500,1
"303","Petrogale godmani","Macropodidae",4750,1
"304","Petrogale xanthopus","Macropodidae",8500,1
"305","Petrogale sharmani","Macropodidae",4123.14,0
"306","Petrogale herberti","Macropodidae",4123.14,0
"307","Petrogale inornata","Macropodidae",4600,1
"308","Petrogale lateralis","Macropodidae",4625,1
"309","Petrogale mareeba","Macropodidae",4123.14,0
"310","Petrogale concinna","Macropodidae",1400,1
"311","Petrogale persephone","Macropodidae",6200,1
"312","Petrogale rothschildi","Macropodidae",3400,1
"313","Petrogale penicillata","Macropodidae",7100,1
"314","Setonix brachyurus","Macropodidae",3250,1
"315","Thylogale calabyi","Macropodidae",4326.13,1
"316","Thylogale browni","Macropodidae",5478,1
"317","Thylogale thetis","Macropodidae",5400,1
"318","Thylogale stigmatica","Macropodidae",4600,1
"319","Thylogale lanatus","Macropodidae",4758.79,0
"320","Thylogale brunii","Macropodidae",3620,1
"321","Thylogale billardierii","Macropodidae",5450,1
"322","Wallabia bicolor","Macropodidae",15000,1
"323","Lagostrophus fasciatus","Macropodidae",1700,1
"324","Hypsiprymnodon moschatus","Hypsiprymnodontidae",520,1
"325","Aepyprymnus rufescens","Potoroidae",3250,1
"326","Bettongia lesueur","Potoroidae",1500,1
"327","Bettongia penicillata","Potoroidae",1300,1
"328","Bettongia tropica","Potoroidae",1256.58,1
"329","Bettongia gaimardi","Potoroidae",1660,1
"330","Caloprymnus campestris","Potoroidae",900,1
"331","Potorous platyops","Potoroidae",500,1
"332","Potorous gilbertii","Potoroidae",1569.46,1
"333","Potorous longipes","Potoroidae",1900,1
"334","Potorous tridactylus","Potoroidae",1100,1
"335","Geogale aurita","Tenrecidae",7,1
"336","Limnogale mergulus","Tenrecidae",78.6,1
"337","Microgale longicaudata","Tenrecidae",7.3,1
"338","Microgale thomasi","Tenrecidae",22.9,1
"339","Microgale talazaci","Tenrecidae",48,1
"340","Microgale taiva","Tenrecidae",12.4,1
"341","Microgale soricoides","Tenrecidae",18.7,1
"342","Microgale pusilla","Tenrecidae",3.4,1
"343","Microgale principula","Tenrecidae",10.2,1
"344","Microgale parvula","Tenrecidae",3.4,1
"345","Microgale monticola","Tenrecidae",13.9,1
"346","Microgale gymnorhyncha","Tenrecidae",18.2,1
"347","Microgale gracilis","Tenrecidae",23.3,1
"348","Microgale fotsifotsy","Tenrecidae",7.7,1
"349","Microgale dryas","Tenrecidae",40,1
"350","Microgale drouhardi","Tenrecidae",10.5,1
"351","Microgale dobsoni","Tenrecidae",38,1
"352","Microgale cowani","Tenrecidae",13.8,1
"353","Microgale brevicaudata","Tenrecidae",11.3,1
"354","Microgale nasoloi","Tenrecidae",13.83,0
"355","Oryzorictes hova","Tenrecidae",36.5,1
"356","Oryzorictes tetradactylus","Tenrecidae",36,1
"357","Micropotamogale lamottei","Tenrecidae",69.6,1
"358","Micropotamogale ruwenzorii","Tenrecidae",98.5,1
"359","Potamogale velox","Tenrecidae",659.99,1
"360","Echinops telfairi","Tenrecidae",180,1
"361","Hemicentetes semispinosus","Tenrecidae",137.8,1
"362","Hemicentetes nigriceps","Tenrecidae",102.99,1
"363","Setifer setosus","Tenrecidae",294,1
"364","Tenrec ecaudatus","Tenrecidae",868,1
"365","Carpitalpa arendsi","Chrysochloridae",52.34,1
"366","Chlorotalpa duthieae","Chrysochloridae",49.7,2
"367","Chlorotalpa sclateri","Chrysochloridae",41,1
"368","Chrysochloris asiatica","Chrysochloridae",49,1
"369","Chrysochloris visagiei","Chrysochloridae",30,1
"370","Chrysochloris stuhlmanni","Chrysochloridae",39.8,1
"371","Chrysospalax trevelyani","Chrysochloridae",426.5,1
"372","Chrysospalax villosus","Chrysochloridae",119.88,1
"373","Cryptochloris zyli","Chrysochloridae",25,1
