"","Scientific","MSWFamilyLatin","BodyMass.Value","BodyMass.SpecLevel"
"980","Menetes berdmorei","Sciuridae",190,1
"981","Nannosciurus melanotis","Sciuridae",50,1
"982","Prosciurillus weberi","Sciuridae",106.26,2
"983","Prosciurillus rosenbergii","Sciuridae",90.41,0
"984","Prosciurillus abstrusus","Sciuridae",79.2,1
"985","Prosciurillus murinus","Sciuridae",72.9,1
"986","Prosciurillus leucomus","Sciuridae",128,1
"987","Rhinosciurus laticaudatus","Sciuridae",228.25,1
"988","Rubrisciurus rubriventer","Sciuridae",129.52,2
"989","Tamiops rodolphii","Sciuridae",64.95,0
"990","Tamiops swinhoei","Sciuridae",85,1
"991","Tamiops mcclellandii","Sciuridae",45.84,1
"992","Tamiops maritimus","Sciuridae",70.33,1
"993","Atlantoxerus getulus","Sciuridae",251,1
"994","Spermophilopsis leptodactylus","Sciuridae",600,1
"995","Xerus rutilus","Sciuridae",317.5,1
"996","Xerus erythropus","Sciuridae",502.4,1
"997","Xerus inauris","Sciuridae",529,1
"998","Xerus princeps","Sciuridae",636,1
"999","Epixerus ebii","Sciuridae",592,1
"1000","Funisciurus substriatus","Sciuridae",186,1
"1001","Funisciurus pyrropus","Sciuridae",297,1
"1002","Funisciurus leucogenys","Sciuridae",250,1
"1003","Funisciurus lemniscatus","Sciuridae",141,1
"1004","Funisciurus carruthersi","Sciuridae",286,1
"1005","Funisciurus congicus","Sciuridae",112,1
"1006","Funisciurus anerythrus","Sciuridae",218,1
"1007","Funisciurus isabella","Sciuridae",109,1
"1008","Funisciurus bayonii","Sciuridae",135,1
"1009","Heliosciurus undulatus","Sciuridae",347.33,1
"1010","Heliosciurus ruwenzorii","Sciuridae",291,1
"1011","Heliosciurus mutabilis","Sciuridae",390,1
"1012","Heliosciurus gambianus","Sciuridae",295,1
"1013","Heliosciurus punctatus","Sciuridae",174,1
"1014","Heliosciurus rufobrachium","Sciuridae",371.5,1
"1015","Myosciurus pumilio","Sciuridae",165,1
"1016","Paraxerus ochraceus","Sciuridae",104.3,1
"1017","Paraxerus cooperi","Sciuridae",250,1
"1018","Paraxerus vexillarius","Sciuridae",675,1
"1019","Paraxerus vincenti","Sciuridae",190.19,2
"1020","Paraxerus lucifer","Sciuridae",700,1
"1021","Paraxerus flavovittis","Sciuridae",160,1
"1022","Paraxerus palliatus","Sciuridae",309.31,1
"1023","Paraxerus boehmi","Sciuridae",70,1
"1024","Paraxerus alexandri","Sciuridae",52,1
"1025","Paraxerus poensis","Sciuridae",124.5,1
"1026","Paraxerus cepapi","Sciuridae",180,1
"1027","Protoxerus stangeri","Sciuridae",621.5,1
"1028","Protoxerus aubinnii","Sciuridae",350,1
"1029","Sciurotamias davidianus","Sciuridae",433.51,1
"1030","Sciurotamias forresti","Sciuridae",433.51,1
"1031","Spermophilus pygmaeus","Sciuridae",136,1
"1032","Spermophilus mollis","Sciuridae",165.4,1
"1033","Spermophilus canus","Sciuridae",272.85,2
"1034","Spermophilus citellus","Sciuridae",290,1
"1035","Spermophilus beldingi","Sciuridae",280.5,1
"1036","Spermophilus dauricus","Sciuridae",161.3,1
"1037","Spermophilus armatus","Sciuridae",313,1
"1038","Spermophilus elegans","Sciuridae",453.6,1
"1039","Spermophilus brunneus","Sciuridae",300,1
"1040","Spermophilus musicus","Sciuridae",284.72,0
"1041","Spermophilus pallidicauda","Sciuridae",284.72,0
"1042","Spermophilus ralli","Sciuridae",284.72,0
"1043","Spermophilus relictus","Sciuridae",600,1
"1044","Spermophilus richardsonii","Sciuridae",406,1
"1045","Spermophilus suslicus","Sciuridae",252,1
"1046","Spermophilus alashanicus","Sciuridae",267.76,2
"1047","Spermophilus washingtoni","Sciuridae",207.5,1
"1048","Spermophilus xanthoprymnus","Sciuridae",289.67,1
"1049","Spermophilus townsendii","Sciuridae",213,1
"1050","Spermophilus variegatus","Sciuridae",691.64,1
"1051","Spermophilus beecheyi","Sciuridae",578.5,1
"1052","Spermophilus atricapillus","Sciuridae",551,1
"1053","Spermophilus mexicanus","Sciuridae",189.64,1
"1054","Spermophilus perotensis","Sciuridae",140,1
"1055","Spermophilus tridecemlineatus","Sciuridae",131.67,1
"1056","Spermophilus spilosoma","Sciuridae",89,1
"1057","Spermophilus tereticaudus","Sciuridae",156.5,1
"1058","Spermophilus mohavensis","Sciuridae",190,1
"1059","Spermophilus franklinii","Sciuridae",363,1
"1060","Spermophilus saturatus","Sciuridae",220,1
"1061","Spermophilus lateralis","Sciuridae",191,1
"1062","Spermophilus madrensis","Sciuridae",275,1
"1063","Spermophilus columbianus","Sciuridae",493,1
"1064","Spermophilus undulatus","Sciuridae",840,1
"1065","Spermophilus adocetus","Sciuridae",125,1
"1066","Spermophilus brevicauda","Sciuridae",284.72,0
"1067","Spermophilus fulvus","Sciuridae",596,1
"1068","Spermophilus parryii","Sciuridae",759.99,1
"1069","Spermophilus annulatus","Sciuridae",500,1
"1070","Spermophilus major","Sciuridae",269.07,2
"1071","Spermophilus erythrogenys","Sciuridae",254.81,2
"1072","Ammospermophilus interpres","Sciuridae",110.3,1
"1073","Ammospermophilus insularis","Sciuridae",122.31,0
"1074","Ammospermophilus harrisii","Sciuridae",122,1
"1075","Ammospermophilus nelsoni","Sciuridae",160.4,1
"1076","Ammospermophilus leucurus","Sciuridae",103.67,1
"1077","Cynomys ludovicianus","Sciuridae",1364,1
"1078","Cynomys mexicanus","Sciuridae",899.99,1
"1079","Cynomys leucurus","Sciuridae",908.49,1
"1080","Cynomys gunnisoni","Sciuridae",925,1
"1081","Cynomys parvidens","Sciuridae",899.99,1
"1082","Marmota monax","Sciuridae",3801.72,1
"1083","Marmota himalayana","Sciuridae",5000,1
"1084","Marmota marmota","Sciuridae",2010,1
"1085","Marmota camtschatica","Sciuridae",3500,1
"1086","Marmota sibirica","Sciuridae",8000,1
"1087","Marmota caudata","Sciuridae",4350,1
"1088","Marmota broweri","Sciuridae",3405,1
"1089","Marmota bobak","Sciuridae",5500,1
"1090","Marmota baibacina","Sciuridae",7500,1
"1091","Marmota menzbieri","Sciuridae",3250,1
"1092","Marmota olympus","Sciuridae",6299.99,1
"1093","Marmota vancouverensis","Sciuridae",6299.99,1
"1094","Marmota flaviventris","Sciuridae",3349.96,1
"1095","Marmota caligata","Sciuridae",7230.03,1
"1096","Tamias striatus","Sciuridae",111.91,1
"1097","Tamias sibiricus","Sciuridae",85,1
"1098","Tamias quadrimaculatus","Sciuridae",85.25,1
"1099","Tamias quadrivittatus","Sciuridae",62.2,1
"1100","Tamias ruficaudus","Sciuridae",68,1
"1101","Tamias rufus","Sciuridae",53.6,1
"1102","Tamias senex","Sciuridae",89.35,1
"1103","Tamias sonomae","Sciuridae",75,1
"1104","Tamias umbrinus","Sciuridae",63,1
"1105","Tamias siskiyou","Sciuridae",75,1
"1106","Tamias panamintinus","Sciuridae",52.3,1
"1107","Tamias townsendii","Sciuridae",74.78,1
"1108","Tamias cinereicollis","Sciuridae",61.7,1
"1109","Tamias amoenus","Sciuridae",50.5,1
"1110","Tamias bulleri","Sciuridae",100,1
"1111","Tamias palmeri","Sciuridae",69.4,1
"1112","Tamias speciosus","Sciuridae",62,1
"1113","Tamias alpinus","Sciuridae",36.55,1
"1114","Tamias dorsalis","Sciuridae",71.1,1
"1115","Tamias durangae","Sciuridae",85,1
"1116","Tamias merriami","Sciuridae",74.8,1
"1117","Tamias minimus","Sciuridae",135.27,1
"1118","Tamias obscurus","Sciuridae",73,1
"1119","Tamias ochrogenys","Sciuridae",91.7,1
"1120","Tamias canipes","Sciuridae",70.4,1
"1121","Graphiurus lorraineus","Gliridae",27,1
"1122","Graphiurus surdus","Gliridae",20.01,1
"1123","Graphiurus rupicola","Gliridae",24.53,2
"1124","Graphiurus platyops","Gliridae",46.1,1
"1125","Graphiurus ocularis","Gliridae",30.3,1
"1126","Graphiurus murinus","Gliridae",19.08,1
"1127","Graphiurus kelleni","Gliridae",10.5,1
"1128","Graphiurus johnstoni","Gliridae",23.96,0
"1129","Graphiurus christyi","Gliridae",23.83,2
"1130","Graphiurus angolensis","Gliridae",23.96,0
"1131","Graphiurus microtis","Gliridae",25.18,2
"1132","Graphiurus monardi","Gliridae",25.05,2
"1133","Graphiurus nagtglasii","Gliridae",30,1
"1134","Graphiurus crassicaudatus","Gliridae",38.22,2
"1135","Chaetocauda sichuanensis","Gliridae",31.51,1
"1136","Dryomys nitedula","Gliridae",33.6,1
"1137","Dryomys laniger","Gliridae",20,1
"1138","Dryomys niethammeri","Gliridae",25.92,0
"1139","Eliomys melanurus","Gliridae",98.7,1
"1140","Eliomys munbyanus","Gliridae",106.54,0
"1141","Eliomys quercinus","Gliridae",115,1
"1142","Muscardinus avellanarius","Gliridae",27.5,1
"1143","Myomimus setzeri","Gliridae",37.74,2
"1144","Myomimus personatus","Gliridae",37.48,2
"1145","Myomimus roachi","Gliridae",36.99,2
"1146","Selevinia betpakdalaensis","Gliridae",28,1
"1147","Glirulus japonicus","Gliridae",62.99,2
"1148","Glis glis","Gliridae",128.09,1
"1149","Cratogeomys neglectus","Geomyidae",302.48,1
"1150","Cratogeomys tylorhinus","Geomyidae",403.42,1
"1151","Cratogeomys merriami","Geomyidae",419.99,1
"1152","Cratogeomys gymnurus","Geomyidae",599.99,1
"1153","Cratogeomys fumosus","Geomyidae",150,1
"1154","Cratogeomys goldmani","Geomyidae",71.51,2
"1155","Cratogeomys castanops","Geomyidae",266.83,1
"1156","Cratogeomys zinseri","Geomyidae",150,1
"1157","Geomys arenarius","Geomyidae",206,1
"1158","Geomys knoxjonesi","Geomyidae",172.49,1
"1159","Geomys texensis","Geomyidae",189.76,0
"1160","Geomys tropicalis","Geomyidae",350,1
"1161","Geomys personatus","Geomyidae",397,1
"1162","Geomys bursarius","Geomyidae",203.75,1
"1163","Geomys pinetis","Geomyidae",85,1
"1164","Geomys breviceps","Geomyidae",136.47,1
"1165","Geomys attwateri","Geomyidae",144.06,1
"1166","Orthogeomys grandis","Geomyidae",500,1
"1167","Orthogeomys cuniculus","Geomyidae",500,1
"1168","Orthogeomys hispidus","Geomyidae",500,1
"1169","Orthogeomys lanius","Geomyidae",500,1
"1170","Orthogeomys cherriei","Geomyidae",225,1
"1171","Orthogeomys dariensis","Geomyidae",438,1
"1172","Orthogeomys heterodus","Geomyidae",615,1
"1173","Orthogeomys matagalpae","Geomyidae",293,1
"1174","Orthogeomys thaeleri","Geomyidae",440.75,1
"1175","Orthogeomys underwoodi","Geomyidae",250,1
"1176","Orthogeomys cavator","Geomyidae",650,1
"1177","Pappogeomys alcorni","Geomyidae",150,1
"1178","Pappogeomys bulleri","Geomyidae",150,1
"1179","Thomomys clusius","Geomyidae",58,1
"1180","Thomomys idahoensis","Geomyidae",67,1
"1181","Thomomys mazama","Geomyidae",75,1
"1182","Thomomys monticola","Geomyidae",80,1
"1183","Thomomys talpoides","Geomyidae",130.08,1
"1184","Thomomys bulbivorus","Geomyidae",359.9,1
"1185","Thomomys umbrinus","Geomyidae",166,1
"1186","Thomomys townsendii","Geomyidae",263.35,1
"1187","Thomomys bottae","Geomyidae",114.75,1
"1188","Zygogeomys trichopus","Geomyidae",500,1
"1189","Castor canadensis","Castoridae",21820,1
"1190","Castor fiber","Castoridae",19000,1
"1191","Dipodomys nitratoides","Heteromyidae",43.9,1
"1192","Dipodomys ordii","Heteromyidae",60.4,1
"1193","Dipodomys panamintinus","Heteromyidae",74.7,1
"1194","Dipodomys phillipsii","Heteromyidae",41,1
"1195","Dipodomys simulans","Heteromyidae",70.36,0
"1196","Dipodomys nelsoni","Heteromyidae",88.6,1
"1197","Dipodomys stephensi","Heteromyidae",69.75,1
"1198","Dipodomys gravipes","Heteromyidae",83.97,1
"1199","Dipodomys venustus","Heteromyidae",72,1
"1200","Dipodomys spectabilis","Heteromyidae",135.88,1
"1201","Dipodomys microps","Heteromyidae",54.6,1
"1202","Dipodomys merriami","Heteromyidae",42,1
"1203","Dipodomys heermanni","Heteromyidae",72,1
"1204","Dipodomys elator","Heteromyidae",77.5,1
"1205","Dipodomys deserti","Heteromyidae",104.5,1
"1206","Dipodomys compactus","Heteromyidae",49.25,1
"1207","Dipodomys californicus","Heteromyidae",84.96,1
"1208","Dipodomys agilis","Heteromyidae",57.85,1
"1209","Dipodomys ingens","Heteromyidae",133.85,1
"1210","Microdipodops megacephalus","Heteromyidae",10.45,1
"1211","Microdipodops pallidus","Heteromyidae",12.5,1
"1212","Perognathus flavus","Heteromyidae",7.73,1
"1213","Perognathus alticolus","Heteromyidae",23.99,1
"1214","Perognathus amplus","Heteromyidae",11.7,1
"1215","Perognathus fasciatus","Heteromyidae",11.55,1
"1216","Perognathus inornatus","Heteromyidae",10.88,1
"1217","Perognathus longimembris","Heteromyidae",7.6,1
"1218","Perognathus merriami","Heteromyidae",6.85,1
"1219","Perognathus parvus","Heteromyidae",21.78,1
"1220","Perognathus flavescens","Heteromyidae",8.8,1
"1221","Chaetodipus goldmani","Heteromyidae",23,1
"1222","Chaetodipus pernix","Heteromyidae",17,1
"1223","Chaetodipus formosus","Heteromyidae",19.45,1
"1224","Chaetodipus penicillatus","Heteromyidae",16.89,1
"1225","Chaetodipus fallax","Heteromyidae",18.7,1
"1226","Chaetodipus eremicus","Heteromyidae",20.31,0
"1227","Chaetodipus dalquesti","Heteromyidae",20.31,0
"1228","Chaetodipus californicus","Heteromyidae",22,1
"1229","Chaetodipus baileyi","Heteromyidae",26.35,1
"1230","Chaetodipus artus","Heteromyidae",21.74,2
"1231","Chaetodipus arenarius","Heteromyidae",23,1
"1232","Chaetodipus intermedius","Heteromyidae",16.5,1
"1233","Chaetodipus lineatus","Heteromyidae",23,1
"1234","Chaetodipus hispidus","Heteromyidae",32,1
"1235","Chaetodipus rudinoris","Heteromyidae",20.31,0
"1236","Chaetodipus spinatus","Heteromyidae",16.35,1
"1237","Chaetodipus nelsoni","Heteromyidae",15.75,1
"1238","Heteromys oresterus","Heteromyidae",74.8,1
"1239","Heteromys teleus","Heteromyidae",83.95,0
"1240","Heteromys oasicus","Heteromyidae",83.95,0
"1241","Heteromys gaumeri","Heteromyidae",63.6,1
"1242","Heteromys desmarestianus","Heteromyidae",72.5,1
"1243","Heteromys australis","Heteromyidae",267.5,1
"1244","Heteromys anomalus","Heteromyidae",70,1
"1245","Heteromys nelsoni","Heteromyidae",54.2,1
"1246","Liomys adspersus","Heteromyidae",65,1
"1247","Liomys irroratus","Heteromyidae",50,1
"1248","Liomys spectabilis","Heteromyidae",65,1
"1249","Liomys salvini","Heteromyidae",42,1
"1250","Liomys pictus","Heteromyidae",40,1
"1251","Allactaga elater","Dipodidae",59,1
"1252","Allactaga major","Dipodidae",350,1
"1253","Allactaga vinogradovi","Dipodidae",90.51,2
"1254","Allactaga severtzovi","Dipodidae",159,1
"1255","Allactaga firouzi","Dipodidae",92.39,2
"1256","Allactaga hotsoni","Dipodidae",76.5,1
"1257","Allactaga sibirica","Dipodidae",97.5,1
"1258","Allactaga balikunica","Dipodidae",93.08,2
"1259","Allactaga bullata","Dipodidae",89.35,2
"1260","Allactaga euphratica","Dipodidae",232,1
"1261","Allactaga williamsi","Dipodidae",116.74,0
"1262","Allactaga tetradactyla","Dipodidae",52,1
"1263","Allactodipus bobrinskii","Dipodidae",65.3,1
"1264","Pygeretmus shitkovi","Dipodidae",58.3,1
"1265","Pygeretmus platyurus","Dipodidae",40.14,1
"1266","Pygeretmus pumilio","Dipodidae",52,1
"1267","Cardiocranius paradoxus","Dipodidae",8.6,1
"1268","Salpingotulus michaelis","Dipodidae",29.05,0
"1269","Salpingotus kozlovi","Dipodidae",10.73,2
"1270","Salpingotus crassicauda","Dipodidae",13.1,1
"1271","Salpingotus thomasi","Dipodidae",10.45,0
"1272","Salpingotus heptneri","Dipodidae",8.9,1
"1273","Salpingotus pallidus","Dipodidae",9.8,1
"1274","Dipus sagitta","Dipodidae",85.65,1
"1275","Eremodipus lichtensteini","Dipodidae",51,1
"1276","Jaculus blanfordi","Dipodidae",54.7,1
"1277","Jaculus jaculus","Dipodidae",56.55,1
"1278","Jaculus orientalis","Dipodidae",138,1
"1279","Paradipus ctenodactylus","Dipodidae",109.01,1
"1280","Stylodipus sungorus","Dipodidae",61.96,2
"1281","Stylodipus telum","Dipodidae",55,1
"1282","Stylodipus andrewsi","Dipodidae",61.97,2
"1283","Euchoreutes naso","Dipodidae",24.14,1
"1284","Sicista concolor","Dipodidae",13.1,1
"1285","Sicista subtilis","Dipodidae",11.75,1
"1286","Sicista strandi","Dipodidae",10.3,1
"1287","Sicista severtzovi","Dipodidae",11.77,2
"1288","Sicista pseudonapaea","Dipodidae",12.2,1
"1289","Sicista tianshanica","Dipodidae",10.3,1
"1290","Sicista napaea","Dipodidae",10,1
"1291","Sicista caudata","Dipodidae",11.2,1
"1292","Sicista caucasica","Dipodidae",10,1
"1293","Sicista betulina","Dipodidae",8,1
"1294","Sicista armenica","Dipodidae",6.53,1
"1295","Sicista kluchorica","Dipodidae",7.2,1
"1296","Sicista kazbegica","Dipodidae",6.43,1
"1297","Eozapus setchuanus","Dipodidae",32.58,1
"1298","Napaeozapus insignis","Dipodidae",22.3,1
"1299","Zapus hudsonius","Dipodidae",17.12,1
"1300","Zapus princeps","Dipodidae",29,1
"1301","Zapus trinotatus","Dipodidae",27.5,1
"1302","Monticolomys koopmani","Nesomyidae",25,1
"1303","Nesomys lambertoni","Nesomyidae",155,1
"1304","Nesomys rufus","Nesomyidae",162.5,1
"1305","Nesomys audeberti","Nesomyidae",212.5,1
"1306","Voalavo gymnocaudus","Nesomyidae",50.88,0
"1307","Eliurus antsingy","Nesomyidae",77.7,0
"1308","Eliurus petteri","Nesomyidae",75,1
"1309","Eliurus penicillatus","Nesomyidae",100,1
"1310","Eliurus myoxinus","Nesomyidae",70,1
"1311","Eliurus minor","Nesomyidae",37.5,1
"1312","Eliurus webbi","Nesomyidae",75,1
"1313","Eliurus majori","Nesomyidae",100,1
"1314","Eliurus tanala","Nesomyidae",90,1
"1315","Eliurus grandidieri","Nesomyidae",77.7,0
"1316","Eliurus ellermani","Nesomyidae",100,1
"1317","Gymnuromys roberti","Nesomyidae",97.5,1
"1318","Hypogeomys antimena","Nesomyidae",1250,1
"1319","Macrotarsomys bastardi","Nesomyidae",25,1
"1320","Macrotarsomys ingens","Nesomyidae",55,1
"1321","Brachytarsomys albicauda","Nesomyidae",200,1
"1322","Brachytarsomys villosa","Nesomyidae",220,1
"1323","Brachyuromys betsileoensis","Nesomyidae",92.5,1
"1324","Brachyuromys ramirohitra","Nesomyidae",90,1
"1325","Petromyscus barbouri","Nesomyidae",21.49,2
"1326","Petromyscus collinus","Nesomyidae",20,1
"1327","Petromyscus monticularis","Nesomyidae",20.73,1
"1328","Petromyscus shortridgei","Nesomyidae",46.5,1
"1329","Beamys hindei","Nesomyidae",75.8,1
"1330","Beamys major","Nesomyidae",75.8,0
"1331","Cricetomys kivuensis","Nesomyidae",1285.41,0
"1332","Cricetomys ansorgei","Nesomyidae",1285.41,0
"1333","Cricetomys emini","Nesomyidae",1299.99,1
"1334","Cricetomys gambianus","Nesomyidae",1271,1
"1335","Saccostomus campestris","Nesomyidae",51.23,1
"1336","Saccostomus mearnsi","Nesomyidae",45.5,1
"1337","Delanymys brooksi","Nesomyidae",5,1
"1338","Dendromus nyikae","Nesomyidae",15,1
"1339","Dendromus kahuziensis","Nesomyidae",11,1
"1340","Dendromus oreas","Nesomyidae",12.76,2
"1341","Dendromus nyasae","Nesomyidae",13.72,2
"1342","Dendromus mystacalis","Nesomyidae",7.72,1
"1343","Dendromus messorius","Nesomyidae",12.81,2
"1344","Dendromus mesomelas","Nesomyidae",11.12,1
"1345","Dendromus melanotis","Nesomyidae",9.06,1
"1346","Dendromus leucostomus","Nesomyidae",10.79,0
"1347","Dendromus vernayi","Nesomyidae",12.76,2
"1348","Dendromus insignis","Nesomyidae",11.05,1
"1349","Dendromus lovati","Nesomyidae",12,1
"1350","Dendroprionomys rousseloti","Nesomyidae",67.18,2
"1351","Malacothrix typica","Nesomyidae",13.4,1
"1352","Megadendromus nikolausi","Nesomyidae",52,1
"1353","Prionomys batesi","Nesomyidae",12.5,1
"1354","Steatomys parvus","Nesomyidae",8.85,1
"1355","Steatomys pratensis","Nesomyidae",48,1
"1356","Steatomys opimus","Nesomyidae",40,1
"1357","Steatomys caurinus","Nesomyidae",44.75,1
"1358","Steatomys bocagei","Nesomyidae",27.5,0
"1359","Steatomys krebsii","Nesomyidae",20.67,1
"1360","Steatomys jacksoni","Nesomyidae",28.4,2
"1361","Steatomys cuppedius","Nesomyidae",28.39,2
"1362","Mystromys albicaudatus","Nesomyidae",86.85,1
"1363","Alticola barakshin","Cricetidae",33.6,2
"1364","Alticola argentatus","Cricetidae",37.7,1
"1365","Alticola albicaudus","Cricetidae",34.53,2
"1366","Alticola semicanus","Cricetidae",33.39,2
"1367","Alticola stoliczkanus","Cricetidae",27.47,1
"1368","Alticola tuvinicus","Cricetidae",33.32,2
"1369","Alticola montosa","Cricetidae",34.53,2
"1370","Alticola roylei","Cricetidae",37,1
"1371","Alticola olchonensis","Cricetidae",36.96,0
"1372","Alticola lemminus","Cricetidae",33.56,2
"1373","Alticola macrotis","Cricetidae",36,1
"1374","Alticola strelzowi","Cricetidae",50,1
"1375","Microtus gregalis","Cricetidae",47.5,1
"1376","Microtus umbrosus","Cricetidae",42,1
"1377","Microtus californicus","Cricetidae",57.42,1
"1378","Microtus chrotorrhinus","Cricetidae",39,1
"1379","Microtus longicaudus","Cricetidae",46.71,1
"1380","Microtus richardsoni","Cricetidae",85,1
"1381","Microtus miurus","Cricetidae",41,1
"1382","Microtus mexicanus","Cricetidae",35,1
"1383","Microtus abbreviatus","Cricetidae",62,1
"1384","Microtus guatemalensis","Cricetidae",42,1
"1385","Microtus xanthognathus","Cricetidae",125.75,1
"1386","Microtus schidlovskii","Cricetidae",37.99,0
"1387","Microtus socialis","Cricetidae",48,1
"1388","Microtus paradoxus","Cricetidae",37.99,0
"1389","Microtus anatolicus","Cricetidae",37.99,0
"1390","Microtus tatricus","Cricetidae",40,1
"1391","Microtus dogramacii","Cricetidae",37.99,0
"1392","Microtus cabrerae","Cricetidae",52.5,1
"1393","Microtus arvalis","Cricetidae",28,1
"1394","Microtus agrestis","Cricetidae",42.5,1
"1395","Microtus qazvinensis","Cricetidae",37.99,0
"1396","Microtus levis","Cricetidae",35.49,1
"1397","Microtus guentheri","Cricetidae",50,1
"1398","Microtus irani","Cricetidae",45.36,2
"1399","Microtus ilaeus","Cricetidae",36.67,2
"1400","Microtus transcaspicus","Cricetidae",35.17,2
"1401","Microtus maximowiczii","Cricetidae",41.49,2
"1402","Microtus limnophilus","Cricetidae",40.59,2
"1403","Microtus montebelli","Cricetidae",39.85,1
"1404","Microtus mujanensis","Cricetidae",41.55,2
"1405","Microtus fortis","Cricetidae",63,1
"1406","Microtus clarkei","Cricetidae",48.14,2
"1407","Microtus middendorffii","Cricetidae",36.49,2
"1408","Microtus oeconomus","Cricetidae",34.38,1
"1409","Microtus evoronensis","Cricetidae",41.42,2
"1410","Microtus kikuchii","Cricetidae",46.3,1
"1411","Microtus mongolicus","Cricetidae",27.5,1
"1412","Microtus sachalinensis","Cricetidae",36.33,2
"1413","Microtus duodecimcostatus","Cricetidae",23,1
"1414","Microtus majori","Cricetidae",18.2,1
"1415","Microtus thomasi","Cricetidae",25.67,2
"1416","Microtus felteni","Cricetidae",24.34,2
"1417","Microtus bavaricus","Cricetidae",23.94,2
"1418","Microtus gerbei","Cricetidae",24.89,2
"1419","Microtus liechtensteini","Cricetidae",37.99,0
"1420","Microtus daghestanicus","Cricetidae",12.99,1
"1421","Microtus lusitanicus","Cricetidae",24.82,2
"1422","Microtus brachycercus","Cricetidae",37.99,0
"1423","Microtus savii","Cricetidae",20,1
"1424","Microtus schelkovnikovi","Cricetidae",26.4,2
"1425","Microtus subterraneus","Cricetidae",19.5,1
"1426","Microtus multiplex","Cricetidae",23.17,1
"1427","Microtus montanus","Cricetidae",36.33,1
"1428","Microtus townsendii","Cricetidae",64.75,1
"1429","Microtus canicaudus","Cricetidae",28.45,1
"1430","Microtus breweri","Cricetidae",54,1
"1431","Microtus pennsylvanicus","Cricetidae",36.75,1
"1432","Microtus oregoni","Cricetidae",20.35,1
"1433","Microtus oaxacensis","Cricetidae",39.2,1
"1434","Microtus quasiater","Cricetidae",40,1
"1435","Microtus pinetorum","Cricetidae",26.28,1
"1436","Microtus ochrogaster","Cricetidae",38.01,1
"1437","Arborimus albipes","Cricetidae",23,1
"1438","Arborimus pomo","Cricetidae",32.5,1
"1439","Arborimus longicaudus","Cricetidae",21.8,1
"1440","Arvicola amphibius","Cricetidae",120,1
"1441","Arvicola scherman","Cricetidae",162.48,0
"1442","Arvicola sapidus","Cricetidae",220,1
"1443","Blanfordimys afghanus","Cricetidae",56.99,2
"1444","Blanfordimys bucharensis","Cricetidae",57.08,2
"1445","Caryomys eva","Cricetidae",47.71,0
"1446","Caryomys inez","Cricetidae",47.71,0
"1447","Chionomys roberti","Cricetidae",93.5,1
"1448","Chionomys gud","Cricetidae",93.5,1
"1449","Chionomys nivalis","Cricetidae",54,1
"1450","Dicrostonyx hudsonius","Cricetidae",57,1
"1451","Dicrostonyx nelsoni","Cricetidae",60.85,2
"1452","Dicrostonyx nunatakensis","Cricetidae",60.82,2
"1453","Dicrostonyx richardsoni","Cricetidae",55,1
"1454","Dicrostonyx torquatus","Cricetidae",85,1
"1455","Dicrostonyx unalascensis","Cricetidae",60.84,2
"1456","Dicrostonyx vinogradovi","Cricetidae",60.78,2
"1457","Dicrostonyx groenlandicus","Cricetidae",54.4,1
"1458","Dinaromys bogdanovi","Cricetidae",56,1
"1459","Ellobius alaicus","Cricetidae",67.61,2
"1460","Ellobius talpinus","Cricetidae",40,1
"1461","Ellobius tancrei","Cricetidae",67.92,2
"1462","Ellobius lutescens","Cricetidae",117.31,1
"1463","Ellobius fuscocapillus","Cricetidae",80,1
"1464","Eolagurus przewalskii","Cricetidae",28.03,2
"1465","Eolagurus luteus","Cricetidae",26,1
"1466","Eothenomys custos","Cricetidae",30.8,1
"1467","Eothenomys chinensis","Cricetidae",45.3,1
"1468","Eothenomys cachinus","Cricetidae",34.83,0
"1469","Eothenomys miletus","Cricetidae",50.7,1
"1470","Eothenomys olitor","Cricetidae",22,1
"1471","Eothenomys wardi","Cricetidae",34.83,0
"1472","Eothenomys proditor","Cricetidae",42.5,1
"1473","Eothenomys melanogaster","Cricetidae",27,1
"1474","Hyperacrius wynnei","Cricetidae",52.6,1
"1475","Hyperacrius fertilis","Cricetidae",22.25,1
"1476","Lagurus lagurus","Cricetidae",20.3,1
"1477","Lasiopodomys mandarinus","Cricetidae",47.48,2
"1478","Lasiopodomys fuscus","Cricetidae",42.5,1
"1479","Lasiopodomys brandtii","Cricetidae",93.82,1
"1480","Lemmiscus curtatus","Cricetidae",28.27,1
"1481","Lemmus amurensis","Cricetidae",42.81,2
"1482","Lemmus lemmus","Cricetidae",47.5,1
"1483","Lemmus portenkoi","Cricetidae",55.76,0
"1484","Lemmus trimucronatus","Cricetidae",69.82,1
"1485","Lemmus sibiricus","Cricetidae",52.27,1
"1486","Myodes rutilus","Cricetidae",19.94,1
"1487","Myodes rufocanus","Cricetidae",36.43,1
"1488","Myodes andersoni","Cricetidae",24,0
"1489","Myodes californicus","Cricetidae",18.3,1
"1490","Myodes centralis","Cricetidae",24,0
"1491","Myodes gapperi","Cricetidae",19.83,1
"1492","Myodes glareolus","Cricetidae",20.73,1
"1493","Myodes imaizumii","Cricetidae",24,0
"1494","Myodes smithii","Cricetidae",34.94,1
"1495","Myodes rex","Cricetidae",24,0
"1496","Myodes shanseius","Cricetidae",29.22,2
